slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-co-aguilar-st-anthony-of-padua-9977614b,St. Anthony,125,S,Fir,St,,,,125 S Fir St,Aguilar,CO,81020,,37.40231929,-104.65043894,(719) 941-4124 or (719) 738-1204
us-co-air-force-academy-united-states-air-force-academy-saint-michael-b37d27ba,United States Air Force Academy Cadet Chapel,5134,,Cathedral,Dr,,,,5134 Cathedral Dr,Air Force Academy,CO,80840,,39.00866326,-104.89038421,(719) 333-3300
us-co-akron-st-joseph-352b780e,St. Joseph,551,W,6th,St,,,,551 W 6th St,Akron,CO,80720,,40.16460577,-103.21874756,(970) 345-6996
us-co-alamosa-sacred-heart-of-jesus-91452717,Sacred Heart,715,,4th,St,,,,715 4th St,Alamosa,CO,81101,,37.469467,-105.86821805,(719) 589-5829 or (719) 589-3211 (Rectory)
us-co-allenspark-st-catherine-of-siena-232b3326,Chapel of St. Catherine of Siena,10758,,CO-7,,,,,10758 CO-7,Allenspark,CO,80510,,40.24743836,-105.53604126,(303) 715-3218
us-nm-amalia-santo-niño-mission-aaefb6b2,Santo Niño,546,,NM-196,,,,,546 NM-196,Amalia,NM,87512,,36.94331118,-105.45674006,(575) 586-0470
us-co-antonito-st-augustine-mission-bc0f84ad,St. Augustine Mission,803,,Pine,St,,,,803 Pine St,Antonito,CO,81120,,37.07951456,-106.01164789,(719) 376-5985
us-co-arboles-st-peter-st-rosa-mission-437725eb,St. Peter - St. Rosa Mission,18851,,CO,Hwy,,,,18851 CO Hwy 151,Arboles,CO,81121,,37.02548484,-107.44008491,(970) 563-4241
us-co-arvada-shrine-of-saint-anne-7ce85151,Shrine of St. Anne,7555,,Grant,Pl,,,,7555 Grant Pl,Arvada,CO,80002,,39.80132534,-105.08055925,(303) 420-1280
us-co-arvada-spirit-of-christ-catholic-community-ebb007cb,Spirit of Christ Catholic Community,7400,W,80th,Ave,,,,7400 W 80th Ave,Arvada,CO,80003,,39.84114334,-105.07840645,(303) 422-9173
us-co-arvada-st-joan-of-arc-6ddefbca,St. Joan of Arc,12735,W,58th,Ave,,,,12735 W 58th Ave,Arvada,CO,80002,,39.80258707,-105.14219887,(303) 420-1232
us-co-aspen-st-mary-3a85dc07,St. Mary,533,E,Main,St,,,,533 E Main St,Aspen,CO,81611,,39.1899643,-106.817238,(970) 925-7339
us-co-ault-st-mary-fefcb29e,St. Mary,267,E,4th,St,,,,267 E 4th St,Ault,CO,80610,,40.58598576,-104.72872814,(970) 834-1609
