Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
 Corpus Christi Parish - St. Mary ,"46 Valley St, Willimantic, Connecticut 06226",860-423-8439,Mass,Mon,12:10 PM,,Mass,specific_weekday,English,St. Mary's Church,,,,,Novena
 Corpus Christi Parish - St. Mary ,"46 Valley St, Willimantic, Connecticut 06226",860-423-8439,Mass,Wed,12:10 PM,,Mass,specific_weekday,English,St. Mary's Church,,,,,
 Corpus Christi Parish - St. Mary ,"46 Valley St, Willimantic, Connecticut 06226",860-423-8439,Mass,Fri,12:10 PM,,Mass,specific_weekday,English,St. Mary's Church,,,,,
 Corpus Christi Parish - St. Mary ,"46 Valley St, Willimantic, Connecticut 06226",860-423-8439,Mass,Sun,10:30 AM,,Mass,sunday,English,St. Mary's Church,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Mon,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Tue,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Wed,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Thu,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Fri,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Sat,8:00 AM,,Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Sun,8:00 AM,,Terce and Mass,sunday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Mon,4:30 PM,,Vespers and Benediction,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Mon,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Mon,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Tue,5:00 PM,,Vespers,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Tue,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Tue,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Wed,5:00 PM,,Vespers,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Wed,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Wed,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Thu,5:00 PM,,Vespers,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Thu,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Thu,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Fri,5:00 PM,,Vespers,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Fri,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Fri,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Sat,5:00 PM,,Vespers,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Sat,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Sat,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Sun,4:30 PM,,Vespers and Benediction,sunday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Sun,6:15 AM,,Lauds and Prime,sunday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Sun,7:30 PM,,Compline,sunday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Other,Mon,12:00 PM,,Sext and None,specific_weekday,English,Monastery Chapel,,,,,Sext and None are sung inside the enclosure and therefore not open to the Public. The Chapel remains open for private prayer.; Exceptions: Tuesdays throughout the year and Tuesdays and Wednesdays in the summer months
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Other,Thu,12:00 PM,,Sext and None,specific_weekday,English,Monastery Chapel,,,,,Sext and None are sung inside the enclosure and therefore not open to the Public. The Chapel remains open for private prayer.; Exceptions: Tuesdays throughout the year and Tuesdays and Wednesdays in the summer months
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Other,Fri,12:00 PM,,Sext and None,specific_weekday,English,Monastery Chapel,,,,,Sext and None are sung inside the enclosure and therefore not open to the Public. The Chapel remains open for private prayer.; Exceptions: Tuesdays throughout the year and Tuesdays and Wednesdays in the summer months
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Other,Sun,12:00 PM,,Sext and None,sunday,English,Monastery Chapel,,,,,
