Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday, Corpus Christi Parish - St. Mary ,"46 Valley St, Willimantic",860-423-8439,Mass,12:10 PM,,Mass,English,St. Mary's Church,Novena
"Mon, Feb 23, 2026",2026-02-23,Monday,Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem",,Mass,8:00 AM,,Terce and Mass,English,Jesu Fili Mariæ,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption,"98 Riverside Ave, Westport",(203) 227-5161,Mass,7:30 AM,,Mass,English,Church of the Assumption,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption,"81 Center Rd, Woodbridge",(203) 387-7119,Mass,8:30 AM,,Mass,English,Center Road Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption Church,"545 Stratfield Rd, Fairfield",+1-203-333-9065,Mass,5:30 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption Church,"545 Stratfield Rd, Fairfield",+1-203-333-9065,Mass,7:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of St. John the Evangelist,"279 Atlantic St, Stamford",(203) 324-1553,Mass,12:10 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of St. John the Evangelist,"279 Atlantic St, Stamford",(203) 324-1553,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of the Immaculate Conception,"74 W Main St, Waterbury",(203) 574-0017,Mass,12:10 PM,,Mass,English,Basilica of the Immaaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of the Immaculate Conception,"74 W Main St, Waterbury",(203) 574-0017,Mass,6:30 AM,,Mass,English,Basilica of the Immaaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Joseph,"140 Farmington Ave, Hartford",(860) 249-8431,Mass,12:10 PM,,Mass,english,Cathedral of Saint Joseph,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Joseph,"140 Farmington Ave, Hartford",(860) 249-8431,Mass,7:30 AM,,Mass,english,Cathedral of Saint Joseph,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Patrick,"213 Broadway, Norwich",(860) 889-8441,Mass,12:00 PM,,Mass,English,Cathedral of Saint Patrick,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Patrick,"213 Broadway, Norwich",(860) 889-8441,Mass,7:00 AM,,Mass,English,Cathedral of Saint Patrick,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Patrick,"213 Broadway, Norwich",(860) 889-8441,Mass,7:00 PM,,Miraculous Medal Novena Mass,English,Cathedral of Saint Patrick,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"1 McCurdy Rd, Old Lyme",(860) 434-1669,Mass,8:00 AM,,Mass,English,Christ the King Church,livestream; zoom
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"4700 Madison Ave, Trumbull",(203) 268-8695,Mass,9:00 AM,,Daily Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Church of the Holy Spirit,"403 Scofieldtown Rd, Stamford",+1-203-322-3722,Mass,7:30 AM,,Mass,English,Church of the Holy Spirit,
"Mon, Feb 23, 2026",2026-02-23,Monday,Church of the Resurrection,"115 Pond Hill Rd, Wallingford",+1-203-265-1694,Mass,7:30 AM,,Mass,english,COR,
"Mon, Feb 23, 2026",2026-02-23,Monday,Dominican Monastery of Our Lady of Grace,"11 Race Hill Rd, North Guilford",(203)-457-0599,Mass,7:00 AM,,Holy Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Egan Chapel at Fairfield University,"1073 N Benson Rd, Fairfield",(203) 254-4000,Mass,12:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Georgetown Oratory of the Most Sacred Heart of Jesus,"30 Church St, Redding",(203) 544-8245,Mass,6:30 PM,,Mass,spanish,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Good Shepard Church-St Nicholas Parish,"135 Mountain Rd, Seymour",(203) 888-9243,Mass,9:00 AM,,Mass,English,The Church of the Good Shepherd,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"750 Tahmore Dr, Fairfield",(203) 372-4595,Mass,9:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"750 Tahmore Dr, Fairfield",(203) 372-4595,Mass,9:00 AM,,Mass,english,,
