slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ct-ansonia-church-of-the-assumption-28594a31,Church of the Assumption,61,N,Cliff,St,,,,61 N Cliff St,Ansonia,CT,06401,,41.3497369,-73.0796909,+1-203-735-7857
us-ct-ansonia-holy-rosary-parish-186ed6a5,Holy Rosary,10,,Fr Salemi,Dr,,,,10 Fr Salemi Dr,Ansonia,CT,06401,,41.33881467,-73.07403866,(203) 735-7874
us-ct-ansonia-ss-peter-and-paul-ukrainian-d5bb9300,Ss. Peter and Paul (Ukrainian),136,,Clifton,Ave,,,,136 Clifton Ave,Ansonia,CT,06401,2203,41.33747915,-73.08371509,(203) 734-3895
us-ct-ansonia-church-of-st-anthony-9b716509,St. Anthony,199,N,Main,St,,,,199 N Main St,Ansonia,CT,06401,3227,41.3535625,-73.0814375,12037357874
us-ct-ansonia-st-joseph-9ac5de38,St. Joseph,32,,Jewett,St,,,,32 Jewett St,Ansonia,CT,06401,2499,41.34013319,-73.07186775,(203) 734-0402
us-ct-ashford-st-philip-the-apostle-ffb2ef53,St Philip-Apostle Church,64,,Pompey Hollow,Rd,,,,64 Pompey Hollow Rd,Ashford,CT,06278,,41.86278861,-72.16531789,(860) 429-2860
us-ct-avon-church-of-saint-ann-ff79b3e6,St. Ann,289,,Arch,Rd,,,,289 Arch Rd,Avon,CT,06001,,41.79945371,-72.85973644,(860) 673-9858
us-ct-baltic-st-mary-of-the-immaculate-conception-85204a34,St. Mary of the Immaculate Conception,70,W,Main,St,,,,70 W Main St,Baltic,CT,06330,1348,41.61591534,-72.08871759,(860) 822-6378
us-ct-bantam-our-lady-of-grace-st-louis-de-montfort-parish-e7ee5b8e,Our Lady of Grace,715,,Bantam,Rd,,,,715 Bantam Rd,Bantam,CT,06750,0427,41.72478094,-73.23263915,(860) 567-9522
us-ct-beacon-falls-st-michael-5dae3935,St. Michael,25,,Maple,Ave,,,,25 Maple Ave,Beacon Falls,CT,06403,,41.44550158,-73.06104921,(203) 729-2504
us-ct-bethel-paróquia-nossa-senhora-aparecida-7d3c813d,Paróquia Nossa Senhora Aparecida,42,,Vail,Rd,,,,42 Vail Rd,Bethel,CT,06801,,41.42397984,-73.39555441,(203)730-9071
us-ct-bethel-st-mary-e3cc786a,St. Mary,26,,Dodgingtown,Rd,,,,26 Dodgingtown Rd,Bethel,CT,06801,,41.37491374,-73.38801118,(203) 744-5777
us-ct-bethlehem-abbey-of-regina-laudis-acec430a,Abbey of Regina Laudis,15,,Robert Leather,Rd,,,,15 Robert Leather Rd,Bethlehem,CT,06751,,41.6151875,-73.2063125,
us-ct-bethlehem-church-of-the-nativity-prince-of-peace-parish-d8412ae4,Nativity (Prince of Peace Parish),48,,E,St,,,,48 E St (Route 132),Bethlehem,CT,06751,,41.63910993,-73.20363228,(203) 263-2008
us-ct-bloomfield-sacred-heart-church-ddf5b1b9,Sacred Heart Church,26,,Wintonbury,Ave,,,,26 Wintonbury Ave,Bloomfield,CT,06002,,41.8335739,-72.73535134,(860) 242-4142
us-ct-bolton-st-maurice-976659e2,St. Maurice,32,,Hebron,Rd,,,,32 Hebron Rd,Bolton,CT,06043,7606,41.76465008,-72.43239949,(860) 643-4466
us-ct-bozrah-church-of-st-john-b5b56356,St. John,190,,Fitchville,Rd,,,,190 Fitchville Rd,Bozrah,CT,06334,,41.5651875,-72.1534375,18608869151
us-ct-branford-church-of-st-elizabeth-5bcdae43,St. Elizabeth,65,,Burban,Dr,,,,65 Burban Dr,Branford,CT,06405,4098,41.2705625,-72.8459375,12034881661
us-ct-branford-church-of-st-mary-adb9aa2c,St. Mary,731,,Main,St,,,,731 Main St,Branford,CT,06405,3693,41.2793125,-72.8149375,12034881607
us-ct-branford-st-mary-church-st-john-bosco-parish-2593f402,St. Mary,731,,Main,St,,,,731 Main St,Branford,CT,06405,3693,41.27904305,-72.81484884,(203) 488-1607
us-ct-branford-st-therese-church-st-john-bosco-parish-4834c808,St. Therese Church (St. John Bosco Parish),105,,Leetes Island,Rd,,,,105 Leetes Island Rd,Branford,CT,06405,3308,41.29194123,-72.76193901,(203) 488-1607
us-ct-bridgeport-blessed-sacrament-64151659,Blessed Sacrament,275,,Union,Ave,,,,275 Union Ave,Bridgeport,CT,06607,,41.1753552,-73.16368,(203) 333-1202
us-ct-bridgeport-our-lady-of-good-counsel-chapel-d77c6b5b,Chapel of Our Lady of Good Counsel,163,,Ortega,Ave,,,,163 Ortega Ave,Bridgeport,CT,06606,,41.21619908,-73.18980107,203.612.8563
us-ct-bridgeport-church-of-our-lady-of-fatima-238b2bae,Our Lady of Fatima,429,,Huntington,Rd,,,,429 Huntington Rd,Bridgeport,CT,06608,1106,41.1989375,-73.1825625,12033337575
us-ct-bridgeport-our-lady-of-fatima-portuguese-4bd3941c,Our Lady of Fatima [Portuguese],429,,Huntington,Rd,,,,429 Huntington Rd,Bridgeport,CT,06608,1106,41.19928084,-73.18361377,(203) 333-7575
us-ct-bridgeport-protection-of-blessed-virgin-mary-ukrainian-8db52a44,Protection of Blessed Virgin Mary (Ukrainian),457,,Noble,Ave,,,,457 Noble Ave,Bridgeport,CT,06608,,41.18767129,-73.18463135,(203) 367-5054
us-ct-bridgeport-st-george-catholic-church-c24be2c2,St George Catholic Church,443,,Park,Ave,,,,443 Park Ave,Bridgeport,CT,06604,,41.168218,-73.1940431,+1-203-335-1797
us-ct-bridgeport-st-andrew-df8bdce1,St. Andrew,435,,Anton,St,,,,435 Anton St,Bridgeport,CT,06606,2198,41.21806435,-73.22338268,(203) 374-6171
us-ct-bridgeport-st-ann-church-99d448ed,St. Ann Church,481,,Brewster,St,,,,481 Brewster St,Bridgeport,CT,06605,,41.15592002,-73.22531163,(203) 368-1607
us-ct-bridgeport-st-augustine-cathedral-082ffde4,St. Augustine Cathedral,359,,Washington,Ave,,,,359 Washington Ave,Bridgeport,CT,06604,3826,41.1801875,-73.1954375,12033686777
us-ct-bridgeport-saint-augustine-cathedral-part-of-the-cathedral-parish-956f1ce4,St. Augustine Cathedral (Part of the Cathedral Parish),399,,Washington,Ave,,,,399 Washington Ave,Bridgeport,CT,06604,,41.19170299,-73.19582057,203-368-6777
us-ct-bridgeport-st-charles-borromeo-55673bc8,St. Charles Borromeo,1255,E,Main,St,,,,1255 E Main St,Bridgeport,CT,06608,1646,41.19180064,-73.18092147,(203) 333-2147
us-ct-bridgeport-st-george-parish-5a7b2915,St. George,443,,Park,Ave,,,,443 Park Ave,Bridgeport,CT,06604,,41.16826844,-73.19396788,(203) 335-1797
us-ct-bridgeport-st-margaret-shrine-1d567409,St. Margaret Shrine,2523,,Park,Ave,,,,2523 Park Ave,Bridgeport,CT,06604,1402,41.19218909,-73.21578851,(203) 333-9627
us-ct-bridgeport-st-mary-22878587,St. Mary,25,,Sherman,St,,,,25 Sherman St,Bridgeport,CT,06608,2632,41.18127829,-73.17858994,(203) 334-8811
us-ct-bridgeport-st-michael-the-archangel-polish-b9ef0d37,St. Michael the Archangel (Polish),310,,Pulaski,St,,,,310 Pulaski St,Bridgeport,CT,06608,2322,41.18372186,-73.18157668,(203) 334-1822
us-ct-bridgeport-saint-patrick-church-part-of-the-cathedral-parish-dba1f3e9,St. Patrick Church (Part of the Cathedral Parish),851,,N,Ave,,,,851 N Ave Bridgeport,Bridgeport,CT,06604,,41.19252817,-73.19572752,(203) 368-6777
us-ct-bridgeport-st-peter-5c48b7bc,St. Peter,695,,Colorado,Ave,,,,695 Colorado Ave,Bridgeport,CT,06605,1699,41.17643323,-73.21443006,(203) 366-5611
us-ct-bridgeport-saints-cyril-methodius-837f1561,Sts. Cyril and Methodius,79,,Church,St,,,,79 Church St,Bridgeport,CT,06608,2524,41.18559182,-73.17732778,(203) 333-7003
us-ct-bridgeport-the-cathedral-parish-f597f216,The Cathedral Parish,170,,Thompson,St,,,,170 Thompson St,Bridgeport,CT,06604,,41.18024,-73.195,(203) 368-6777
us-ct-bristol-st-ann-church-parish-of-st-francis-de-sales-af465f65,St. Ann (Parish of St. Francis de Sales),215,,W,St,,,,215 W St,Bristol,CT,06010,,41.67348245,-72.95022662,(860) 582-8169
us-ct-bristol-st-gregory-the-great-parish-42e8ff67,St. Gregory the Great,235,,Maltby,St,,,,235 Maltby St,Bristol,CT,06010,,41.70181261,-72.91226897,(860) 589-2295
us-ct-bristol-st-joseph-parish-754e087a,St. Joseph,33,,Queen,St,,,,33 Queen St,Bristol,CT,06010,,41.67793096,-72.93963795,(860) 583-1369
