Date,Date Sort,Day,Church,Address,Phone,Communities Served,Category,Time,End Time,Service Name,Language,Location,Notes
"Fri, Feb 20, 2026",2026-02-20,Friday,Christ the King,"2777 E Livingston Ave, Columbus",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:45 AM,,Mass,english,Christ the King,
"Fri, Feb 20, 2026",2026-02-20,Friday,Holy Family,"584 W Broad St, Columbus",(614) 221-4323,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,12:15 PM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Holy Spirit,"4383 E Broad St, Whitehall",(614) 861-1521,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,9:00 AM,,Mass,english,,check bulletin
"Fri, Feb 20, 2026",2026-02-20,Friday,Immaculate Conception Church,"414 E N Broadway, Columbus",(614) 267-9241,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,Immaculate Conception Parish,
"Fri, Feb 20, 2026",2026-02-20,Friday,Oratory of St. Leo,"221 Hanford St, Columbus",614-443-7685,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,12:00 PM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,"Our Lady of Guadalupe, Star of the New Evangelization","154 E Patterson Ave, Columbus",(614) 262-0390,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,5:30 PM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Our Lady of Lourdes,"1033 W Fifth St, Marysville",(937) 644-6020,Hilliard,Mass,8:00 AM,,Mass,english,Our Lady of Lourdes,note: Wed; Thu; Fri
"Fri, Feb 20, 2026",2026-02-20,Friday,Our Lady of Lourdes,"1033 W Fifth St, Marysville",(937) 644-6020,Hilliard,Mass,8:00 AM,,Mass,english,Our Lady of Lourdes,
"Fri, Feb 20, 2026",2026-02-20,Friday,Our Lady of Mount Carmel,"5133 Walnut Rd SE, Buckeye Lake",(740) 928-3266,Canal Winchester; Groveport,Mass,8:00 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Our Lady of Peace,"20 E Dominion Blvd, Columbus",(614) 263-8824,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:15 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Our Lady of Victory,"1559 Roxbury Rd, Columbus",(614) 488-2428,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Resurrection,"6300 E Dublin - Granville Rd, New Albany",(614) 855-1400,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,9:00 AM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Resurrection,"6300 E Dublin - Granville Rd, New Albany",(614) 855-1400,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,9:00 AM,,Mass,english,,
