Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Mon,7:30 AM,,Mass,weekday,english,1511 S.10th Street,,,,,
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Tue,7:30 AM,,Mass,weekday,english,1511 S.10th Street,,,,,
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Wed,7:30 AM,,Mass,weekday,english,1511 S.10th Street,,,,,
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Thu,7:30 AM,,Mass,weekday,english,1511 S.10th Street,,,,,
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Fri,7:30 AM,,Mass,weekday,english,1511 S.10th Street,,,,,
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Sat,5:00 PM,,Mass,saturday,english,1511 S.10th Street,,,,,vigil
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Sun,11:00 AM,,Mass,sunday,english,1511 S.10th Street,,,,,
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,Sun,9:00 AM,,Misa,sunday,spanish,1511 S.10th Street,,,,,
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Mass,,7:00 PM,,Misa,specific_weekday,spanish,1511 S.10th Street,,,,,Lunes y Jueves
Annunciation BVM Church,"1511 S 10th St, Philadelphia, Pennsylvania 19147",(215) 334-0159,Confession,Sat,4:00 PM,5:00 PM,Confessions,saturday,English,1511 S.10th Street,,,,,
Annunciation of the Blessed Virgin Mary,"401 Brookline Blvd, Havertown, Pennsylvania 19083",(610) 449-1613,Mass,Mon,6:30 AM,,Mass,weekday,English,,,,,,livestream
Annunciation of the Blessed Virgin Mary,"401 Brookline Blvd, Havertown, Pennsylvania 19083",(610) 449-1613,Mass,Mon,7:30 AM,,Mass,weekday,English,,,,,,livestream
Annunciation of the Blessed Virgin Mary,"401 Brookline Blvd, Havertown, Pennsylvania 19083",(610) 449-1613,Mass,Mon,7:30 AM,,Mass,specific_weekday,English,,,,,,livestream
