slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-de-bear-st-elizabeth-ann-seton-roman-catholic-church-49e3f305,St Elizabeth Ann Seton Roman Catholic Church,345,,Bear Christiana,Rd,,,,345 Bear Christiana Rd,Bear,DE,19701,,39.6506891,-75.654357,+1-302-322-6430
us-de-bear-st-elizabeth-ann-seton-6a860f8a,St. Elizabeth Ann Seton,345,,Bear- Christiana,Rd,,,,345 Bear- Christiana Rd,Bear,DE,19701,,39.65116882,-75.6555481,(302) 322-6430
us-de-bethany-beach-st-ann-85398478,St. Ann,691,,Garfield,Pkwy,,,,691 Garfield Pkwy,Bethany Beach,DE,19930,,38.53985537,-75.06761824,(302) 539-6449
us-de-claymont-holy-rosary-4c79ea03,Holy Rosary,3200,,Philadelphia,Pike,,,,3200 Philadelphia Pike,Claymont,DE,19703,,39.7976952,-75.46274,(302) 798-2904
us-de-delaware-city-st-paul-725aba44,St. Paul,209,,Washington,St,,,,209 Washington St,Delaware City,DE,19706,,39.57632951,-75.59241975,(302) 834-4321
us-de-dover-holy-cross-0a0f4ddc,Holy Cross,631,S,State,St,,,,631 S State St,Dover,DE,19901,,39.15052022,-75.52127726,(302) 674-5787
us-de-dover-afb-community-of-our-lady-of-perpetual-help-e7e02daf,Community of Our Lady of Perpetual Help,436,,AW/HC 419 12th,St,,,,436 AW/HC 419 12th St,Dover AFB,DE,19902,,39.1246875,-75.4798125,13026776340
us-de-dover-afb-our-lady-of-perpetual-help-dacc5af7,Our Lady of Perpetual Help,436,,AW/HC 419 12th,St,,,,436 AW/HC 419 12th St,Dover Afb,DE,19902,,39.11714245,-75.48559236,302-677-3932
us-de-elsmere-corpus-christi-a3304f9f,Holy Family,905,,New,Rd,,,,905 New Rd,Elsmere,DE,19805,,39.7403641,-75.5969,(302) 994-2922
us-de-frankford-church-of-our-lady-of-guadalupe-93506694,Our Lady of Guadalupe,35318,,Church,Rd,,,,35318 Church Rd,Frankford,DE,35318,,38.5115625,-75.1176875,13025396449
us-de-frankford-our-lady-of-guadalupe-05c58c21,Our Lady of Guadalupe,35318,,Church,Rd,,,,35318 Church Rd,Frankford,DE,19945,,38.51201,-75.152916,(302) 539-6449
us-de-georgetown-st-michael-the-archangel-e5427d38,St. Michael the Archangel,202,,Edward,St,,,,202 Edward St,Georgetown,DE,19947,1108,38.691465,-75.3916324,(302)856-6451
us-de-greenville-st-joseph-on-the-brandywine-1fc08b15,St. Joseph on the Brandywine,10,,Old Church,Rd,,,,10 Old Church Rd,Greenville,DE,19807,,39.77188381,-75.58768124,(302) 658-7017
us-de-harrington-st-bernadette-st-john-st-bernadette-parish-436c170d,St. Bernadette,109,,Dixon,St,,,,109 Dixon St,Harrington,DE,19952,,38.9260941,-75.57037,(302) 398-8269
us-de-harrington-church-of-st-bernadette-cc7eb746,St. Bernadette,109,,Dixon,St,,,,109 Dixon St,Harrington,DE,19952,,38.9256875,-75.5704375,13023988269
us-de-hockessin-st-mary-of-the-assumption-c36a0649,St. Mary of the Assumption,7200,,Lancaster Pk,,,,,7200 Lancaster Pk,Hockessin,DE,19707,,39.78378,-75.68464,(302) 239-7100
us-de-lewes-st-jude-the-apostle-78454a26,St. Jude the Apostle,152,,Tulip,Dr,,,,152 Tulip Dr,Lewes,DE,19958,,38.7500052,-75.18031201,(302) 644-7300
us-de-middletown-st-joseph-bafc8d79,St. Joseph,319,E,Main,St,,,,319 E Main St,Middletown,DE,19709,,39.45095218,-75.70483015,(302) 378-5800
us-de-milford-st-john-the-apostle-71a770df,St. John the Apostle,506,,Seabury,Ave,,,,506 Seabury Ave,Milford,DE,19963,,38.90368,-75.431694,(302) 422-5123
us-de-millsboro-mary-mother-of-peace-35c41c56,Mary Mother of Peace Church,30839,,Mount Joy,Rd,,,,30839 Mount Joy Rd,Millsboro,DE,19966,,38.6157341,-75.2027359,(302)856-6451
us-de-new-castle-holy-spirit-966a48db,Holy Spirit,12,,Winder,Rd,,,,12 Winder Rd,New Castle,DE,19720,,39.6979446,-75.55533,(302) 328-2335
us-de-new-castle-our-lady-of-fatima-202362fc,Our Lady of Fatima,801,N,duPont,Blvd,,,,801 N duPont Blvd,New Castle,DE,19720,,39.6868935,-75.58562,(302) 328-3431
us-de-new-castle-st-peter-the-apostle-fb5d3d35,St. Peter the Apostle,521,,Harmony,St,,,,521 Harmony St (5th & Harmony),New Castle,DE,19720,,39.66207123,-75.56443787,(302) 328-2335
us-de-newark-holy-family-59feaffb,Holy Family,15,,Gender,Rd,,,,15 Gender Rd,Newark,DE,19713,,39.6638949,-75.717651,(302) 368-4665
us-de-newark-holy-family-catholic-church-96156801,Holy Family Catholic Church,15,,Gender,Rd,,,,15 Gender Rd,Newark,DE,19713,,39.6646113,-75.7187184,+1-302-368-4665
us-de-newark-st-john-the-baptist-db4dfc62,St. John the Baptist,,,E Main & N Chapel Sts,,,,,E Main & N Chapel Sts,Newark,DE,19711,,39.68389513,-75.74535907,(302) 731-2200
us-de-newark-holy-angels-319014e0,St. John the Baptist–Holy Angels,82,,Possum Park,Rd,,,,82 Possum Park Rd,Newark,DE,19711,,39.69929189,-75.72258126,(302) 731-2200
us-de-newark-st-margaret-of-scotland-1c9f065f,St. Margaret of Scotland,2431,,Frazer,Rd,,,,2431 Frazer Rd,Newark,DE,19702,,39.60455217,-75.77280314,(302) 834-0225
us-de-newark-the-newman-center-st-thomas-more-oratory-4a0d0234,The Newman Center @ St. Thomas More Oratory,45,,Lovett,Ave,,,,45 Lovett Ave,Newark,DE,19711,,39.67904,-75.74768,(302) 368-4728
us-de-rehoboth-beach-st-edmond-8da98deb,St. Edmond,409,,King Charles,Ave,,,,409 King Charles Ave,Rehoboth Beach,DE,19971,,38.7129,-75.07864,(302) 227-4550
us-de-seaford-our-lady-of-lourdes-913a5edf,Our Lady of Lourdes,528,E,Stein,Hwy,,,,528 E Stein Hwy,Seaford,DE,19973,,38.64841,-75.61049,(302) 629-3591
