Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Adoration,Tue,6:45 PM,,Adoration of the Blessed Sacrament,specific_weekday,English,Saint Leo Abbey,,,,,During the Fall & Spring Semesters
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Mon,6:00 PM,,Vespers,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Mon,7:00 AM,,Lauds,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Tue,6:00 PM,,Vespers,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Tue,7:00 AM,,Lauds,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Wed,6:00 PM,,Vespers,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Wed,7:00 AM,,Lauds,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Thu,6:00 PM,,Vespers,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Thu,7:00 AM,,Lauds,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Fri,6:00 PM,,Vespers,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Fri,7:00 AM,,Lauds,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Sat,6:00 PM,,Vespers,specific_weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Sat,7:00 AM,,Lauds,specific_weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Sun,6:00 PM,,Solemn Vespers,sunday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,Sun,7:30 AM,,Lauds,sunday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,,6:00 PM,,Solemn Vespers,daily,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Devotions,,7:30 AM,,Lauds,daily,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Mon,12:00 PM,,Sext & Eucharist,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Tue,12:00 PM,,Sext & Eucharist,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Wed,12:00 PM,,Sext & Eucharist,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Thu,12:00 PM,,Sext & Eucharist,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Fri,12:00 PM,,Sext & Eucharist,weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Sat,12:00 PM,,Sext & Eucharist,specific_weekday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Sun,10:00 AM,,Eucharist,sunday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,Sun,12:00 PM,,Sext,sunday,English,Saint Leo Abbey,,,,,
Abbey of St. Leo,"33601 State Rd 52, Saint Leo, Florida 33574-2350",(352) 588-8624,Other,,10:00 AM,,Eucharist,daily,English,Saint Leo Abbey,,,,,
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sat,4:30 PM,,Vigil Mass,saturday,English,,,,,,vigil
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sat,7:00 PM,,Vigil Mass,saturday,spanish,,,,,,vigil
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sat,8:00 AM,,Mass,saturday,English,CHAPEL,,,,,
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sun,11:00 AM,,Mass,sunday,English,,,,,,
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sun,2:00 PM,,Mass,sunday,English,,,,,,
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sun,5:00 PM,,Mass,sunday,spanish,,,,,,
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sun,8:00 AM,,Mass,sunday,English,,,,,,
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Mass,Sun,9:30 AM,,Mass,sunday,English,,,,,,family
All Saints,"10900 W Oakland Park Blvd, Sunrise, Florida 33351",(954) 742-2666,Confession,Fri,11:00 AM,1:00 PM,Confessions,specific_weekday,bilingual,,,,,,
All Saints,"2801 Curlew Rd, Clearwater, Florida 33761-1333",(727) 789-1025,Other,Sun,11:00 AM,,Liturgy,sunday,English,,,,,,
All Saints,"2801 Curlew Rd, Clearwater, Florida 33761-1333",(727) 789-1025,Other,Sun,9:00 AM,,Liturgy,sunday,English,,,,,,
All Saints (Byzantine),"10291 Bayshore Rd, North Fort Myers, Florida 33917",(239) 599-4023,Mass,Sun,10:00 AM,,Divine Liturgy,sunday,English,All Saints Byzantine Catholic Church,,,,,
All Saints (Byzantine),"10291 Bayshore Rd, North Fort Myers, Florida 33917",(239) 599-4023,Mass,Sun,8:00 AM,,Divine Liturgy,sunday,English,All Saints Byzantine Catholic Church,,,,,
All Saints (Byzantine),"10291 Bayshore Rd, North Fort Myers, Florida 33917",(239) 599-4023,Other,Wed,6:00 PM,,Pre-sanctified Liturgy,specific_weekday,English,All Saints Byzantine Catholic Church ),,,,,note: during the season of the Great Fast (Lent
All Saints (Byzantine),"10291 Bayshore Rd, North Fort Myers, Florida 33917",(239) 599-4023,Other,Fri,9:30 AM,,Typika service,specific_weekday,English,All Saints Byzantine Catholic Church ),,,,,note: during the season of the Great Fast (Lent
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,Mon,8:30 AM,,Mass,weekday,english,Historic Chapel,,,,,
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,Tue,8:30 AM,,Mass,weekday,english,Historic Chapel,,,,,
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,Wed,8:30 AM,,Mass,weekday,english,Historic Chapel,,,,,
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,Thu,8:30 AM,,Mass,weekday,english,Historic Chapel,,,,,
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,Fri,8:30 AM,,Mass,weekday,english,Historic Chapel,,,,,
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,Sat,8:30 AM,,Mass,saturday,english,Historic Chapel,,,,,
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,,2:00 PM,,Mass,monthly,latin,Historic Chapel,third_sunday,,,,1st/3rd Sunday Low Mass; 2nd/4th Sunday High Mass; 5th Sunday Alternating; 1st/3rd Sunday Low Mass; 2nd/4th Sunday High Mass; 5th Sunday Alternating; 1st/3rd Sunday Low Mass; 2nd/4th Sunday High Mass; 5th Sunday Alternating
All Souls,"3280 W 1st St, Sanford, Florida 32771",407-322-3795,Mass,,6:00 PM,,Latin Mass,special_event,English,Historic Chapel,,2026-02-18,,,Latin Mass; Ash Wednesday; includes distribution of ashes
