Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"10900 W Oakland Park Blvd, Sunrise",(954) 742-2666,Mass,4:30 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"10900 W Oakland Park Blvd, Sunrise",(954) 742-2666,Mass,7:00 PM,,Vigil Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"10900 W Oakland Park Blvd, Sunrise",(954) 742-2666,Mass,8:00 AM,,Mass,English,CHAPEL,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls,"3280 W 1st St, Sanford",407-322-3795,Mass,8:30 AM,,Mass,english,Historic Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls Parish - Historic Chapel,"800 S Oak Ave, Sanford",407-322-3795,Mass,8:30 AM,,Mass,english,Historic Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"1020 Montgomery Rd, Altamonte Springs",14078699472,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"1020 Montgomery Rd, Altamonte Springs",(407) 869-9472,Mass,5:00 PM,,Mass,English,Annunciation Catholic Church,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"3781 SW 39th St, Hollywood",(954) 989-0606,Mass,5:30 PM,,Vigil Mass,english,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"1020 Montgomery Rd, Altamonte Springs",14078699472,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"1020 Montgomery Rd, Altamonte Springs",(407) 869-9472,Mass,8:00 AM,,Mass,English,Annunciation Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"3781 SW 39th St, Hollywood",(954) 989-0606,Mass,8:15 AM,,Mass,english,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"7250 N Federal Hwy, Boca Raton",(561) 997-5486,Mass,4:30 PM,,Vigil Mass,English,,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension Catholic Church,"2950 N Harbor City Blvd, Melbourne",(321) 254-1595,Mass,4:30 PM,,Mass,English,,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension Catholic Church,"2950 N Harbor City Blvd, Melbourne",(321) 254-1595,Mass,9:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"2403 Atlantic Blvd, Jacksonville",(904) 398-1963,Mass,4:00 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"2001 S Ocean Blvd, Lauderdale By The Sea",(954) 941-7647,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"2001 S Ocean Blvd, Lauderdale By The Sea",(954) 941-7647,Mass,5:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"2403 Atlantic Blvd, Jacksonville",(904) 398-1963,Mass,8:00 AM,,Mass,English,Church,Novena
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of Blessed Virgin Mary (Ukrainian),"39 NW 57th Ct, Miami",786-592-1563,Mass,TBD,,Divine Liturgy,English,,contact Fr. Andrii Romankiv to arrange a time
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Edward,"144 N County Rd, Palm Beach",561-832-0400,Mass,5:30 PM,,Mass,english,Basilica of St. Edward,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Edward,"144 N County Rd, Palm Beach",561-832-0400,Mass,8:30 AM,,Mass,english,Basilica of St. Edward,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Mary Star of the Sea,"1010 Windsor Ln, Key West",(305) 294-1018,Mass,6:00 PM,,Vigil Mass,english,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Paul,"317 Mullally St, Daytona Beach",(386) 252-5422,Mass,4:00 PM,,Mass,English,,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Paul,"317 Mullally St, Daytona Beach",(386) 252-5422,Mass,5:00 PM,,Mass,English,,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Paul,"317 Mullally St, Daytona Beach",(386) 252-5422,Mass,6:30 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Paul,"317 Mullally St, Daytona Beach",(386) 252-5422,Mass,7:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Paul,"317 Mullally St, Daytona Beach",(386) 252-5422,Mass,9:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of The Immaculate Conception,"121 E Duval St, Jacksonville",(904) 359-0331,Mass,12:10 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of The Immaculate Conception,"121 E Duval St, Jacksonville",(904) 359-0331,Mass,7:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,"Basilica of the National Shrine of Mary, Queen of the Universe","8300 Vineland Ave, Orlando",(407) 239-6600,Mass,12:00 PM,,Mass,english,Main Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,"Basilica of the National Shrine of Mary, Queen of the Universe","8300 Vineland Ave, Orlando",(407) 239-6600,Mass,4:00 PM,,Mass,spanish,Main Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,"Basilica of the National Shrine of Mary, Queen of the Universe","8300 Vineland Ave, Orlando",(407) 239-6600,Mass,6:00 PM,,Mass,english,Main Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Francis Xavier Seelos ,"31122 US Hwy 31, Spanish Fort",(251) 288-4500,Mass,4:30 PM,,Mass,english,"31122 US Hwy 31 Spanish Fort, AL 36527",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"720 12th St, Clermont",(352) 394-3562,Mass,4:00 PM,,Mass,English,Blessed Sacrament,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"5135 N U S 1, Cocoa",(321) 632-6333,Mass,4:00 PM,,Youth Group Mass,English,,Youth Group Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"1701 E Oakland Park Blvd, Oakland Park",(954) 564-1010,Mass,4:00 PM,,Vigil Mass,English,Blessed Sacrament Catholic Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"5135 N U S 1, Cocoa",(321) 632-6333,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"11565 66th Ave N, Seminole",(727) 391-4661,Mass,4:30 PM,,Mass,English,,vigil; note: Rosary prayed 16:00
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"7001 12th Ave S, Tampa",(813) 626-2984,Mass,4:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"624 Miccosukee Rd, Tallahassee",(850) 222-1321,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"720 12th St, Clermont",(352) 394-3562,Mass,6:00 PM,,Mass,spanish,Blessed Sacrament,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"11565 66th Ave N, Seminole",(727) 391-4661,Mass,8:00 AM,,Mass,English,,note: Rosary prayed 07:30
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"720 12th St, Clermont",(352) 394-3562,Mass,8:30 AM,,Mass,English,Blessed Sacrament,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"720 12th St, Clermont",(352) 394-3562,Mass,8:30 AM,,Mass,English,Blessed Sacrament,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"624 Miccosukee Rd, Tallahassee",(850) 222-1321,Mass,8:30 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"7001 12th Ave S, Tampa",(813) 626-2984,Mass,8:30 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"1600 54th Ave S, Saint Petersburg",(727) 867-3663,Mass,4:00 PM,,Mass,English,,tags: vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"4545 Anderson Rd, Orlando",(407) 277-1702,Mass,5:00 PM,,Mass,english,Main Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"4020 Curtiss Pkwy, Virginia Gardens",(305) 871-5780,Mass,5:00 PM,,Vigil Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"10472 Beach Blvd, Jacksonville",(904) 641-1414,Mass,5:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"1600 54th Ave S, Saint Petersburg",(727) 867-3663,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"10472 Beach Blvd, Jacksonville",(904) 641-1414,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"4545 Anderson Rd, Orlando",(407) 277-1702,Mass,8:30 AM,,Mass,english,Main Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"4020 Curtiss Pkwy, Virginia Gardens",(305) 871-5780,Mass,8:30 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity,"2331 Hwy 177A, Bonifay",(850) 745-8359,Mass,9:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity Catholic Church,"5 S.E 17th St, Ocala",(352) 629-8092,Mass,4:00 PM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity Catholic Church,"5 S.E 17th St, Ocala",(352) 629-8092,Mass,6:00 PM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Trinity Catholic Church,"5 S.E 17th St, Ocala",(352) 629-8092,Mass,8:00 AM,,Mass,English,Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Byzantine Catholic Community,"15699 SE 80th Ave, Summerfield",(352) 326-9831,Mass,11:00 AM,,Vigil Divine Liturgy,English,"15699 SE 80th Ave. Summerfield, FL 34491",mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral Basilica of St. Augustine,"38 Cathedral Pl, Saint Augustine",(904) 824-2806,Mass,5:00 PM,,Mass,English,Cathedral Basilica,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral Basilica of St. Augustine,"38 Cathedral Pl, Saint Augustine",(904) 824-2806,Mass,7:00 AM,,Mass,English,Cathedral Basilica,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St Ignatius Loyola,"9999 N Military Trail, Palm Beach Gardens",561-622-2565,Mass,4:30 PM,,Mass,English,Cathedral of St. Ignatius Loyola,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St Ignatius Loyola,"9999 N Military Trail, Palm Beach Gardens",561-622-2565,Mass,8:30 AM,,Mass,English,Cathedral of St. Ignatius Loyola,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Jude the Apostle,"5815 5th Ave N, St Petersburg",727-347-9702,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Jude the Apostle,"5815 5th Ave N, St Petersburg",727-347-9702,Mass,8:15 AM,,Mass,English,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Epiphany of Our Lord,"310 Sarasota St, Venice",9414843505,Mass,3:00 PM,,Vigil Mass,English,Parish Center,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Epiphany of Our Lord,"310 Sarasota St, Venice",9414843505,Mass,4:30 PM,,Vigil Mass,English,Parish Center,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Epiphany of Our Lord,"310 Sarasota St, Venice",9414843505,Mass,6:00 PM,,Mass,spanish,Parish Center,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Epiphany of Our Lord,"310 Sarasota St, Venice",9414843505,Mass,8:30 AM,,Mass,English,Parish Center,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Sacred Heart,"1212 E Moreno St, Pensacola",(850) 438-3131,Mass,4:00 PM,,Mass,English,Cathedral,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Sacred Heart,"1212 E Moreno St, Pensacola",(850) 438-3131,Mass,8:00 AM,,Mass,English,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Student Center at USF,"13005 N 50th St, Tampa",(813) 988-3727,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Centro Guadalupano,"2150 Bomber Rd, Wahneta",(863) 299-3854,Mass,8:00 PM,,Mass,English,"Centro Guadalupano Mission, Wahneta",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of Christ the King,"1900 Meadowood St, Sarasota",(941) 924-2777,Mass,9:00 AM,,Mass,English,,check bulletin
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our Redeemer,"1028 White Point Dr, Niceville",(850) 897-7797,Mass,5:30 PM,,Mass,english,Christ Our Redeemer,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the Good Shepherd,"239 N US Hwy 129, Bell",(352)493-9723,Mass,6:30 PM,,Mass,English,"Christ the Good Shepard, Bell",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"742 Arlington Rd, Jacksonville",(904) 724-0080,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"16000 S.W 112th Ave, Perrine",(305) 238-2485,Mass,7:00 PM,,Mass,spanish,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"742 Arlington Rd, Jacksonville",(904) 724-0080,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"742 Arlington Rd, Jacksonville",(904) 724-0080,Mass,8:00 PM,,Mass,vietnamese,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King (Blessed Trinity Parish),"14045 N Hwy 301, Citra",352-595-5605,Mass,7:00 PM,,Mass,spanish,Christ the King,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Co-Cathedral of St. Thomas More,"900 W Tennessee St, Tallahassee",(850) 222-9630,Mass,5:15 PM,,Mass,english,In the church,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Co-Cathedral of St. Thomas More,"900 W Tennessee St, Tallahassee",(850) 222-9630,Mass,8:00 AM,,Mass,english,In the church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Community of St. Jude,"443 Marion Oaks Dr, Ocala",(352) 347-0154,Mass,4:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Community of St. Jude,"443 Marion Oaks Dr, Ocala",(352) 347-0154,Mass,6:00 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Community of the Queen of Peace,"10900 S W 24th Ave, Gainesville",(352) 332-6279,Mass,5:30 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Community of the Queen of Peace,"10900 S W 24th Ave, Gainesville",(352) 332-6279,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"1050 Celebration Ave, Celebration",(321) 939-1491,Mass,4:00 PM,,Mass,English,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"9715 N 56th St, Temple Terrace",(813) 988-1593,Mass,4:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"307 Beach Dr, Destin",(850) 654-5422,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"1050 Celebration Ave, Celebration",(321) 939-1491,Mass,5:30 PM,,Mass,English,,vigil; note: January - March only
