slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
church-d3aaa2228222,Epiphany,1905,SW,Epiphany,Ct,,,,1905 SW Epiphany Ct,,,32025,,30.16303777,-82.64094399,(386) 752-4470
church-040474001fa3,St. John Fisher,4001,N,Shore,Dr,,,,4001 N Shore Dr,,,33407,,26.75013997,-80.08011457,561-842-1224
us-fl-altamonte-springs-church-of-the-annunciation-261475d1,Annunciation,1020,,Montgomery,Rd,,,,1020 Montgomery Rd,Altamonte Springs,FL,32714,,28.6830625,-81.4030625,14078699472
us-fl-altamonte-springs-annunciation-catholic-church-c6939fd1,Annunciation,1020,,Montgomery,Rd,,,,1020 Montgomery Rd,Altamonte Springs,FL,32714,,28.68319789,-81.40342805,(407) 869-9472
us-fl-altamonte-springs-st-mary-magdalen-catholic-church-aed3bba2,St. Mary Magdalen Catholic Church,861,,Maitland,Ave,,,,861 Maitland Ave,Altamonte Springs,FL,32701,,28.6513118,-81.365845,(407) 831-1212
us-fl-altamonte-springs-st-mary-magdalen-catholic-church-75d134e2,St. Mary Magdalen Catholic Church,861,,Maitland,Ave,,,,861 Maitland Ave,Altamonte Springs,FL,32701,,28.6471567,-81.364282,+1-407-831-1212
us-fl-apalachicola-st-patrick-974b8da6,St. Patrick,27,,6th,St,,,,27 6th St,Apalachicola,FL,32320,,29.72446297,-84.98445044,850-653-2100
us-fl-apopka-church-of-st-francis-of-assisi-7acce281,St. Francis of Assisi,834,S,Orange Blossom Tr,,,,,834 S Orange Blossom Tr,Apopka,FL,32703,6560,28.6651875,-81.4898125,14078864602
us-fl-apopka-st-francis-of-assisi-catholic-church-5b2903e3,St. Francis of Assisi Catholic Church,834,S,Orange Blossom,Trl,,,,834 S Orange Blossom Trail,Apopka,FL,32703,,28.66644484,-81.48938298,(407) 886-4602
us-fl-apopka-st-mary-protectress-ukrainian-746dfad3,St. Mary Protectress (Ukrainian),245,,Lake McCoy,Dr,,,,245 Lake McCoy Dr,Apopka,FL,32712,,28.68855476,-81.50662231,(407) 927-6586
us-fl-apopka-ukrainian-catholic-church-733e9f82,Ukrainian Catholic Church,245,,Lake McCoy,Dr,,,,245 Lake McCoy Dr,Apopka,FL,32712,,28.6885632,-81.5055355,+1-407-880-1640
us-fl-arcadia-st-pauls-catholic-church-68148746,St Paul's Catholic Church,1330,E,Oak,St,,,,1330 E Oak St,Arcadia,FL,34266,,27.2086449,-81.8442081,+1-863-494-2611
us-fl-arcadia-st-paul-30d397d6,St. Paul,1330,E,Oak,St,,,,1330 E Oak St,Arcadia,FL,34266,,27.209837,-81.84666,(863) 494-2611
us-fl-astor-st-hubert-of-the-forest-924c5d6a,Mission of St. Hubert of the Forest,55600,,Veterans,Dr,,,,55600 Veterans Dr,Astor,FL,32102,,29.1647472,-81.54774,(352) 759-3983
us-fl-atlantic-beach-st-john-the-baptist-catholic-church-9a66323d,St John the Baptist Catholic Church,2400,,Mayport,Rd,,,,2400 Mayport Rd,Atlantic Beach,FL,32233,,30.35209549,-81.41472372,904-246-6014
us-al-atmore-st-robert-bellarmine-f0618ea1,St. Robert Bellarmine,600,S,Main,St,,,,600 S Main St,Atmore,AL,36502,,31.01687937,-87.49410453,(251) 368-3615
us-fl-ave-maria-ave-maria-a86deccd,Oratory of Ave Maria,5078,,Pope John Paul II,Blvd,,,,5078 Pope John Paul II Blvd,Ave Maria,FL,34142,,26.33665276,-81.43727112,(239) 261-5555
us-fl-ave-maria-rhodora-j-donahue-academy-of-ave-maria-5a66a9d5,Rhodora J. Donahue Academy of Ave Maria,4955,,Seton,Way,,,,4955 Seton Way,Ave Maria,FL,34142,,26.3407847,-81.4351014,+1-239-842-3241
us-fl-avon-park-our-lady-of-grace-68c5e799,Our Lady of Grace,595,E,Main,St,,,,595 E Main St,Avon Park,FL,33825,,27.59559433,-81.50783906,(863) 453-4757
us-fl-avon-park-our-lady-of-grace-catholic-church-0693b728,Our Lady of Grace Catholic Church,595,E,Main,St,,,,595 E Main St,Avon Park,FL,33825,,27.5961824,-81.4906409,+1-863-453-4757
us-ga-bainbridge-st-joseph-the-worker-6b2499d6,St. Joseph,1207,,Randolph,St,,,,1207 Randolph St,Bainbridge,GA,39819,,30.89272163,-84.56585038,(229) 726-3752
us-fl-bartow-church-of-st-thomas-aquinas-d738b9dc,St. Thomas Aquinas,1305,E,Mann,Rd,,,,1305 E Mann Rd,Bartow,FL,33830,7599,27.8738125,-81.8313125,18635338578
us-fl-bartow-st-thomas-aquinas-catholic-church-c70a0170,St. Thomas Aquinas Catholic Church,2180,S,Kissingen,Ave,,,,2180 S Kissingen Ave Bartow Fl,Bartow,FL,33830,,27.8750681,-81.8296589,863-533-8578
us-fl-bell-christ-the-good-shepherd-a87521fc,Christ the Good Shepherd,239,N,US,Hwy,,,,239 N US Hwy 129,Bell,FL,32619,,29.74099795,-82.85879016,(352)493-9723
