Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Mon,7:00 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Mon,9:30 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Tue,7:00 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Tue,9:30 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Wed,6:00 PM,,Mass,specific_weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Wed,7:00 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Wed,9:30 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Thu,7:00 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Thu,9:30 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
All Saints,"2443 Mount Vernon Rd, Dunwoody, Georgia 30338",(770) 393-3255,Mass,Fri,7:00 AM,,Mass,weekday,english,Church-1-Main Sanctuary,,,,,
