Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"2443 Mount Vernon Rd, Dunwoody",(770) 393-3255,Mass,4:00 PM,,Mass,english,Church-1-Main Sanctuary,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"2443 Mount Vernon Rd, Dunwoody",(770) 393-3255,Mass,8:30 AM,,Mass,english,Church-1-Main Sanctuary,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Catholic Church,"2443 Mt Vernon Rd, Dunwoody",+1-770-393-3255,Mass,4:00 PM,,Mass,english,Church-1-Main Sanctuary,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Catholic Church,"2443 Mt Vernon Rd, Dunwoody",+1-770-393-3255,Mass,8:30 AM,,Mass,english,Church-1-Main Sanctuary,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of Sts. Peter and Paul,"214 E 8th St, Chattanooga",(423) 266-1618,Mass,5:30 PM,,Mass,english,Basilica,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Benedictine Priory,"6502 Seawright Dr, Savannah",+19123563520,Mass,7:30 AM,,Mass,English,Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"1003 E Victory Dr, Savannah",(912) 356-6980,Mass,5:30 PM,,Mass,English,Blessed Sacrament,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"1003 E Victory Dr, Savannah",(912) 356-6980,Mass,8:00 AM,,Mass,English,Blessed Sacrament,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of Christ the King,"2699 Peachtree Rd NE, Atlanta",(404) 233-2145,Mass,4:00 PM,,Mass,English,Cathedral,vigil; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of Christ the King,"2699 Peachtree Rd NE, Atlanta",(404) 233-2145,Mass,8:10 AM,,Mass,English,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Center at the University of Georgia,"1344 S Lumpkin St, Athens",(706) 543- 2293,Mass,5:00 PM,,Mass,English,,vigil; Except on home game days
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Church Pastoral Center,"701 Allgood St, Trion",+1-706-295-7014,Mass,5:30 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Shrine of The Immaculate Conception,"48 Martin Luther King Jr Dr SW, Atlanta",(404) 521-1866,Mass,9:00 AM,,Mass,English,Catholic Shrine of the Immaculate Conception,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Centro Católico del Espíritu Santo,"4465 Northside Dr, Atlanta",(403) 303-09927,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Centro Católico del Espíritu Santo,"4465 Northside Dr, Atlanta",(403) 303-09927,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our Hope,"1786 Wellborn Rd, Lithonia",(770) 482-5017,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our Hope Catholic Church,"1786 Wellborn Rd, Lithonia",+1-770-482-5017,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our King and Savior,"6341 Lake Oconee Pkwy, Greensboro",(706) 453-7292,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"6700 GA Hwy 354, Pine Mountain",(706) 663-0090,Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King Catholic Church,"6700 GA-354, Pine Mountain",+1-706-663-0090,Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the Redeemer,"991 Kilough Church Rd, Dawsonville",(706) 265-1361,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the Redeemer Catholic Church,"991 Kilough Church Rd, Dawsonville",+1-706-265-1361,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi ,"1745 Benton Blvd , Pooler",(912) 348-6426,Mass,5:30 PM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divina Misericordia,"3542 Clairmont Rd, Brookhaven",(404) 975-1765,Mass,7:00 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divino Niño Jesus Catholic Mision,"4400 Abbotts Bridge Rd, Duluth",+1-678-417-7912,Mass,5:00 PM,,Misas,English,"Divino Niño Jesús, Duluth, GA",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divino Niño Jesus Catholic Mision,"4400 Abbotts Bridge Rd, Duluth",+1-678-417-7912,Mass,7:00 PM,,Misas,English,"Divino Niño Jesús, Duluth, GA",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divino Niño Jesús,"4400 Abbotts Bridge Rd, Duluth",(678) 417-7912,Mass,5:00 PM,,Mass,spanish,Divino Niño Jesús,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divino Niño Jesús,"4400 Abbotts Bridge Rd, Duluth",(678) 417-7912,Mass,7:00 PM,,Mass,spanish,Divino Niño Jesús,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Samaritan,"55 Church St, Ellijay",(706) 636-2772,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Samaritan,"55 Church St, Ellijay",(706) 636-2772,Mass,7:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"3740 Holtzclaw Rd, Cumming",(770) 887-9861,Mass,5:00 PM,,Vigil Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"3740 Holtzclaw Rd, Cumming",(770) 887-9861,Mass,9:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Hartsfield–Jackson Atlanta International Airport F Terminal,"Hartsfield-Jackson Atlanta International Airport F Terminal, Atlanta",(404) 762-1051,Mass,4:30 PM,,Catholic Mass,English,"Interfaith Chapel, Concourse F",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"3175 Hathaway Ct, Atlanta",(770) 939-3501,Mass,5:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"3175 Hathaway Ct, Atlanta",(770) 939-3501,Mass,6:30 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"3175 Hathaway Ct, Atlanta",(770) 939-3501,Mass,9:15 AM,,Mass,english,,
