slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ga-acworth-st-clare-of-assisi-0480171b,St. Clare of Assisi ,6301,,Cedarcrest,Rd,,,,6301 Cedarcrest Rd,Acworth,GA,30101,,34.057419,-84.733516,(770) 485-0825
us-ga-adel-church-of-st-margaret-mary-a91e6268,St. Margaret Mary,1706,S,Hutchinson,Ave,,,,1706 S Hutchinson Ave,Adel,GA,31620,,31.1154375,-83.4148125,12298967319
us-ga-alapaha-saint-ann-3ea50204,St. Ann,9007,,US Hwy 82,,,,,9007 US Hwy 82,Alapaha,GA,31622,,31.38794835,-83.22630953,(229) 382-4600
us-ga-albany-saint-teresa-of-avila-a5c58cf1,St. Teresa,421,,Edgewood,Ln,,,,421 Edgewood Ln,Albany,GA,31707,,31.58307725,-84.18930979,(229) 439-2302
us-ga-alma-st-frances-of-rome-8f1ed0b5,St. Frances of Rome,1497,W,12th,St,,,,1497 W 12th St,Alma,GA,31510,,31.5443283,-82.4968891,+1-912-705-8927
us-ga-alma-saint-frances-of-rome-91ce35ef,St. Frances of Rome ,1497,,12th,St,W,,,1497 12th St W,Alma,GA,31510,,31.5449404,-82.51534313,(912) 705-8927
us-ga-alma-church-of-st-raymond-32bb2429,St. Raymond,32,W,,,,,,32 W,Alma,GA,31510,0431,31.53875,-82.46375,19126325623
us-ga-alpharetta-st-thomas-aquinas-53aa2629,St. Thomas Aquinas,535,,Rucker,Rd,,,,535 Rucker Rd,Alpharetta,GA,30004,,34.07651304,-84.34594912,(770) 475-4501
us-ga-americus-st-mary-9d75e4d3,St. Mary,332,S,Lee,St,,,,332 S Lee St,Americus,GA,31709,,32.06794768,-84.23066091,(229) 924-3495
us-ga-athens-catholic-center-at-the-university-of-georgia-36063e3e,Catholic Center at the University of Georgia,1344,S,Lumpkin,St,,,,1344 S Lumpkin St,Athens,GA,30605,,33.94383349,-83.38242956,(706) 543- 2293
us-ga-athens-st-joseph-0f6d6e81,St. Joseph,958,,Epps Bridge,Pkwy,,,,958 Epps Bridge Pkwy,Athens,GA,30606,,33.925268,-83.443879,(706) 548-6332
us-ga-atlanta-cathedral-of-christ-the-king-bc0eabc6,Cathedral of Christ the King,2699,,Peachtree,Rd,NE,,,2699 Peachtree Rd NE,Atlanta,GA,30305,,33.8280945,-84.38665,(404) 233-2145
us-ga-atlanta-catholic-shrine-of-the-immaculate-conception-4c39a33e,Catholic Shrine of The Immaculate Conception,48,,Martin Luther King Jr,Dr,SW,,,48 Martin Luther King Jr Dr SW,Atlanta,GA,30303,,33.75048415,-84.38959357,(404) 521-1866
us-ga-atlanta-centro-católico-del-espíritu-santo-1ff8d108,Centro Católico del Espíritu Santo,4465,,Northside,Dr,,,,4465 Northside Dr,Atlanta,GA,30327,,33.8773399,-84.41133,(403) 303-09927
us-ga-atlanta-georgia-institute-of-technology-84206f06,Georgia Institute of Technology,172,,4th,St,NW,,,172 4th St NW,Atlanta,GA,30313,,33.7754974,-84.39297,(404) 892-6759  
us-ga-atlanta-hartsfieldjackson-atlanta-international-airport-f-terminal-516b434f,Hartsfield–Jackson Atlanta International Airport F Terminal,,,Hartsfield-Jackson Atlanta International Airport F Terminal,,,,,Hartsfield-Jackson Atlanta International Airport F Terminal,Atlanta,GA,30320,,33.64048251,-84.41972441,(404) 762-1051
us-ga-atlanta-holy-cross-8bc93a13,Holy Cross,3175,,Hathaway,Ct,,,,3175 Hathaway Ct,Atlanta,GA,30341,,33.88331223,-84.23973083,(770) 939-3501
us-ga-atlanta-holy-spirit-4d2bdef0,Holy Spirit,4465,,Northside,Dr,,,,4465 Northside Dr,Atlanta,GA,30327,,33.8773399,-84.41133,(404) 252-4513
us-ga-atlanta-ignatius-house-jesuit-retreat-center-0ee629d3,Ignatius House Jesuit Retreat Center,6700,,Riverside,Dr,,,,6700 Riverside Dr,Atlanta,GA,30328,,33.939256,-84.407639,(404) 255-0503
us-ga-atlanta-immaculate-heart-of-mary-8ab3800a,Immaculate Heart of the Blessed Virgin Mary,2855,,Briarcliff,Rd,NE,,,2855 Briarcliff Rd N.E,Atlanta,GA,30329,,33.8327751,-84.3202,(404) 636-1418
us-ga-atlanta-most-blessed-sacrament-64b57318,Most Blessed Sacrament,2971,,Butner,Rd,,,,2971 Butner Rd,Atlanta,GA,30331,,33.67697339,-84.54499743,(404) 349-9263
us-ga-atlanta-most-blessed-sacrament-catholic-church-763d6ac8,Most Blessed Sacrament Catholic Church,2971,,Butner,Rd,,,,2971 Butner Rd,Atlanta,GA,30331,,33.6781463,-84.5477017,+1-404-349-9263
us-ga-atlanta-our-lady-of-lourdes-bcd46338,Our Lady of Lourdes,25,,,Blvd,NE,,,25 Blvd NE,Atlanta,GA,30312,,33.75474969,-84.37179122,(404) 522-6776
us-ga-atlanta-sacred-heart-of-jesus-d17e9e1d,Sacred Heart of Jesus,353,,Peachtree,St,NE,,,353 Peachtree St N.E,Atlanta,GA,30308,,33.7644587,-84.3857844,(404) 522-6800
us-ga-atlanta-st-anthony-of-padua-c7c1cc67,St. Anthony of Padua,928,,Ralph David Abernathy,Blvd,SW,,,928 Ralph David Abernathy Blvd SW,Atlanta,GA,30310,,33.73780063,-84.41793851,(404) 758-8861
us-ga-atlanta-st-john-chrysostom-melkite-05493d9f,St. John Chrysostom (Melkite),1428,,Ponce de Leon,Ave,NE,,,1428 Ponce de Leon Ave NE,Atlanta,GA,30307,1616,33.775685,-84.340042,(404) 373-9522
us-ga-atlanta-st-paul-of-the-cross-95b7291a,St. Paul of the Cross,551,,Harwell,Rd,NW,,,551 Harwell Rd NW,Atlanta,GA,30318,,33.7706688,-84.49383933,(404) 696-6704
us-ga-atlanta-university-catholic-center-at-emory-university-1c49ebe6,University Catholic Center at Emory University,1753,N,Decatur,Rd,,,,1753 N Decatur Rd,Atlanta,GA,30307,,33.7892083,-84.31898007,(404) 636-7237
us-ga-augusta-most-holy-trinity-499ca408,Most Holy Trinity,720,,Telfair,St,,,,720 Telfair St,Augusta,GA,30901,,33.47157995,-81.96656174,(706) 722-4944
us-ga-augusta-st-ignatios-of-antioch-melkite-65b0d54e,St. Ignatios of Antioch (Melkite),1003,,Merry,St,,,,1003 Merry St,Augusta,GA,30904,,33.473508,-82.001426,(706) 364-6219
us-ga-augusta-st-john-the-theologian-205bb007,St. John the Theologian ,2819,,Peach Orchard,Rd,,,,2819 Peach Orchard Rd,Augusta,GA,30906,,33.41982761,-82.02329278,(706) 951-3326
us-ga-augusta-st-joseph-89c5daa4,St. Joseph,2607,,Lumpkin,Rd,,,,2607 Lumpkin Rd,Augusta,GA,30906,,33.42723991,-82.05397824,(706) 798-1920
us-ga-augusta-st-mary-on-the-hill-12912da1,St. Mary on the Hill,1420,,Monte Sano,Ave,,,,1420 Monte Sano Ave,Augusta,GA,30904,,33.47245427,-82.02777332,(706) 733-6627
us-ga-bainbridge-st-joseph-the-worker-6b2499d6,St. Joseph,1207,,Randolph,St,,,,1207 Randolph St,Bainbridge,GA,39819,,30.89272163,-84.56585038,(229) 726-3752
us-ga-baxley-church-of-st-rose-of-lima-772aad55,St. Rose of Lima,1520,,City,Cir,,,,1520 City Cir Rd,Baxley,GA,31515,,31.7544375,-82.3466875,19123660238
