Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Mass,Tue,7:00 AM,,Mass,specific_weekday,English,"Annunciation Catholic Church, Chapel, Waimea",,,,,chapel
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Mass,Wed,12:00 PM,,Mass,specific_weekday,English,"Annunciation Catholic Church, Waimea",,,,,
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Mass,Thu,7:00 AM,,Mass,specific_weekday,English,"Annunciation Catholic Church, Chapel, Waimea",,,,,chapel
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Mass,Fri,12:00 PM,,Mass,specific_weekday,English,"Annunciation Catholic Church, Waimea",,,,,
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Mass,Sat,5:00 PM,,Mass,saturday,English,Annunciation Church in Waimea,,,,,vigil
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Mass,Sun,8:00 AM,,Mass,sunday,English,"Annunciation Catholic Church, Waimea",,,,,
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Confession,Sat,4:00 PM,4:30 PM,Confession,other,English,"Annunciation Catholic Church Chapel, Waimea",,,,,or by appointment; chapel
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Confession,Sat,4:00 PM,,Confession,saturday,English,Annunciation Church in Waimea,,,,,
Annunciation,"65-1235 Kawaihae Rd, Waimea, Hawaii 96743",(808) 887-1220,Adoration,Fri,11:00 AM,11:30 AM,Adoration,other,English,"Annunciation Catholic Church, Waimea",,,,,
Ascension,"69-1789 Puako Beach Rd, Puako, Hawaii 96743",(808) 887-1220,Mass,Sun,10:00 AM,,Mass,sunday,English,"Ascension Mission, Puako",,,,,
Blessed Sacrament,"2124 Pauoa Rd, Honolulu, Hawaii 96813-1568",(808) 531-6980,Mass,Mon,7:00 AM,,Mass,specific_weekday,english,Blessed Sacrament Church,,,,,
