slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-hi-aiea-st-elizabeth-1f3ea1cf,St. Elizabeth,99-312,,Moanalua,Rd,,,,99-312 Moanalua Rd,Aiea,HI,96701,3632,21.3767223,-157.929916,(808) 487-2414
us-hi-captain-cook-st-benedict-30e552ab,St. Benedict,84-5140,,Painted Church,Rd,,,,84-5140 Painted Church Rd,Captain Cook,HI,96704,,19.43507005,-155.88838045,(808) 328-2227
us-ka-eleele-mission-of-the-sacred-heart-0f03d1f3,Mission of the Sacred Heart,2626,,Melemele,Rd,,,,2626 Melemele Rd Kauai Hawaii,Eleele,"Kauai,",96705,,21.9065625,-159.5846875,18083328011
us-hi-ewa-beach-immaculate-conception-9d81ea0b,Immaculate Conception,91-1298,,Renton,Rd,,,,91-1298 Renton Rd,Ewa Beach,HI,96706,1913,21.34511544,-158.03300432,(808) 681-3701
us-hi-ewa-beach-our-lady-of-perpetual-help-f50dc13f,Our Lady of Perpetual Help,91-1010,,N,Rd,,,,91-1010 N Rd,Ewa Beach,HI,96706,2731,21.31658721,-158.00655774,(808) 689-8681
us-hi-haiku-st-rita-686f4dff,St. Rita,655,,Haiku,Rd,,,,655 Haiku Rd,Haiku,HI,96708,,20.91776311,-156.3228788,(808) 575-2601
us-oa-haleiwa-mission-of-sts-peter-and-paul-8efce2b5,Mission of Sts. Peter and Paul,59-810,,Kamehameha,Hwy,,,,59-810 Kamehameha Hwy Oahu Hawaii,Haleiwa,"Oahu,",96712,,21.6436875,-158.0636875,18086374040
us-hi-hana-st-mary-4fb4dc17,St. Mary,5000,,Hana,Hwy,,,,5000 Hana Hwy,Hana,HI,96713,,20.75239333,-155.98734523,(808) 248-8030
us-hi-hanalei-st-william-57b63341,St. William,5292,,Kuhio,Hwy,,,,5292 Kuhio Hwy,Hanalei,HI,96714,,22.20233895,-159.49921936,(808) 822-7900
us-hi-hawi-sacred-heart-e39b8daf,Sacred Heart,55-3374,,Akoni Pule,Hwy,,,,55-3374 Akoni Pule Hwy,Hawi,HI,96719,,20.23800561,-155.83432245,(808) 889-6436
us-hi-hilo-malia-puka-o-kalani-6db3ea95,Malia Puka O Kalani,326,,Desha,Ave,,,,326 Desha Ave,Hilo,HI,96720,,19.72993703,-155.04284404,(808) 935-9338
us-hi-hilo-saint-joseph-parish-dfe03a89,St. Joseph Parish,,,P.O Box 2915,,,,,P.O Box 2915,Hilo,HI,96720,2915,19.72245383,-155.09023905,(808) 935-1465
us-hi-holualoa-immaculate-conception-75394cc4,Mission of the Immaculate Conception,76-5960,,Mamalahoa,Hwy,,,,76-5960 Mamalahoa Hwy,Holualoa,HI,96725,,19.61654476,-155.94945086,808-326-7771
us-hi-honalo-st-paul-56eab210,Mission of St. Paul,79-7234,,St Paul's,Rd,,,,79-7234 St Paul's Rd,Honalo,HI,96740,,19.5414059,-155.931472,808-326-7771
us-hi-honokaa-our-lady-of-lourdes-f915b1d3,Our Lady of Lourdes,45-5028,,Plumeria,St,,,,45-5028 Plumeria St,Honokaa,HI,96727,,20.0767841,-155.470917,(808) 775-9591
us-hi-honolulu-aliamanu-military-reservation-amr-9fa774e0,Aliamanu Military Reservation (AMR),1790,,Bougainvillea,Loop,,,,1790 Bougainvillea Loop,Honolulu,HI,96818,,21.36224282,-157.91021491,(214) 555-1722
us-hi-honolulu-blessed-sacrament-925e7228,Blessed Sacrament,2124,,Pauoa,Rd,,,,2124 Pauoa Rd,Honolulu,HI,96813,1568,21.31910133,-157.84745789,(808) 531-6980
us-hi-honolulu-cathedral-basilica-of-our-lady-of-peace-b581a297,Cathedral Basilica of Our Lady of Peace,1184,,Bishop,St,,,,1184 Bishop St,Honolulu,HI,96813,2838,21.31088815,-157.85971776,(808) 536-7036
us-hi-honolulu-co-cathedral-of-st-theresa-ca970041,Co-Cathedral of St. Theresa,712,N,School,St,,,,712 N School St,Honolulu,HI,96817,,21.3241058,-157.86093952,(808) 521-1700
