Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Mon,7:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Mon,9:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Tue,7:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Tue,9:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Wed,9:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Thu,7:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Fri,7:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Fri,9:00 AM,,Mass,specific_weekday,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Sat,5:00 PM,,Vigil Mass,saturday,English,All Saints Catholic Church,,,,,vigil
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Sun,10:00 AM,,Mass,sunday,English,All Saints,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Mass,Sun,7:30 AM,,Mass,sunday,English,All Saints,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Confession,Wed,5:00 PM,6:15 PM,Reconciliation,other,English,All Saints Catholic Church,,,,,
All Saints Catholic Church,"3330 14th St, Lewiston, Idaho 83501",208-743-1012,Confession,Sat,3:00 PM,4:30 PM,Reconciliation,saturday,English,All Saints,,,,,
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,"Assumption, Ferdinand",,,,,
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Mass,Sat,5:00 PM,,Mass,saturday,English,"Assumption Church, Ferdinand",,,,,
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Mass,,5:30 PM,,"Mass for the Holy Day – Solemnity of Mary, the Holy Mother of God",special_event,English,Assumption,,2025-12-31,,,"Mass for the Holy Day – Solemnity of Mary, the Holy Mother of God; Vigil"
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Mass,,8:00 AM,,First Saturday Mass,special_event,English,,,2026-01-31,,,First Saturday Mass
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Mass,,8:00 AM,,First Saturday Mass,special_event,English,,,2026-02-28,,,First Saturday Mass
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Mass,,8:00 PM,,Christmas Obligation Mass,special_event,English,Assumption,,2025-12-24,,,Christmas Obligation Mass; Vigil
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Adoration,,7:00 AM,,Third Thursday Adoration,special_event,English,,,2026-01-16,,,Third Thursday Adoration
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Adoration,,7:00 AM,,Third Thursday Adoration,special_event,English,,,2026-02-20,,,Third Thursday Adoration
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Adoration,,7:00 PM,,Third Thursday Adoration,special_event,English,,,2026-01-15,,,Third Thursday Adoration
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Adoration,,7:00 PM,,Third Thursday Adoration,special_event,English,,,2026-02-19,,,Third Thursday Adoration
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Devotions,,6:00 PM,,Stations of the Cross,special_event,English,,,2026-02-20,,,Stations of the Cross
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Devotions,,6:00 PM,,Stations of the Cross,special_event,English,,,2026-02-27,,,Stations of the Cross
Assumption,"460 Maple St, Ferdinand, Idaho 83526",208-962-3214,Other,,7:00 AM,,KC Breakfast,special_event,English,,,2026-02-08,,,KC Breakfast
