slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-id-aberdeen-blessed-sacrament-presentation-of-the-lord-0a8f16f6,Blessed Sacrament,635,S,4th,,W,,,635 S 4th W,Aberdeen,ID,83210,,42.93743233,-112.84433542,208-915-0467
us-id-aberdeen-blessed-sacrament-chapel-81ce6d68,Blessed Sacrament Chapel,635,S,4th,,W,,,635 S 4th W,Aberdeen,ID,83210,,42.93740054,-112.84433444,208-915-0467
us-id-american-falls-saint-marys-chapel-43d8833c,St. Mary,352,,Roosevelt,St,,,,352 Roosevelt St,American Falls,ID,83211,,42.78216609,-112.85140647,208-226-5217
us-id-arco-st-anns-catholic-church-9e14cf72,St Anns Catholic Church,342,,Lost River,Ave,,,,342 Lost River Ave,Arco,ID,83213,,43.63501429,-113.30526191,208-756-2432
us-id-arco-st-anns-catholic-church-33dabe40,St Anns Catholic Church,342,,Lost River,Ave,,,,342 Lost River Ave,Arco,ID,83213,,43.6350502,-113.3052528,+1-208-527-3035
us-id-blackfoot-st-bernard-b4763a86,St. Bernard,584,W,Sexton,St,,,,584 W Sexton St,Blackfoot,ID,83221,,43.19048016,-112.35222351,208-785-1935
us-id-boise-cathedral-of-st-john-the-evangelist-9719f73d,Cathedral of St. John the Evangelist,707,N,8th,St,,,,707 N 8th St,Boise,ID,83702,,43.62131158,-116.19831388,208-342-3511
us-id-boise-monastery-of-our-lady-of-ephesus-c7244721,Monastery of Our Lady of Ephesus,4450,N,Five Mile,Rd,,,,4450 N Five Mile Rd,Boise,ID,83713,,43.64535966,-116.3117518,208-453-6252
us-id-boise-our-lady-of-the-rosary-13c29dcf,Our Lady of the Rosary,1500,E,Wright,St,,,,1500 E Wright St,Boise,ID,83706,,43.57193991,-116.16405673,208-343-9041
us-id-boise-risen-christ-catholic-community-256ef1a9,Risen Christ Catholic Church,11511,,Lake Hazel,Rd,,,,11511 Lake Hazel Rd,Boise,ID,83709,6220,43.54627381,-116.3257558,(208) 362-6584
us-id-boise-sacred-heart-14644668,Sacred Heart,811,S,Latah,St,,,,811 S Latah St,Boise,ID,83705,,43.59656272,-116.22934402,208-344-8311
us-id-boise-st-marks-74376406,St. Mark,7960,W,Northview,St,,,,7960 W Northview St,Boise,ID,83704,,43.62711405,-116.28058392,208-375-6651
us-id-boise-st-marys-c0265b72,St. Mary,2604,W,State,St,,,,2604 W State St,Boise,ID,83702,,43.63159223,-116.22182525,(208) 344-2597
us-id-boise-st-paul-catholic-center-60dd5358,St. Paul Student Center,1910,W,University,Dr,,,,1910 W University Dr,Boise,ID,83725,,43.60277075,-116.20485679,(208) 343-2128
us-id-bonners-ferry-st-ann-ee97be52,St. Ann,6712,,El Paso,St,,,,6712 El Paso St,Bonners Ferry,ID,83805,,48.68406778,-116.31656581,208-267-2852
us-id-bruneau-st-bridget-1f6bc5b8,St. Bridget,28672,,Hyde,St,,,,28672 Hyde St,Bruneau,ID,83604,,42.88107392,-115.79917947,208-587-3046
us-id-buhl-immaculate-conception-38f64763,Immaculate Conception,1631,,Poplar,St,,,,1631 Poplar St,Buhl,ID,83316,,42.59685812,-114.768476,208-543-5136
us-id-burley-st-therese-of-the-little-flower-7fbfc5b7,St. Therese Little Flower,1601,,Oakley,Ave,,,,1601 Oakley Ave,Burley,ID,83318,,42.53255932,-113.79436102,208-678-5453
us-id-caldwell-our-lady-of-the-valley-635232df,Our Lady of the Valley,1122,W,Linden,St,,,,1122 W Linden St,Caldwell,ID,83605,,43.64882622,-116.71169669,208-459-3653
us-id-cambridge-holy-rosary-st-agnes-parish-688aa372,Holy Rosary (St. Agnes Parish),250,S,1st,St,,,,250 S 1st St,Cambridge,ID,83610,,44.57000666,-116.68058001, (208) 549-0088
us-id-cascade-st-katharine-drexel-7fe82090,St. Katherine Drexel,101,,Vista Point,Blvd,,,,101 Vista Point Blvd,Cascade,ID,83611,,44.52998162,-116.04027718,(208) 634-5474
us-id-challis-st-louise-catholic-church-c5a0330b,St Louise Catholic Church,1251,,Pleasant,Ave,,,,1251 Pleasant Ave,Challis,ID,83226,,44.50438176,-114.22529121,208-756-2432
us-id-chubbuck-church-of-st-paul-b340eb51,St. Paul,820,,W,Rd,,,,820 W Rd,Chubbuck,ID,83202,,42.9208125,-112.4845625,12082321196
us-id-clark-fork-sacred-heart-f447d03b,Sacred Heart,125,W,5th,Ave,,,,125 W 5th Ave,Clark Fork,ID,83811,,48.1476205,-116.17865941,(208) 263-3720
us-wa-clarkston-holy-family-68f578ec,Holy Family,1109,,Chestnut,St,,,,1109 Chestnut St,Clarkston,WA,99403,2538,46.41063967,-117.05243601,(509) 758-6102
us-id-coeur-dalene-st-pius-x-8dc52cde,St. Pius X,625,E,Haycraft,Ave,,,,625 E Haycraft Ave,Coeur d'Alene,ID,83815,,47.70275331,-116.77722758,208-765-5108
us-id-coeur-dalene-st-thomas-the-apostle-fcba8d74,St. Thomas the Apostle,919,E,Indiana,Ave,,,,919 E Indiana Ave,Coeur d'Alene,ID,83814,,47.67590221,-116.77356029,208-664-9259
us-wa-colbert-st-joseph-000e00fb,St. Joseph,3720,E,Colbert,Rd,,,,3720 E Colbert Rd,Colbert,WA,99005,,47.82274024,-117.35704306,(509) 466-4991
us-wa-colfax-st-patrick-9d9a12b2,St. Patrick,1018,S,Main,St,,,,1018 S Main St,Colfax,WA,99111,,46.87059291,-117.36514866,(509) 397-3921
us-wa-colton-st-gall-adc45241,St. Gall,312,,Steptoe,St,,,,312 Steptoe St,Colton,WA,99113,0108,46.57035109,-117.12875783,(509) 229-3548
us-id-cottonwood-st-mary-76aa6246,St. Mary,508,,Church,St,,,,508 Church St,Cottonwood,ID,83522,,46.05280087,-116.3506353,208-962-3214
us-id-council-st-jude-the-apostle-619c3e12,St. Jude the Apostle,2054,,US Hwy 95,,,,,2054 US Hwy 95,Council,ID,83612,,44.73975471,-116.43211829,(208) 549-0088
us-wa-cusick-our-lady-of-sorrows-fc60a547,Our Lady of Sorrows,1981,,LeClerc Creek,Rd,,,,1981 LeClerc Creek Rd,Cusick,WA,99119,,48.34513499,-117.27159871,(509) 446-2651
us-id-desmet-sacred-heart-mission-0d0be0e1,Sacred Heart,127,,Byrnes,Ave,,,,127 Byrnes Ave,DeSmet,ID,83824,,47.14507648,-116.91534732,208-274-5871
us-id-driggs-good-shepherd-5a206bfb,Good Shepherd,2559,S,ID-33,,,,,2559 S ID-33,Driggs,ID,83422,,43.6862387,-111.10786008,208-624-7459
us-id-emmett-sacred-heart-24295cc5,Sacred Heart,211,E,First,St,,,,211 E First St,Emmett,ID,83617,,43.87424754,-116.49853172,208-365-4320
us-id-fairfield-immaculate-conception-chapel-27b61ad8,Immaculate Conception,201,,Camas,St,W,,,201 Camas St W,Fairfield,ID,83327,,43.34665672,-114.79406922,208-788-3024
us-id-ferdinand-assumption-c37764fb,Assumption,460,,Maple,St,,,,460 Maple St,Ferdinand,ID,83526,,46.15350756,-116.39129738,208-962-3214
us-id-fort-hall-st-kateri-tekakwitha-chapel-6ede322b,St. Kateri Tekakwitha,,,D Ave and Sheepskin,Rd,,,, D Ave and Sheepskin Rd,Fort Hall,ID,83202,,43.03629356,-112.44091702,208-785-1935
us-id-fruitland-corpus-christi-902ef599,Corpus Christi,900,NW,7th,St,,,,900 NW 7th St,Fruitland,ID,83619,,44.01692936,-116.92789871,208-452-5778
us-id-garden-valley-st-jude-mission-a8699ba8,St. Jude,1056,,Banks Lowman,Rd,,,,1056 Banks Lowman Rd,Garden Valley,ID,83622,,44.09380077,-115.95694689,(208) 365-4320
us-id-genesee-st-mary-f02ab5d1,St. Mary,138,,Jackson,St,,,,138 Jackson St,Genesee,ID,83832,,46.55138598,-116.93508735,208-882-4813
us-id-glenns-ferry-our-lady-of-limerick-station-c185fb13,Our Lady of Limerick,415,S,Commercial,St,,,,415 S Commercial St,Glenns Ferry,ID,83623,,42.94986166,-115.29881152,(208) 587-3046
us-id-gooding-st-elizabeth-also-st-peter-st-anthony-f52979d8,"St. Elizabeth (also St Peter, St Anthony)",1515,,California,St,,,,1515 California St,Gooding,ID,83330,,42.92963366,-114.71578245,208-825-1868
us-id-grand-view-saint-henrys-catholic-church-aec1e84d,Saint Henry's Catholic Church,501,,Idaho,Ave,,,,501 Idaho Ave,Grand View,ID,83624,,42.9895369,-116.0952876,+1-208-587-3046
us-id-grangeville-sts-peter-and-paul-3a716e8c,Sts. Peter and Paul,318,S,B,St,,,,318 S B St,Grangeville,ID,83530,,45.92401795,-116.12726511,208-983-0403
us-id-greencreek-st-anthony-0d0a9691,St. Anthony,1070,,Greencreek,Rd,,,,1070 Greencreek Rd,Greencreek,ID,83533,,46.10728301,-116.26095868,208-962-3214
us-id-hagerman-st-catherines-station-85d4bf1e,St. Catherine,446,N,State,St,,,,446 N State St,Hagerman,ID,83332,,42.8196081,-114.8985408,208-543-5136
us-id-hailey-st-charles-borromeo-e32f2a60,St. Charles Borromeo,315,,First,Ave,S,,,315 First Ave S,Hailey,ID,83333,,43.51740518,-114.31225481,208-788-3024
us-id-harrison-our-lady-of-perpetual-help-station-4f1b6df7,Our Lady of Perpetual Help,100,,Frederick,Ave,,,,100 Frederick Ave,Harrison,ID,83833,,47.45483098,-116.78459226,(208) 689-3108
us-id-homedale-church-of-st-hubert-d61f807c,St. Hubert,101,E,Owyhee,Ave,,,,101 E Owyhee Ave,Homedale,ID,83628,,43.6189375,-116.9323125,
us-ut-hyde-park-st-thomas-aquinas-ff593ded,St. Thomas Aquinas,725,S,250,,E,,,725 S 250 E,Hyde Park,UT,84318,,41.78520203,-111.81438446,(435) 752-1478
us-id-idaho-city-st-josephs-chapel-our-lady-of-the-rosary-parish-cda5d17e,St. Joseph's Chapel (Our Lady of the Rosary Parish),206,E,Wallula,St,,,,206 E Wallula St,Idaho City,ID,83631,,43.82692559,-115.83151269,208-343-9041
us-id-idaho-falls-pope-saint-john-paul-ii-parish-holy-rosary-church-07585761,Holy Rosary Church,905,,So Lee,Ave,,,,905 So Lee Ave,Idaho Falls,ID,,,43.48949837,-112.03073144,(208) 522-4366
us-id-idaho-falls-pope-saint-john-paul-ii-parish-christ-the-king-church-094bcd28,Pope St. John Paul II Parish,1690,E,17th,St,,,,1690 E 17th St,Idaho Falls,ID,,,43.48140961,-111.99960375,(208) 522-4366
us-wy-jackson-our-lady-of-the-mountains-40fb54d9,Our Lady of the Mountains,201,,Jackson,St,,,,201 Jackson St,Jackson,WY,83001,0992,43.47714004,-110.76673178,(307) 733-2516
us-id-jerome-priory-of-the-ascension-a980d40e,Priory of the Ascension,541,E,100,,S,,,541 E 100 S,Jerome,ID,83338,,42.7066875,-114.4163125,12083242377
us-id-jerome-st-jerome-4130755e,St. Jerome,216,,2nd,Ave,E,,,216 2nd Ave E,Jerome,ID,83338,,42.72652473,-114.51571858,208-324-8794
us-id-kamiah-saint-catherine-of-siena-0d0baab9,St. Catherine of Siena,407,,7th,St,,,,407 7th St,Kamiah,ID,83536,,46.22486148,-116.02611592,208-935-2130
us-id-kellogg-st-rita-ac0e86dc,St. Rita,27,,Kellogg,Ave,,,,27 Kellogg Ave,Kellogg,ID,83837,,47.5319326,-116.1210758,208-784-7361
