Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Mass,Wed,8:00 AM,,Mass,specific_weekday,english,St. Frances of Rome,,,,,
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Mass,Fri,8:00 AM,,Mass,specific_weekday,spanish,St. Frances of Rome,,,,,
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Mass,Sat,4:00 PM,,Mass,saturday,english,St. Frances of Rome,,,,,vigil
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Mass,Sun,11:00 AM,,Mass,sunday,english,St. Frances of Rome,,,,,
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Mass,Sun,6:00 PM,,Mass,sunday,spanish,St. Frances of Rome,,,,,
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Mass,Sun,8:00 AM,,Mass,sunday,spanish,St. Frances of Rome,,,,,
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Confession,Sat,2:30 PM,,Confession,saturday,spanish,St. Frances of Rome,,,,,
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Adoration,Wed,7:00 PM,8:00 PM,Adoration,specific_weekday,English,St. Frances of Rome,,,,,exposition
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Adoration,Thu,8:45 AM,12:00 PM,Adoration,specific_weekday,English,St. Frances of Rome,,,,,exposition
 St. Frances of Rome Church  (St. Mary Frances of the Five Wounds Parish),"1500 S 59th Ct, Cicero, Illinois 60804",(708) 652-2140,Sacraments,Tue,8:00 AM,,Communion Service,specific_weekday,English,St. Frances of Rome,,,,,
