Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,Abbey of St. Benedict,"7561 W Lancaster Rd, Bartonville",13096330057,Mass,6:30 AM,,Vigils/Morning Prayer,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Abbey of St. Benedict,"7561 W Lancaster Rd, Bartonville",13096330057,Mass,7:00 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Annunciation of the Blessed Virgin Mary,"1820 Church Rd, Aurora",(630) 851-1436,Mass,8:45 AM,,Mass,English,Annunciation BVM Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ascension of Our Lord,"1S314 Summit Ave, Oakbrook Terrace",(630) 629-5810,Mass,12:00 PM,,Mass,English,,unless noted differently
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption,"323 W Illinois St, Chicago",(312) 644-0036,Mass,12:10 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption,"323 W Illinois St, Chicago",(312) 644-0036,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of Queen of All Saints,"6280 N Sauganash Ave, Chicago",(773) 736-6060,Mass,6:30 AM,,Mass,English,Queen of All Saints Basilica,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of Queen of All Saints,"6280 N Sauganash Ave, Chicago",(773) 736-6060,Mass,8:30 AM,,Mass,English,Queen of All Saints Basilica,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of St. Hyacinth,"3635 W George St, Chicago",(773) 342-3636,Mass,6:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of St. Hyacinth,"3635 W George St, Chicago",(773) 342-3636,Mass,7:00 PM,,Mass,polish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of St. Hyacinth,"3635 W George St, Chicago",(773) 342-3636,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Benedictine University,"5700 College Rd, Lisle",(630) 829-1310,Mass,12:20 PM,,Mass,English,St. Benedict Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Maria Gabriella East Parish,"743 N Armour St, Chicago",(312) 733-1068,Mass,8:00 AM,,Mass,English,Adoration Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Maria Gabriella West Parish,"2248 W Washington Blvd, Chicago",(312) 724-2108,Mass,8:30 AM,,Mass,English,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"1020 S First Ave, Morton",(309) 266-9721,Mass,8:00 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"1119 S 7th St, Quincy",(217) 222-2759,Mass,8:00 AM,,Mass,English,Blessed Sacrament Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"1725 S Walnut Ave, Springfield",(217) 528-7521,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"3745 S Paulina St, Chicago",(773) 523-3917,Mass,8:30 AM,,Mass,bilingual,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"3745 S Paulina St, Chicago",(773) 523-3917,Mass,8:30 AM,,Mass,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"3745 S Paulina St, Chicago",(773) 523-3917,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"801 Oak St, North Aurora",(630) 897-1029,Mass,8:30 AM,,Mass,English,Blessed Sacrament Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Raymond Nonnatus,"604 N Raynor Ave, Joliet",(815) 722-6653,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Immaculate Conception,"524 E Lawrence Ave, Springfield",(217) 522-3342,Mass,5:15 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Immaculate Conception,"524 E Lawrence Ave, Springfield",(217) 522-3342,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Catholic Center Calvert House ,"5735 S University Ave, Chicago",(773) 288-2311,Mass,12:30 PM,,Daily Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Madonna della Strada,"6453 N Kenmore Ave, Chicago",(773) 508-2200,Mass,12:00 PM,,Weekday Mass,English,Madonna della Strada Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chiesa Santa Maria del Popolo,"116 N Lake St, Mundelein",(847) 949-8300,Mass,8:00 AM,,Mass,english,,
