Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Mon,6:00 PM,,Mass,weekday,English,570 Sibley St.,,,,,
All Saints,"201 W Eliza St, San Pierre, Indiana 46374",(574) 896-2195,Mass,Mon,6:00 PM,,Mass,specific_weekday,English,,,,,,
All Saints,"112 E Market St, Logansport, Indiana 46947",(574) 722-4080,Mass,Mon,8:00 AM,,Mass,specific_weekday,english,,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Mon,9:30 AM,,Mass,weekday,English,570 Sibley St.,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Mon,9:30 AM,,Mass,specific_weekday,English,570 Sibley St.,,,,,
All Saints,"112 E Market St, Logansport, Indiana 46947",(574) 722-4080,Mass,Tue,5:30 PM,,Mass,specific_weekday,english,,,,,,
All Saints,"100 W Third St, Cannelburg, Indiana 47519",812-449-8387,Mass,Tue,6:00 PM,,Mass,specific_weekday,English,"ALL SAINTS Catholic Church – Cannelburg, IN",,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Tue,6:00 PM,,Mass,specific_weekday,English,570 Sibley St.,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Tue,6:00 PM,,Mass,weekday,English,570 Sibley St.,,,,,
All Saints,"201 W Eliza St, San Pierre, Indiana 46374",(574) 896-2195,Mass,Tue,8:00 AM,,Mass,specific_weekday,English,,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Tue,9:30 AM,,Mass,weekday,English,570 Sibley St.,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Wed,6:00 PM,,Mass,weekday,English,570 Sibley St.,,,,,
All Saints,"201 W Eliza St, San Pierre, Indiana 46374",(574) 896-2195,Mass,Wed,6:00 PM,,Mass,specific_weekday,English,,,,,,
All Saints,"112 E Market St, Logansport, Indiana 46947",(574) 722-4080,Mass,Wed,8:00 AM,,Mass,specific_weekday,english,,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Wed,9:30 AM,,Mass,weekday,English,570 Sibley St.,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Wed,9:30 AM,,Mass,specific_weekday,English,570 Sibley St.,,,,,
All Saints,"112 E Market St, Logansport, Indiana 46947",(574) 722-4080,Mass,Thu,5:30 PM,,Mass,specific_weekday,english,,,,,,
All Saints,"570 Sibley St, Hammond, Indiana 46320",(219) 932-0204,Mass,Thu,6:00 PM,,Mass,weekday,English,570 Sibley St.,,,,,
