Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"570 Sibley St, Hammond",(219) 932-0204,Mass,4:00 PM,,Mass,English,570 Sibley St.,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"112 E Market St, Logansport",(574) 722-4080,Mass,4:30 PM,,Vigil Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"201 W Eliza St, San Pierre",(574) 896-2195,Mass,4:30 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"201 W Eliza St, San Pierre",(574) 896-2195,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Parish -St. Martin Church ,"8044 Yorkridge Rd (Yorkville), Guilford",(812) 576-4302,Mass,4:00 PM,,Mass,English,St. Martin,livestream; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Parish St Joseph Church Campus,"600 E Virginia St, Evansville",(812) 423.5209,Mass,4:00 PM,,Mass,English,Saint Joseph Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Roman Catholic Church,"62 Needmore St, Walton",(859) 485-4476,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls Parish-St. James the Greater ,"22400 Torrence Ave, Sauk Village",(708) 895-6700,Mass,4:00 PM,,Mass,English,St. Ann Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciata,"11128 S Ave G, Chicago",(773) 221-1040,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciata,"11128 S Ave G, Chicago",(773) 221-1040,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciata,"11128 S Ave G, Chicago",(773) 221-1040,Mass,9:00 AM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation Parish - Holy Spirit Church,"1800 S Lodge Ave, Evansville",812-476-3061,Mass,4:00 PM,,Mass,English,Holy Spirit,note: Rosary 20 minutes before Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"4600 Lynnbrook Dr, Louisville",(502) 451-3860,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"7711 Joseph St, Mount Healthy",(513) 521-7274,Mass,3:00 PM,,Mass,English,Assumption,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"323 W Illinois St, Chicago",(312) 644-0036,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"323 W Illinois St, Chicago",(312) 644-0036,Mass,7:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption B V M,"3530 Illinois St, New Chicago",(219) 962-1073,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"3530 Illinois St, Hobart",+1-219-962-1073,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Francis Xavier Proto-Cathedral,"106 S 3rd St, Vincennes",(812) 882-5638,Mass,7:30 AM,,Mass,English,Old Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of the Sacred Heart,"101 Basilica Dr, Notre Dame",(574) 631-7800,Mass,5:00 PM,,Mass,English,Basilica,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Maria Gabriella East Parish,"743 N Armour St, Chicago",(312) 733-1068,Mass,4:00 PM,,Mass,english,Chapel,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Maria Gabriella West Parish,"2248 W Washington Blvd, Chicago",(312) 724-2108,Mass,4:00 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Mother,"601 E 23rd St, Owensboro",(270) 683-8444,Mass,4:00 PM,,Mass,English,Parish Hall,vigil; note: all celebrations in Parish Hall during renovation
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2409 Dixie Hwy, Fort Mitchell",(859) 331-4302,Mass,10:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2290 N State Rd 9, Albion",(260) 636-2072,Mass,4:00 PM,,Mass,English,"Blessed Sacrament Albion, IN",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"3745 S Paulina St, Chicago",(773) 523-3917,Mass,4:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2409 Dixie Hwy, Fort Mitchell",(859) 331-4302,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2224 Sacramento Ave, West Lafayette",(765) 463-5733,Mass,5:30 PM,,Mass,english,Church of the Blessed Sacrament,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"3745 S Paulina St, Chicago",(773) 523-3917,Mass,6:00 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2224 Sacramento Ave, West Lafayette",(765) 463-5733,Mass,7:30 PM,,Mass,spanish,Church of the Blessed Sacrament,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Fathers,"1628 Ridge Rd, Munster",+1-219-838-7111,Mass,5:00 PM,,Mass,english,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Fathers,"1628 Ridge Rd, Munster",+1-219-838-7111,Mass,6:00 AM,,Mass,english,Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Carmelite Fathers,"1628 Ridge Rd, Munster",+1-219-838-7111,Mass,8:00 AM,,Mass,english,Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral Basilica of St. Peter in Chains,"325 W Eighth St, Cincinnati",(513) 421-5354,Mass,11:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral Basilica of St. Peter in Chains,"325 W Eighth St, Cincinnati",(513) 421-5354,Mass,3:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral Basilica of the Assumption,"1101 Madison Ave, Covington",(859) 431-2060,Mass,4:30 PM,,Mass,English,Cathedral Basilica,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Mary of the Immaculate Conception,"1207 Columbia St, Lafayette",(765) 742-4440,Mass,4:00 PM,,Mass,English,St. Mary Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Assumption,"433 S Fifth St, Louisville",(502) 582-2971,Mass,5:30 PM,,Mass,English,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"1105 S Calhoun St, Fort Wayne",(260) 424-1485,Mass,5:00 PM,,Mass,English,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"1105 S Calhoun St, Fort Wayne",(260) 424-1485,Mass,8:00 AM,,Mass,English,Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Church of the American Martyrs,"270 S Bond St, Scottsburg",812-752-3693,Mass,5:00 PM,,Mass,English,American Martyrs,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of the Blessed Sacrament,"602 Sycamore St, Owensboro",(270) 926-4741,Mass,4:30 PM,,Mass,English,Saint Stephen Cathedral,livestream; vigil; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our Savior,"880 E 154th St, South Holland",(708) 333-3550,Mass,4:00 PM,,Sunday Vigil Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"9235 S Hamilton Ave, Chicago",(773) 238-4877,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"5884 N Crittenden Ave, Indianapolis",(317) 255-3666,Mass,5:00 PM,,Mass,English,church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"52473 Indiana State Rd 933, South Bend",(574) 272-3113,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"52473 Indiana State Rd 933, South Bend",(574) 272-3113,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"9235 S Hamilton Ave, Chicago",(773) 238-4877,Mass,8:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"5528 Hogue Rd, Evansville",(812) 422-2027,Mass,4:00 PM,,Mass,English,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"2014 Springdale Rd, Cincinnati",(513) 825-0618,Mass,5:00 PM,,Mass,english,Corpus Christi,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"2822 Corpus Christi Dr, South Bend",5742729982,Mass,5:00 PM,,Vigil Mass,English,church,livestream; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"5528 Hogue Rd, Evansville",(812) 422-2027,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"2822 Corpus Christi Dr, South Bend",5742729982,Mass,8:00 AM,,Mass,English,church,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cristo Rey,"Donaldson Rd, Erlanger",18595381175,Mass,6:00 PM,,Misa,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cristo Rey,"25 Cavalier Blvd, Florence",859-538-1175,Mass,6:00 PM,,Misa,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Croatian Church of the Sacred Heart,"2864 E 96th St, Chicago",(773) 768-1423,Mass,4:30 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divine Mercy Parish - Payne,"203 W Townline St, Payne",(419) 399-2576,Mass,4:00 PM,,Mass,English,Payne,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divine Mercy Parish - Sacred Heart,"318 Division St, Bellevue",(859) 261-6172,Mass,5:45 PM,,Mass,English,Divine Mercy,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Franciscan Chapel at Forte Sports Medicine,"10777 Illinois St, Carmel",317-528-5400,Mass,5:00 PM,,Mass,English,Main Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Franciscan Monastery of St. Clare,"1505 Miles Rd, Cincinnati",15138257177,Mass,8:30 AM,,Mass,English,Main Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"3511 Rudd Ave, Louisville",(502) 749-9780,Mass,4:00 PM,,Mass,English,Good Shepherd Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"2301 N Stockwell Rd, Evansville",(812) 477-5405,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"2905 Carson Ave, Indianapolis",317-783-3158,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels,"6000 Preston Hwy, Louisville",(502) 968-5421,Mass,4:00 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels,"6000 Preston Hwy, Louisville",(502) 968-5421,Mass,8:30 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Historic St. Boniface Catholic Church,"15519 N State Rd 545, Fulda",(812) 357-5533,Mass,4:00 PM,,Mass,english,Historic St. Boniface Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"402 S NOTTAWA St, Sturgis",269-651-5200,Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"1050 Wilber St, South Bend",(574) 233-2179,Mass,4:00 PM,,Vigil Mass,English,"Holy Cross Catholic Parish South Bend, IN",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"3612 Church St, Covington",(859) 431-0636,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"305 E Walnut St, Fort Branch",812-753-3548,Mass,4:30 PM,,Mass,English,Holy Cross,Fort Branch; vigil; note: Saturday times April-Sept
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"6 W Pearl St, Hamlet",(574) 867-2461,Mass,4:30 PM,,Mass,English,Holy Cross,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross–Immaculata,"30 Guido St, Cincinnati",(513) 721-6544,Mass,4:00 PM,,Mass,English,Holy Cross Immaculata,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross–Immaculate Heart of Mary,"1740 W 46th St, Chicago",(773) 376-3900 ,Mass,5:30 PM,,Vigil Mass,spanish,Immaculate Heart of Mary church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross–Immaculate Heart of Mary,"1740 W 46th St, Chicago",(773) 376-3900 ,Mass,8:30 AM,,Mass,bilingual,St. Joseph Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"814 Hawthorne Ave, Cincinnati",(513) 921-7527,Mass,4:00 PM,,Mass,English,Holy Family Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"3938 Poplar Level Rd, Louisville",(502) 459-6066,Mass,4:30 PM,,Mass,English,Holy Family Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"3027 Pearl St, Oldenburg",812-934-3013,Mass,4:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"444 E Main St, Danville",(217) 431-5100,Mass,5:00 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"950 E Church Ave, Jasper",(812) 482-3076,Mass,5:00 PM,,Mass,English,Holy Family Catholic Church,livestream; vigil
