slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-in-albion-blessed-sacrament-af2cebdb,Blessed Sacrament,2290,N,State,Rd,,,,2290 N State Rd 9,Albion,IN,46701,,41.38583954,-85.4229061,(260) 636-2072
us-in-alexandria-st-mary-97fd978b,St. Mary,820,W,Madison,St,,,,820 W Madison St,Alexandria,IN,46001,,40.26733111,-85.68559231,765-724-4459
us-il-alsip-incarnation-st-terrence-parish-st-terrence-33fa2bb3,Incarnation-St. Terrence Parish - St. Terrence ,4300,W,119th,Pl,,,,4300 W 119th Pl,Alsip,IL,60803,,41.67585921,-87.72803584,(708) 597-3180
us-in-ambia-st-marys-catholic-church-4116a5ee,St Mary's Catholic Church,2961,S,State,Rd,,,,2961 S State Rd 71,Ambia,IN,47917,,40.56448526,-87.48996968,(765) 884-1818
us-in-anderson-st-ambrose-catholic-church-ee1f604e,St Ambrose Church,2801,,Lincoln,St,,,,2801 Lincoln St,Anderson,IN,46016,,40.08800616,-85.68512371,765-644-5956
us-in-anderson-st-mary-ac34c88e,St. Mary,302,E,11th,St,,,,302 E 11th St,Anderson,IN,46016,,40.10530887,-85.67539239,(765) 644-8467
us-in-angola-saint-anthony-of-padua-47011a8c,St. Anthony de Padua,700,W,Maumee,St,,,,700 W Maumee St,Angola,IN,46703,,41.63551762,-85.00837347,(260) 665-2259
us-oh-antwerp-divine-mercy-92ced5a4,Divine Mercy,303,S,Monroe,St,,,,303 S Monroe St,Antwerp,OH,45813,1560,41.17886344,-84.74196732,(419) 399-2576
us-in-attica-st-francis-xavier-74fc63ce,St. Francis Xavier,407,S,Perry,St,,,,407 S Perry St,Attica,IN,47918,,40.29071983,-87.25008125,(765) 762-3330
us-in-auburn-immaculate-conception-5aa94611,Immaculate Conception,500,E,7th,St,,,,500 E 7th St,Auburn,IN,46706,,41.36775838,-85.04925668,(260) 925-3930
us-in-aurora-st-mary-of-the-immaculate-conception-272c3c36,St. Mary of the Immaculate Conception,203,,4th,St,,,,203 4th St,Aurora,IN,47001,,39.05399762,-84.8999205,(812) 537-3992
us-in-avilla-saint-mary-of-the-assumption-be10ad6f,St. Mary of the Assumption,228,N,Main,St,,,,228 N Main St,Avilla,IN,46710,,41.36924063,-85.23930383,(260) 897-3261
us-in-avon-st-cuthbert-of-lindisfarne-0fc3e00a,St. Cuthbert of Lindisfarne,5456,E,County,Rd,,,,5456 E County Rd 75 N,Avon,IN,46123,,39.77872677,-86.38271333,(317) 783-3158
us-in-batesville-st-louis-a39b42ad,St. Louis,13,,St Louis,Pl,,,,13 St Louis Pl,Batesville,IN,47006,,39.29649185,-85.2246238,(812) 934-3204
us-il-beaverville-st-mary-ffb66974,St. Mary,308,,St Charles,St,,,,308 St Charles St,Beaverville,IL,60912,,40.95293253,-87.65402912,(815) 435-2432
us-in-bedford-st-vincent-de-paul-ec98ff18,St. Vincent de Paul,1723,,I,St,,,,1723 I St,Bedford,IN,47421,,38.85883,-86.482971,(812) 275-6539
us-in-beech-grove-holy-name-of-jesus-877da9ba,Most Holy Name of Jesus,89,N,17th,Ave,,,,89 N 17th Ave,Beech Grove,IN,46107,,39.7229178,-86.10089469,(317) 784-5454
us-ky-bellevue-divine-mercy-parish-sacred-heart-9fd79cf6,Divine Mercy Parish - Sacred Heart,318,,Division,St,,,,318 Division St,Bellevue,KY,41073,,39.10354742,-84.48115008,(859) 261-6172
us-mi-berrien-springs-st-gabriel-cae87fb6,St. Gabriel,429,,Rose Hill,,,,,429 Rose Hill,Berrien Springs,MI,49103,1290,41.94292631,-86.34003146,269-695-3863
us-in-beverly-shores-st-ann-of-the-dunes-946d362c,St. Ann of the Dunes,433,E,Golfwood,Rd,,,,433 E Golfwood Rd,Beverly Shores,IN,46301,,41.6727,-86.9847,(219) 879-7565
us-in-bicknell-saint-philip-neri-3ab21b0f,St. Philip Neri,605,W,Fourth,St,,,,605 W Fourth St,Bicknell,IN,47512,1615,38.7737285,-87.31297981,(812) 735-4069
us-oh-blakeslee-st-joseph-a9179e79,Chapel of St. Joseph,625,,Washington,St,,,,625 Washington St,Blakeslee,OH,43505,0196,41.52727429,-84.73010632,(419)298-2540
us-in-bloomfield-holy-name-of-jesus-9fea17f6,Holy Name of Jesus,700,,Lincoln,Dr,,,,700 Lincoln Dr,Bloomfield,IN,47424,,39.03631215,-86.94068459,(812) 847-7821
us-in-bloomington-mother-of-the-redeemer-retreat-center-001ae7f7,Mother of the Redeemer Retreat Center,8212,W,Hendricks,Rd,,,,8212 W Hendricks Rd,Bloomington,IN,47403,,39.16232068,-86.65299448,(812) 825-4742
