Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"216 All Saints Dr, Stuart, Iowa 50250",(515) 523-1943,Mass,Tue,5:30 PM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,Tue,7:30 AM,,Mass,weekday,English,Chapel of the Angels,,,,,Tue; Thu; Fri only
All Saints,"720 29th St SE, Cedar Rapids, Iowa 52403",(319) 363-6130,Mass,Tue,8:00 AM,,Mass,specific_weekday,English,,,,,,livestream
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,Wed,12:10 PM,,Mass,weekday,English,Chapel of the Angels,,,,,Wed only
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,Thu,7:30 AM,,Mass,weekday,English,Chapel of the Angels,,,,,Tue; Thu; Fri only
All Saints,"720 29th St SE, Cedar Rapids, Iowa 52403",(319) 363-6130,Mass,Thu,8:30 AM,,Mass,specific_weekday,English,,,,,,livestream
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,Fri,7:30 AM,,Mass,weekday,English,Chapel of the Angels,,,,,Tue; Thu; Fri only
All Saints,"720 29th St SE, Cedar Rapids, Iowa 52403",(319) 363-6130,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,,,,,,livestream
All Saints,"216 All Saints Dr, Stuart, Iowa 50250",(515) 523-1943,Mass,Fri,8:30 AM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"720 29th St SE, Cedar Rapids, Iowa 52403",(319) 363-6130,Mass,Sat,4:00 PM,,Mass,saturday,English,,,,,,vigil; livestream
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,Sat,4:30 PM,,Mass,saturday,English,Church of All Saints,,,,,livestream; vigil
All Saints,"216 All Saints Dr, Stuart, Iowa 50250",(515) 523-1943,Mass,Sat,4:30 PM,,Mass,saturday,english,All Saints,,,,,vigil
All Saints,"216 All Saints Dr, Stuart, Iowa 50250",(515) 523-1943,Mass,Sun,10:00 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,Sun,10:30 AM,,Mass,sunday,English,Church of All Saints,,,,,livestream
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,Sun,8:30 AM,,Mass,sunday,English,Church of All Saints,,,,,tags
All Saints,"720 29th St SE, Cedar Rapids, Iowa 52403",(319) 363-6130,Mass,Sun,9:00 AM,,Mass,sunday,English,,,,,,livestream
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,,12:10 PM,,Mass,special_event,English,,,2026-01-21,,,Mass; tags
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,,12:10 PM,,Mass,special_event,English,All Saints church,,2026-02-18,,,Mass; Ash Wednesday
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,,1:00 PM,,Study group - Biblical Walk Through Mass,special_event,English,,,2026-02-18,,,Study group - Biblical Walk Through Mass; Ash Wednesday
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,,4:30 PM,,Mass,special_event,English,,,2026-01-24,,,Mass; tags
All Saints,"310 S 9th St, Keokuk, Iowa 52632-4604",(319) 524-8334,Mass,,6:00 PM,,Mass,special_event,English,All Saints church,,2026-02-18,,,Mass; Ash Wednesday
All Saints,"216 All Saints Dr, Stuart, Iowa 50250",(515) 523-1943,Mass,,6:00 PM,,Ash Wednesday Mass,special_event,english,All Saints,,2026-02-18,,,Ash Wednesday Mass
All Saints,"216 All Saints Dr, Stuart, Iowa 50250",(515) 523-1943,Mass,,6:00 PM,,Evening Mass of the Lord's Supper,special_event,english,All Saints,,2026-04-02,,,Evening Mass of the Lord's Supper; Holy Thursday
