Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption of the Blessed Virgin Mary,"1906 Sycamore St, Granger",515-999-2239,Mass,8:00 AM,,Mass,English,,note: see bulletin for exceptions
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of St. John,"1915 University Ave, Des Moines",(515) 244-3101,Mass,12:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"3012 Jackson St, Sioux City",(712) 277-2949,Mass,6:45 AM,,Mass,english,Blessed Sacrament Church,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St Raphael,"231 Bluff St, Dubuque",(563) 582-7646,Mass,7:30 AM,,Mass,english,Cathedral of St. Raphael,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Epiphany,"1000 Douglas St, Sioux City",(712) 255-1637,Mass,12:00 PM,,Mass,english,Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Epiphany,"1000 Douglas St, Sioux City",(712) 255-1637,Mass,5:30 PM,,Mass,spanish,Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King Chapel (St. Ambrose University),"518 W Locust St, Davenport",5633336132,Mass,12:15 PM,,Mass,English,Christ the King Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Divine Mercy Parish /SS Mary and Patrick Church,"500 W Mt Pleasant St, West Burlington",(319) 752-6733,Mass,8:00 AM,,Mass,English,Saints Mary and Patrick's,
"Mon, Feb 23, 2026",2026-02-23,Monday,Divine Word College Seminary,"102 Jacoby Walkway, Epworth",15638763353,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"1923 N Fillmore St, Davenport",(563) 322-0901,Mass,7:15 AM,,Mass,English,St. Joseph,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Ghost,"2921 Central Ave, Dubuque",(563) 583-1709,Mass,7:30 AM,,Mass,English,Holy Ghost Church - 2921 Central Avenue,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Name,"102 N Elm St, Marcus",(712) 376-2628,Mass,8:00 AM,,Mass,english,Holy Name,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"107 W Howard St, Creston",(641) 782-5278,Mass,6:00 PM,,Mass,English,Holy Spirit,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit Catholic Church,"107 W Howard St, Creston",+1-641-782-5278,Mass,6:00 PM,,Mass,English,Holy Spirit Parish,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"2501 6th Ave N, Fort Dodge",(515) 955-6077,Mass,7:00 AM,,Mass,English,Holy Trinity Church,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"1701 Rhomberg Ave, Dubuque",(563) 583-1709,Mass,7:30 AM,,Mass,English,Holy Ghost Church - 2921 Central Avenue,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity Catholic Church,"2501 6th Ave N, Fort Dodge",+1-515-955-6077,Mass,7:00 AM,,Mass,english,Holy Trinity Church,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"857 3rd Ave SE, Cedar Rapids",(319) 362-7181,Mass,12:05 PM,,Mass,English,Immaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"311 15th Ave, Gilbertville",(319) 296-1092,Mass,7:45 AM,,Daily Mass,English,Immaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"709 W Cedar St, Cherokee",(712) 225-4606,Mass,8:00 AM,,Mass,english,"Immaculate Conception Church, Cherokee",
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"648 Main St, Lansing",(563) 538-4171,Mass,8:00 AM,,Mass,English,Wexford,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"1212 Morningside Ave, Sioux City",(712) 276-4821,Mass,8:00 AM,,Mass,english,Immaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"1212 Morningside Ave, Sioux City",17122764821,Mass,8:00 AM,,Mass,english,Immaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,"Jesus Christ, Prince of Peace","1105 LaMetta Wynn Dr, Clinton",(563) 242-3311,Mass,8:00 AM,,Mass,english,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mississippi Abbey,"8400 Abbey Hill Rd, Dubuque",(563) 582-2595,Mass,5:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Nativity,"1225 Alta Vista St, Dubuque",(563) 582-1839,Mass,6:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Newman Catholic Student Center,"104 E Jefferson St, Iowa City",(319) 337-3106,Mass,5:15 PM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Oratory of St. Agnes,"2875 County Rd A18, Plymouth Rock",,Mass,5:30 PM,,Mass,English,St. Mark,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Oratory of St. Agnes,"2875 County Rd A18, Plymouth Rock",,Mass,6:30 AM,,Mass,English,Basilica of St. Francis Xavier,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Oratory of St. Bridget,"3094 253rd Ave, Ridgeway",,Mass,5:30 PM,,Mass,English,St. Mark,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Oratory of St. Bridget,"3094 253rd Ave, Ridgeway",,Mass,6:30 AM,,Mass,English,Basilica of St. Francis Xavier,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Oratory of St. Mary,"1831 Lycurgus Rd, Waukon",,Mass,12:10 PM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Oratory of the Immaculate Conception,"310 Columbus Dr, Marshalltown",(641) 752-6278,Mass,7:30 AM,,Mass,english,SM Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady Queen of Apostles,"3304 Fourth Ave, Council Bluffs",(712) 323-2916,Mass,6:00 PM,,Mass,spanish,Corpus Christi - Queen of Apostles Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Good Counsel,"517 Mueller St, Holstein",(712) 225-4606,Mass,8:00 AM,,Mass,english,OLGC-Holstein,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Good Counsel,"517 Mueller St, Holstein",(712) 225-4606,Mass,8:00 AM,,Mass,english,OLGC-Holstein,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Grace,"203 Adair St, Griswold",Office (712) 243-4721,Mass,7:15 AM,,Mass,english,Atlantic,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Lourdes,"1414 Mississippi Blvd, Bettendorf",(563) 359-0345,Mass,9:00 AM,,Mass,English,Lourdes,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Victory,"4105 N Division St, Davenport",(563) 391-4245,Mass,7:00 AM,,Mass,English,Our Lady of Victory,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of the Americas,"1271 E 9th St, Des Moines",(515) 266-6695,Mass,5:30 PM,,Misas Diarias,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady’s Immaculate Heart,"510 E First St, Ankeny",(515) 964-3038,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Resurrection,"4300 Asbury Rd, Dubuque",(563) 556-7511,Mass,7:00 AM,,Mass,english,Church of the Resurrection,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart,"1115 S 8 Ave E, Newton",(641) 792-2050,Mass,11:30 AM,,Mass,English,"Sacred Heart, Newton",
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart,"1627 Grand Ave, West Des Moines",(515) 225-6414,Mass,8:00 AM,,Mass,english,Sacred Heart,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart,"628 S Frederick Ave, Oelwein",(319) 283-3743,Mass,8:30 AM,,Mass,English,Sacred Heart/Oelwein,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart Cathedral,"422 E 10th St, Davenport",(563) 324-3257,Mass,5:30 PM,,Mass,English,Sacred Heart Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart Chapel/Mercy Medical Center,"250 Mercy Dr, Dubuque",(563) 589-8692,Mass,11:00 AM,,Mass,English,Our Lady of Mercy Chapel,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart Church / Holy Family Parish ,"2217 Ave I, Fort Madison",(319) 372-2127,Mass,8:00 AM,,Mass,English,Sacred Heart Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Pius X Catholic Church,"3663 66th St, Urbandale",(515) 276-2059,Mass,8:15 AM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Theresa Catholic Church,"1230 Merle Hay Rd, Des Moines",515-279-4654,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Alphonsus,"2618 Boies Ave, Davenport",(563) 322-0987,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Ambrose Cathedral,"607 High St, Des Moines",(515) 288-7411,Mass,12:10 PM,,Mass,English,St. Ambrose Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Anthony,"417 N Main St, Davenport",(563) 322-3303,Mass,12:05 PM,,Mass,english,St. Anthony,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Anthony,"15 Indianola Rd, Des Moines",(515) 244-4709,Mass,8:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Boniface,"1200 S Warrior Ln, Waukee",(515) 987-4597,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Boniface,"7401 Columbus St, New Vienna",(563) 857-7325,Mass,7:30 AM,,Mass,English,"St. Boniface, New Vienna",
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Columbkille,"1240 Rush St, Dubuque",(563) 583-9117,Mass,9:00 AM,,Mass,English,,
