slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ia-ackley-st-mary-9b0ea02d,St. Mary,611,,Sherman,Ave,,,,611 Sherman Ave,Ackley,IA,50601,,42.5570014,-93.05456292,(641) 847-2329
us-ia-adair-st-john-d28dba62,St. John,501,,Adair,St,,,,501 Adair St,Adair,IA,50002,,41.50406707,-94.64328446,(515) 523-1943
us-ia-adel-st-johns-d6e823b1,St. John,24043,,302nd,Pl,,,,24043 302nd Pl,Adel,IA,50003,0185,41.59734812,-94.01186854,(515) 993-4482
us-ia-afton-saint-edward-a81cf385,St. Edward,104,W,Union,St,,,,104 W Union St,Afton,IA,50830,,41.0320937,-94.19784642,(641) 782-5278
us-ia-akron-st-patricks-0c80a886,St. Patrick,650,,Dakota,St,,,,650 Dakota St,Akron,IA,51001,,42.82803387,-96.55364598,712 722-3011 or 712-568-3292
us-ia-albia-st-mary-bf359f78,St. Mary,730,,Benton,Ave,W,,,730 Benton Ave W,Albia,IA,52531,,41.02576366,-92.81926075,(641) 932-5130
us-ia-algona-st-cecelia-divine-mercy-parish-3242c18e,St. Cecilia,715,E,N,St,,,,715 E N St,Algona,IA,50511,,43.0714343,-94.22812149,(515) 295-3435
us-ia-alta-vista-st-bernard-d38e6f3a,St. Bernard,116,E,Washington,St,,,,116 E Washington St,Alta Vista,IA,50603,,43.19967256,-92.4146734,(641) 393-2520
us-ia-alton-st-mary-88f1cc24,St. Mary,609,,10th,St,,,,609 10th St,Alton,IA,51003,,42.98842349,-96.01523056,(712) 756-4224
us-ia-altoona-saints-john-and-paul-fbc4c59a,Sts. John and Paul,1401,,1st,Ave,S,,,1401 1st Ave S,Altoona,IA,50009,,41.63871626,-93.46399645,(515) 967-3796
us-ia-ames-st-cecilia-cd30012e,St. Cecilia,2900,,Hoover,Ave,,,,2900 Hoover Ave,Ames,IA,50010,,42.04982323,-93.62953353,(515) 233-3092
us-ia-ames-st-thomas-aquinas-church-and-catholic-student-center-7d89e6a4,St. Thomas Aquinas Church and Catholic Student Center,2210,,Lincoln,Way,,,,2210 Lincoln Way,Ames,IA,50014,,42.0225635,-93.64483002,515-292-3810
us-ia-ames-sts-peter-and-paul-760c3891,Sts. Peter and Paul,14238,,500th,Ave,,,,14238 500th Ave,Ames,IA,50105,,42.14791202,-93.69831371,563-608-3938
us-ia-anamosa-oratory-of-st-joseph-57230312,Oratory of St. Joseph,12472,,Stone City,Rd,,,,12472 Stone City Rd X28,Anamosa,IA,12472,,42.1183125,-91.3445625,
us-ia-anamosa-st-patrick-01624433,St. Patrick,215,N,Garnavillo,St,,,,215 N Garnavillo St,Anamosa,IA,52205,,42.11079503,-91.28668984,(319) 462-2141
us-ia-anita-st-marys-catholic-church-6d6e3a54,St. Mary's Catholic Church,302,,Chestnut,St,,,,302 Chestnut St,Anita,IA,50020,,41.44589137,-94.76629233,Church (712) 762-3484 Office (712) 243-4721
us-ia-ankeny-our-ladys-immaculate-heart-c64a1b49,Our Lady’s Immaculate Heart,510,E,First,St,,,,510 E First St,Ankeny,IA,50021,,41.73234866,-93.59223939,(515) 964-3038
us-ia-ankeny-st-luke-the-evangelist-387906f6,St. Luke the Evangelist,1102,N,W Weigel,Dr,,,,1102 N W Weigel Dr,Ankeny,IA,50023,,41.74038836,-93.65527571,515-964-1278
us-ia-anthon-st-joseph-21c85506,St. Joseph,404,E,Randolph,St,,,,404 E Randolph St,Anthon,IA,51004,,42.38715818,-95.86314012,(712) 373-5573
us-ia-arcadia-st-john-the-baptist-a855fdbf,St John The Baptist Catholic Church,610,S,Gault,St,,,,610 S Gault St,Arcadia,IA,51430,0023,42.08394266,-95.04647578,(712) 689-2595
us-ia-armstrong-st-mary-34a0e933,St. Mary,404,,5th,Ave,,,,404 5th Ave,Armstrong,IA,50514,,43.39958785,-94.48243637,(712) 864-3160
us-ia-ashton-st-mary-23945896,St. Mary,643,,6th,St,,,,643 6th St,Ashton,IA,51232,,43.31566851,-95.79292086,(712) 754-2739
us-ia-atlantic-ss-peter-paul-catholic-church-160973de,Sts. Peter and Paul,106,W,6th,St,,,,106 W 6th St,Atlantic,IA,50022,,41.40512331,-95.01558361,(712) 243-4721
us-ia-auburn-st-mary-calhoun-county-catholic-parishes-6cbd5e3b,St. Mary (Calhoun County Catholic Parishes),301,E,4th,St,,,,301 E 4th St,Auburn,IA,51433,,42.25277087,-94.87446778,(712) 464.3395
us-ia-audubon-st-patricks-2593a31e,St. Patrick,116,E,Division,St,,,,116 E Division St,Audubon,IA,50025,,41.72288297,-94.92733806,(712) 563-2283
us-ia-avoca-st-mary-7f3e7ae5,St. Mary Mediatrix of All Graces,109,N,Maple,St,,,,109 N Maple St,Avoca,IA,51521,0038,41.4777853,-95.34071384,(712) 343-6951
us-ia-ayrshire-church-of-the-sacred-heart-5c7d3491,Sacred Heart,1802,,Doon,St,,,,1802 Doon St,Ayrshire,IA,51523,,43.0419375,-94.8359375,17128523187
us-ia-balltown-st-francis-of-assisi-92661e12,St. Francis of Assisi,468,,Balltown,Rd,,,,468 Balltown Rd,Balltown,IA,52073,,42.6370254,-90.86873751,(563) 870-4041
us-ia-bancroft-church-of-st-john-the-baptist-f35ef6e9,St. John the Baptist,204,S,Summit,Ave,,,,204 S Summit Ave,Bancroft,IA,50517,,43.2901875,-94.2161875,15158852462
us-ia-bancroft-st-john-the-baptist-divine-mercy-parish-c7cd3a31,St. John the Baptist - Divine Mercy Parish,204,S,Summitt,Ave,,,,204 S Summitt Ave,Bancroft,IA,50517,,43.29126333,-94.21634229,(515) 295-3435
us-ia-bayard-st-patrick-8e3680d9,St. Patrick,214,,Prairie,St,,,,214 Prairie St,Bayard,IA,50029,,41.85423228,-94.56102531,(641) 747-3843
us-ia-bedford-sacred-heart-48c77b02,Sacred Heart,707,,Main,St,,,,707 Main St,Bedford,IA,50833,,40.6671873,-94.72357036,(712) 542-2030
us-ia-belle-plaine-st-michael-8f9af86a,St. Michael,1302,,9th,Ave,,,,1302 9th Ave,Belle Plaine,IA,52208,,41.89728054,-92.27527654,(319) 444-3106 
us-ia-bellevue-st-joseph-31a589bf,St. Joseph,405,,Franklin,St,,,,405 Franklin St,Bellevue,IA,52031,,42.26034993,-90.4286448,(563) 872-3234
us-ia-belmond-st-francis-xavier-a3307954,St. Francis Xavier,1207,,3rd,St,NE,,,1207 3rd St NE,Belmond,IA,50421,,42.84910796,-93.60145563,(515) 532-3586
us-ia-bernard-st-patrick-19d0537f,St. Patrick,28914,,46th,Ave,,,,28914 46th Ave,Bernard,IA,52032,,42.28452255,-90.8463983,(563) 852-3524
us-ia-bettendorf-our-lady-of-lourdes-078d45be,Our Lady of Lourdes,1414,,Mississippi,Blvd,,,,1414 Mississippi Blvd,Bettendorf,IA,52722,4915,41.52749228,-90.51156854,(563) 359-0345
us-ia-bettendorf-st-john-vianney-e743f460,St. John Vianney,4097,,18th,St,,,,4097 18th St,Bettendorf,IA,52722,2120,41.56306322,-90.49651802,(563) 332-7910
us-ia-blairstown-st-john-cd8e41e9,St. John,105,,W,St,NW,,,105 W St NW,Blairstown,IA,52209,,41.9066453,-92.08636142,(319) 228-8131
us-ia-blencoe-st-bernard-mission-of-st-john-9b00f84b,St. Bernard (Mission of St. John),201,,Main,St,,,,201 Main St,Blencoe,IA,51523,,41.93069705,-96.08406502,(712) 423-1004
us-ia-bloomfield-st-mary-magdalen-e6d2d500,St. Mary Magdalen,108,,Weaver,Rd,,,,108 Weaver Rd,Bloomfield,IA,52537,,40.75625313,-92.41229685,(641) 682-4212
us-ia-blue-grass-st-andrew-7dbf2678,St. Andrew,333,W,Lotte,St,,,,333 W Lotte St,Blue Grass,IA,52726,,41.5141675,-90.76950265,(563) 381-1363
us-ia-boone-sacred-heart-44841f7a,Sacred Heart,915,,12th,St,,,,915 12th St,Boone,IA,50036,,42.06831377,-93.87863712,(515) 432-1971
us-ia-breda-st-bernard-ef06bfee,St. Bernard,304,N,2nd,St,,,,304 N 2nd St,Breda,IA,51436,0039,42.1832962,-94.97781,(712) 673-2582
us-ia-britt-st-patrick-be87a88e,St. Patrick,139,,3rd,St,SE,,,139 3rd St SE,Britt,IA,50423,,43.09395491,-93.80025919,(641) 923-2329
us-ia-brooklyn-st-patrick-2991a68b,St. Patrick,215,,Jackson,St,,,,215 Jackson St,Brooklyn,IA,52211,,41.73070827,-92.44521265,641-236-7486
us-ia-buffalo-st-peters-501d4f61,St. Peter,406,,4th,St,,,,406 4th St,Buffalo,IA,52728,0488,41.45849895,-90.72212729,(563) 333-6151
us-ia-buffalo-center-st-patrick-d475bbd1,St. Patrick,115,,5th,Ave,NW,,,115 5th Ave N.W,Buffalo Center,IA,50424,,43.39036838,-93.9478638,(641) 562-2620
us-ia-burlington-divine-mercy-parish-st-john-church-c09776b3,St. John the Baptist,700,,Division,St,,,,700 Division St,Burlington,IA,52601,5278,40.80753561,-91.10898755,(319) 752-6733
us-ia-burlington-divine-mercy-parish-st-paul-church-3b5c22b8,St. Paul,508,N,4th,St,,,,508 N 4th St,Burlington,IA,52601,,40.81203188,-91.10304446,319-752-6733
us-ia-calmar-st-aloysius-85f3ba27,St. Aloysius,304,S,Maryville,St,,,,304 S Maryville St,Calmar,IA,52132,,43.18014247,-91.86490066,(563) 562-3045
us-ia-camanche-church-of-the-visitation-2c342cce,Visitation,1028,,Middle,Rd,,,,1028 Middle Rd,Camanche,IA,52730,,41.79451794,-90.26274703,(563) 259-1188
us-ia-carlisle-saint-elizabeth-seton-dec67592,St. Elizabeth Seton ,2566,N,Scotch Ridge,Rd,,,,2566 N Scotch Ridge Rd,Carlisle,IA,50047,,41.4871937,-93.50881135,(515) 989-0659
us-ia-carroll-holy-spirit-c58a09cf,Holy Spirit,421,E,Bluff,St,,,,421 E Bluff St,Carroll,IA,51401,,42.05876385,-94.86492432,(712) 792-9244
us-ia-carroll-st-lawrence-f02168c8,St. Lawrence,1607,N,W,St,,,,1607 N W St,Carroll,IA,51401,,42.0761757,-94.86936092,(712) 792-9244
us-ia-carter-lake-corpus-christi-our-lady-of-carter-lake-church-656a21fb,Our Lady of Carter Lake,3501,N,9th,St,,,,3501 N 9th St,Carter Lake,IA,51510,,41.28959696,-95.91773553,712-323-2916
