Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,Sun,10:50 AM,,Terce/Mass/Sext,sunday,English,,,,,,
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,10:50 AM,11:00 AM,Terce/Mass/Sext,other,English,,,,,,Daily; for Lent
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,11:00 AM,,Mass,daily,English,,,,,,Occasionally Mass is at a different time; on that rare occasion we will post a note here
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,2:00 PM,,Mass of the Presanctified/Vespers,special_event,English,,,2026-03-27,,,Mass of the Presanctified/Vespers
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,2:30 PM,,Mass,special_event,English,,,2026-03-26,,,Mass
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,7:00 PM,,Vigil Mass and Compline,special_event,English,,,2026-03-28,,,Vigil Mass and Compline; vigil
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,7:30 AM,,Mass,special_event,English,,,2026-01-12,,,Mass
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,8:00 AM,,Mass,special_event,English,,,2026-03-29,,,Mass
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,7:15 PM,Rosary/Adoration,other,English,,,,,,and First Class Feasts; adoration
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,7:15 PM,Exposition/Vespers,other,English,,,,,,and First Class Feasts; exposition
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,,Exposition/Vespers,sunday,English,,,,,,exposition
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,7:15 PM,Rosary/Adoration,sunday,English,,,,,,adoration
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Tue,2:15 PM,,Rosary,specific_weekday,English,,,,,,Private Rosary
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Thu,2:15 PM,,Rosary,specific_weekday,English,,,,,,Private Rosary
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Thu,5:45 PM,,Vespers,specific_weekday,English,,,,,,
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Sat,2:15 PM,,Rosary,specific_weekday,English,,,,,,Private Rosary
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Sun,7:15 PM,8:00 PM,Benediction,other,English,,,,,,and First Class Feasts
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Sun,7:15 PM,,Benediction,sunday,English,,,,,,
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,,2:15 PM,2:30 PM,Rosary,other,English,,,,,,Daily
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,,6:15 AM,,Matins/Lauds/Prime,special_event,English,,,2026-03-29,,,Matins/Lauds/Prime
