Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"3205 E Grand St, Wichita",(316) 682-1415,Mass,4:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Catholic Church,"3205 E Grand St, Wichita",+1-316-682-1415,Mass,4:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"213 E 5th, Frankfort",(785) 292-4462,Mass,4:00 PM,,Mass,English,"Annunciation Catholic Church, Frankfort",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"701 N Jefferson, Kearney",816-628-5030,Mass,5:00 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"9510 W 127th St, Overland Park",(913) 681-3348,Mass,4:30 PM,,Mass,English,Church,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"9510 W 127th St, Overland Park",(913) 681-3348,Mass,8:30 AM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Fidelis,"900 Cathedral Ave, Victoria",(785) 735-2777,Mass,5:00 PM,,Mass,English,Basilica of St. Fidelis,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of St. Fidelis,"900 Cathedral Ave, Victoria",(785) 735-2777,Mass,6:30 PM,,Mass,English,St. Fidelis,note: May through October
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"124 N Roosevelt Ave, Wichita",(316) 682-4557,Mass,4:00 PM,,Mass,English,,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2203 Parallel Ave, Kansas City",(913) 321-1958,Mass,6:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"124 N Roosevelt Ave, Wichita",(316) 682-4557,Mass,6:30 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of Our Lady of Guadalupe,"3231 N 14th Ave, Dodge City",(620) 225-4802,Mass,5:00 PM,,Mass,english,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of Our Lady of Guadalupe,"3231 N 14th Ave, Dodge City",(620) 225-4802,Mass,7:00 PM,,Mass,spanish,Cathedral,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Peter,"416 N 14th St, Kansas City",(913) 371-0840,Mass,4:00 PM,,Mass,english,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"430 N Broadway St, Wichita",(316) 263-6574,Mass,5:00 PM,,Mass,spanish,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Church of the Holy Spirit,"18218 US-54, Goddard",+1-316-794-3496,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. John Vianney,"14611B Waterman Crossing Rd, Maple Hill",(785) 256-4727,Mass,6:30 AM,,Mass,English,,NOTE: offered when a second priest is available.
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. John Vianney,"14611B Waterman Crossing Rd, Maple Hill",(785) 256-4727,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"3024 N 53rd St, Kansas City",(913) 287-8823,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8510 Wornall Rd, Kansas City",816-363-4888,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"5973 SW 25th St, Topeka",(785) 273-0710,Mass,4:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"4411 W Maple Ave, Wichita",(316) 943-4353,Mass,5:30 PM,,Mass,English,Christ the King,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"812 Main St, Deerfield",(620) 426-7444,Mass,6:00 PM,,Mass,English,"Deerfield, KS",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8510 Wornall Rd, Kansas City",816-363-4888,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"5973 SW 25th St, Topeka",(785) 273-0710,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Co-Cathedral of St. Joseph,"519 N 10th St, Saint Joseph",816-232-7763,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Congregation of the Mother of the Redeemer,"1900 Grand Ave, Carthage",+1-417-358-7787,Mass,6:00 PM,,Mass,English,"1900 Grand Avenue Carthage, MO 64836, USA",vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Coronation of Our Lady Parish,"13000 Bennington Ave, Grandview",816-761-8811,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Coronation of Our Lady Parish,"13000 Bennington Ave, Grandview",816-761-8811,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"6001 Bob Billings Pkwy, Lawrence",(785) 843-6286,Mass,4:30 PM,,Mass,english,Corpus Christi,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cure of Ars,"9401 Mission Rd, Leawood",(913) 649-1337,Mass,4:00 PM,,Mass,english,Church,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cure of Ars,"9401 Mission Rd, Leawood",(913) 649-1337,Mass,8:00 AM,,Mass,english,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divine Mercy,"555 W Main, Gardner",(913) 856-7781,Mass,4:30 PM,,Mass,english,Divine Mercy Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"12800 W 75th St, Shawnee",(913) 563-5300,Mass,5:00 PM,,Mass,english,Good Shepherd,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels,"1310 Westport Rd, Kansas City",(816) 931-4351,Mass,4:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"15408 Leavenworth Rd, Basehor",(913) 724-1665,Mass,4:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"514 E 4th, Garnett",(785) 448-1686,Mass,5:30 PM,,Vigil Mass,English,"Holy Angels- Garnett, KS",vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"8311 W 93rd St, Overland Park",(913) 381-2755,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"2631 Independence Rd, Hutchinson",(620) 665-5163,Mass,4:30 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"5106 St John Ave, Kansas City",816-231-4845 ,Mass,6:00 PM,,Mass,spanish,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"820 Birch St, Eudora",(785) 542-2788,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"274 Orchard St, Kansas City",(913) 371-1561,Mass,4:00 PM,,Vigil Mass,english,,Odd Months: Holy Family Church; Even Months: St. John the Baptist Church; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"919 NE 96th St, Kansas City",816-436-9200,Mass,4:30 PM,,Mass,English,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Martyrs,"7801 The Paseo, Kansas City",18163333214,Mass,6:00 PM,,Vigil Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Name,"1001 SW Blvd, Kansas City",(913) 236-9219,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Name,"408 Willow St, Coffeyville",(620) 251-0475,Mass,4:30 PM,,Mass,English,Holy Name Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Name,"412 E Eighth St, Winfield",(620) 221-3610,Mass,4:30 PM,,Mass,English,HOLY NAME,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"911 E Missouri Ave, Kansas City",816-842-5440,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"300 Curry Ln, Medicine Lodge",(620) 886-3596,Mass,5:00 PM,,Mass,English,"Holy Rosary, Medicine Lodge",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"911 E Missouri Ave, Kansas City",816-842-5440,Mass,7:00 PM,,Mass,vietnamese,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Savior,"3000 E 13th St N, Wichita",(316) 682-8712,Mass,8:00 AM,,Mass,English,,
