slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ks-abilene-st-andrew-5fb454a2,St. Andrew,311,S,Buckeye,Ave,,,,311 S Buckeye Ave,Abilene,KS,67410,,38.91265673,-97.21427424,(785) 263-1570
us-ks-aleppo-church-of-st-mary-010917d8,St. Mary,25741,W,13th,St,N,,,25741 W 13th St N,Aleppo,KS,25741,,37.7066875,-97.6405625,13165312662
us-ne-alexandria-st-mary-59d36082,St. Mary,511,,Amanda,St,,,,511 Amanda St,Alexandria,NE,68303,,40.24741589,-97.39126462,(402) 729-2058
us-ks-alma-holy-family-498b6a2f,Holy Family,,,1st and Kansas,,,,,1st and Kansas,Alma,KS,66401,,39.01092825,-96.29143238,(785) 636-5547
us-ne-alma-st-joseph-7957d756,St. Joseph,810,,4th,St,,,,810 4th St,Alma,NE,68920,,40.1015575,-99.36449009,(308) 928-2575
us-ok-alva-sacred-heart-75fb1d86,Sacred Heart,627,,12th,St,,,,627 12th St,Alva,OK,73717,,36.80194224,-98.67681638,(580) 327-0339
us-ks-andale-st-joseph-1106a6ed,St. Joseph,318,,Rush,Ave,,,,318 Rush Ave,Andale,KS,67001,,37.79407572,-97.63002232,(316) 444-2196
us-ks-andover-st-vincent-de-paul-a1d05ef6,St. Vincent de Paul,123,N,Andover,Rd,,,,123 N Andover Rd,Andover,KS,67002,,37.6873487,-97.13615765,(316) 733-1423
us-ks-angelus-st-paul-mission-6494a81b,St. Paul,12001,S,,Rd,,,,12001 S Road 130 W,Angelus,KS,67748,,39.19103376,-100.68478882,(785) 671-3828
us-ks-antonino-our-lady-help-of-christians-mission-212e1761,Our Lady Help of Christians,695,,210th,Ave,,,,695 210th Ave,Antonino,KS,67601,,38.78353697,-99.39325345,(785) 735-9456
us-ne-arago-church-of-st-mary-82798fd2,St. Mary,6,,,,,,,6,Arago,NE,68431,,40.13125,-95.46375,14022454731
us-ks-arkansas-city-sacred-heart-612b6ca3,Sacred Heart,320,S,B,St,,,,320 S B Street,Arkansas City,KS,67005,2729,37.05970017,-97.03617831,(620) 442-0566
us-ks-arma-st-joseph-b6a70847,St. Joseph,100,S,Eighth,St,,,,100 S Eighth St,Arma,KS,66712,,37.54239898,-94.70841503,(620)347-4525
us-ks-ashland-saint-joseph-f1575391,St. Joseph,512,,Cedar,St,,,,512 Cedar St,Ashland,KS,67831,,37.190997,-99.76436466,(620) 635-2338
