Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Mon,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Tue,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Wed,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Thu,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Fri,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Sat,4:30 PM,,Mass,saturday,english,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,10:00 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,10:30 AM,,Mass,sunday,English,,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Sun,11:00 AM,,Mass,sunday,english,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,11:00 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,11:30 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,12:05 PM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,12:30 PM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,2:00 PM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,3:00 PM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,4:00 PM,,Mass,sunday,English,,,,,,vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,4:30 PM,,Mass,sunday,English,,,,,,vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,5:00 PM,,Mass,sunday,English,,,,,,vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,5:30 PM,,Mass,sunday,English,,,,,,vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,6:00 PM,,Mass,sunday,English,,,,,,vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,6:30 PM,,Mass,sunday,English,,,,,,vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,7:00 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,7:00 PM,,Mass,sunday,English,,,,,,vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,7:30 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,8:00 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,8:15 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,8:30 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,8:45 AM,,Mass,sunday,English,,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Sun,9:00 AM,,Mass,sunday,english,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,9:00 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,Sun,9:30 AM,,Mass,sunday,English,,,,,,
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,12:00 PM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,12:00 PM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,12:00 PM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,12:00 PM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,12:00 PM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,4:00 PM,,Mass,special_event,English,,,2025-08-14,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,4:00 PM,,Mass,special_event,English,,,2025-10-31,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,4:00 PM,,Mass,special_event,English,,,2025-12-07,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,4:00 PM,,Mass,special_event,English,,,2025-12-24,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,4:00 PM,,Mass,special_event,English,,,2025-12-31,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:15 PM,,Mass,special_event,English,,,2025-08-14,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:15 PM,,Mass,special_event,English,,,2025-10-31,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:15 PM,,Mass,special_event,English,,,2025-12-07,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:15 PM,,Mass,special_event,English,,,2025-12-24,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:15 PM,,Mass,special_event,English,,,2025-12-31,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:30 PM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:30 PM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:30 PM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:30 PM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,5:30 PM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:00 PM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:00 PM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:00 PM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:00 PM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:00 PM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:30 PM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:30 PM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:30 PM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:30 PM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,6:30 PM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 AM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 AM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 AM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 AM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 AM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 PM,,Mass,special_event,English,,,2025-08-14,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 PM,,Mass,special_event,English,,,2025-10-31,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 PM,,Mass,special_event,English,,,2025-12-07,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 PM,,Mass,special_event,English,,,2025-12-24,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:00 PM,,Mass,special_event,English,,,2025-12-31,,,Mass; Vigil
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:30 AM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:30 AM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:30 AM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:30 AM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,7:30 AM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 AM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 AM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 AM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 AM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 AM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 PM,,Mass,special_event,English,,,2025-08-15,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 PM,,Mass,special_event,English,,,2025-11-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 PM,,Mass,special_event,English,,,2025-12-08,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 PM,,Mass,special_event,English,,,2025-12-25,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:00 PM,,Mass,special_event,English,,,2026-01-01,,,Mass
All Saints,"410 Main Cross, Taylorsville, Kentucky 40071",(502) 477-6676,Mass,,8:15 AM,,Mass,special_event,English,,,2025-08-15,,,Mass
