Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints Roman Catholic Church,"62 Needmore St, Walton",(859) 485-4476,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of St. Joseph Proto-Cathedral,"310 W Stephen Foster Ave, Bardstown",(502) 348-3126,Mass,8:45 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of the Blessed Virgin of Gethsemani,"3642 Monks Rd, Trappist",15025493117,Mass,5:45 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Mother,"601 E 23rd St, Owensboro",(270) 683-8444,Mass,6:30 AM,,Mass,English,Parish Hall,note: all celebrations in Parish Hall during renovation
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"2409 Dixie Hwy, Fort Mitchell",(859) 331-4302,Mass,10:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"2409 Dixie Hwy, Fort Mitchell",(859) 331-4302,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral Basilica of the Assumption,"1101 Madison Ave, Covington",(859) 431-2060,Mass,8:15 AM,,Mass,English,Cathedral Basilica,note: Memorial Day; July 4th; Labor Day; and Thanksgiving Mass at 09:00
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of Christ the King,"299 Colony Blvd, Lexington",859-268-2861,Mass,5:30 PM,,Mass,english,Cathedral of Christ the King,livestream on Mon
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Assumption,"433 S Fifth St, Louisville",(502) 582-2971,Mass,12:00 PM,,Mass,English,Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Catholic Campus Ministry of St. Mark Church,"608 W Main St, Richmond",(859) 623-2989,Mass,5:45 PM,,Carpool to Mass,English,St. Mark,note: for daily mass
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Divine Mercy,"806 Shaker Museum Rd, Auburn",(270) 542-4146,Mass,7:30 AM,,Mass,English,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"1600 Kingsway Dr, Madisonville",(270) 821-5494,Mass,8:15 AM,,Mass,English,,tags
"Mon, Feb 23, 2026",2026-02-23,Monday,Cristo Rey,"Donaldson Rd, Erlanger",18595381175,Mass,7:00 PM,,Misa,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cristo Rey,"25 Cavalier Blvd, Florence",859-538-1175,Mass,7:00 PM,,Misa,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Divine Mercy Parish - Sacred Heart,"318 Division St, Bellevue",(859) 261-6172,Mass,5:30 PM,,Mass,English,Divine Mercy,
"Mon, Feb 23, 2026",2026-02-23,Monday,Epiphany,"914 Old Harrods Creek Rd, Louisville",(502) 245-9733,Mass,5:30 PM,,Mass,english,Worship Center,
"Mon, Feb 23, 2026",2026-02-23,Monday,Good Shepherd,"3511 Rudd Ave, Louisville",(502) 749-9780,Mass,7:30 AM,,Mass,English,Good Shepherd Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Good Shepherd,"72 Shepherd Way, Frankfort",(502) 227-4511,Mass,8:15 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"3612 Church St, Covington",(859) 431-0636,Mass,6:00 PM,,Daily Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"900 Winchester Ave, Ashland",(606) 329-1607,Mass,8:00 AM,,Mass,English,Holy Family,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Name of Jesus,"511 2nd St, Henderson",(270) 826-2096,Mass,7:00 AM,,Mass,English,Multi-Purpose Room,note: effective August 4; 2025
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"4754 Smallhouse Rd, Bowling Green",(270) 842-7777,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"825 Washington Ave, Newport",859-431-2533,Mass,8:00 AM,,Mass,English,,holyday mass 6:30am only weekdays
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"3345 Lexington Rd, Louisville",(502) 893-3982,Mass,8:15 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit Catholic Church,"3345 Lexington Rd, Louisville",+1-502-893-3982,Mass,8:15 AM,,Mass,English,Holy Spirit Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit Parish Catholic Newman Center,"320 Rose Ln, Lexington",859-255-8566,Mass,12:10 PM,,Mass,english,Holy Spirit Parish Newman Center,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"501 Cherrywood Rd, Louisville",(502) 897-5207,Mass,8:15 AM,,Mass,English,Holy Trinity,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"306 Fredericktown Rd, Springfield",(859) 284-5242,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate,"2516 Christie Pl, Owensboro",(270) 683-0689,Mass,7:00 AM,,Mass,English,,exceptions: none
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"5876 Veterans Way, Burlington",859-689-5010,Mass,10:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"5876 Veterans Way, Burlington",859-689-5010,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Incarnation,"2229 Lower Hunters Trace, Louisville",(502) 447-2013,Mass,8:00 AM,,Mass,English,Incarnation Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Incarnation Catholic Church,"2229 Lower Hunters Trace, Louisville",+1-502-447-2013,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mary Queen of the Holy Rosary,"601 Hill N Dale Rd, Lexington",(859) 278-7432,Mass,8:15 AM,,Mass,english,Mary Queen of the Holy Rosary,
"Mon, Feb 23, 2026",2026-02-23,Monday,"Mary, Queen of Heaven","1150 Donaldson Hwy, Erlanger",(859) 525-6909,Mass,9:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,"Mary, Seat of Wisdom Chapel (Thomas More University)","333 Thomas More Pkwy & Villa Madonna Dr, Crestview Hills",(859) 344-3683,Mass,11:30 AM,,Mass,english,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mother of God,"119 W 6th St, Covington",(859) 291-2288,Mass,12:05 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Fatima,"7066 Calvary Rd between Lebanon and Campbellsville, Campbellsville",(270) 465-4282,Mass,5:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Fatima Catholic Church,"8680 Calvary Rd, Finley",+1-270-465-4282,Mass,5:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Lourdes,"508 Breckenridge Ln, Louisville",(502) 896-0241,Mass,12:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Lourdes,"4029 Frederica St, Owensboro",(270) 684-5369,Mass,12:05 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Lourdes,"1101 Amsterdam Rd, Park Hills",859-291-1854,Mass,12:10 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Lourdes,"1101 Amsterdam Rd, Park Hills",859-291-1854,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Perpetual Help,"425 N Central Ave, Campbellsville",(270) 465-4282,Mass,5:30 PM,,Mass,English,Campbellsville,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of the Hills,"9252 Old Lebanon Rd, Campbellsville",+1-270-465-4282,Mass,5:30 PM,,Mass,English,213 University Dr,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of the Hills,"9259 Old Lebanon Rd, Finley",(270) 465-4282,Mass,5:30 PM,,Mass,English,213 University Dr,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Savior,"246 E Tenth St, Covington",(859) 491-5872,Mass,6:30 AM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Savior,"246 E Tenth St, Covington",(859) 491-5872,Mass,8:30 AM,,Mass,English,Church,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Pax Christi,"4001 Victoria Way, Lexington",(859) 273-9999,Mass,12:00 PM,,Mass,English,,Mon; Fri
"Mon, Feb 23, 2026",2026-02-23,Monday,Prince of Peace,"163 Pine Acres Ln, West Liberty",(606) 743-3266,Mass,5:30 PM,,Mass,English,,tags
"Mon, Feb 23, 2026",2026-02-23,Monday,Saint Michael Catholic Church,"3705 Stone Lakes Dr, Louisville",+1-502-266-5611,Mass,12:00 PM,,Mass,English,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Saint Teresa of Calcutta Catholic Church,"903 Fairdale Rd, Louisville",+1-502-363-9929,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ss. Francis and John Church - Cardome Chapel,"806 Cincinnati Rd, Georgetown",502-863-3404,Mass,5:30 PM,,Mass,english,Cardome Main Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Benedict Rectory,"227 Oak St, Lebanon Junction",+1-502-543-5918,Mass,8:00 AM,,Mass,English,St. Aloysius,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Dominic Rectory,"303 W Main St, Springfield",+1-859-336-3569,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Frances of Rome Church,"2119 Payne St, Louisville",(502) 896-8401,Mass,8:30 AM,,Mass,English,St. Frances of Rome Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Joseph Church,"6833 Four Mile Rd, Camp Springs",859-635-2491,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Margaret Mary Catholic Church,"7813 Shelbyville Rd, Louisville",+1-502-426-1588,Mass,12:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Margaret Mary Catholic Church,"7813 Shelbyville Rd, Louisville",+1-502-426-1588,Mass,8:15 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Martin of Tours Catholic Church,"440 St Martins Rd, Vine Grove",+1-270-828-2552,Mass,9:00 AM,,Mass,english,St. Martin of Tours Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Mary Magdalen of Pazzi,"110 Hwy 376, Payneville",(270) 496-4333,Mass,8:30 AM,9:30 AM,Mass,English,"St. Mary Magdalen of Pazzi, Payneville",
"Mon, Feb 23, 2026",2026-02-23,Monday,St Paul Church Rectory,"1821 St Paul Rd, Leitchfield",+1-270-242-7436,Mass,8:00 AM,,Mass,English,St. Paul,Leitchfield; KY
"Mon, Feb 23, 2026",2026-02-23,Monday,St Pius X School,"348 Dudley Rd, Edgewood",+1-859-341-4900,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Pius X School,"348 Dudley Rd, Edgewood",+1-859-341-4900,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St Raphael the Archangel,"2900 Bardstown Rd, Louisville",(502) 458-2500,Mass,12:00 PM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Agnes,"1680 Dixie Hwy, Fort Wright",(859) 431-1802,Mass,11:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Agnes,"1680 Dixie Hwy, Fort Wright",(859) 431-1802,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Agnes,"1920 Newburg Rd, Louisville",(502) 451-2220,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Agnes,"413 5th St, Uniontown",(270) 822-4416,Mass,TBD,,Confirmation Mass,English,,Confirmation Mass TIME_TBD; time: check bulletin
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Albert the Great,"1395 Girard Dr, Louisville",(502) 425-3940,Mass,12:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Albert the Great Church,"1395 Girard Dr, Louisville",+1-502-425-3940,Mass,12:00 PM,,Mass,English,,
