slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ky-albany-emmanuel-b6b399dc,Emmanuel,2546,,N,Hwy,,,,2546 N Hwy 127,Albany,KY,42602,,36.72114207,-85.13456733,6066881921
us-ky-alexandria-st-mary-of-the-assumption-9012223a,St. Mary of the Assumption Parish,8246,E,Main,St,,,,8246 E Main St,Alexandria,KY,41001,1394,38.95506521,-84.389159,859-635-4188
us-ky-ashland-holy-family-972af572,Holy Family,900,,Winchester,Ave,,,,900 Winchester Ave,Ashland,KY,41101,7497,38.48213137,-82.64717542,(606) 329-1607
us-ky-auburn-fathers-of-mercy-334e5c0f,Chapel of Divine Mercy,806,,Shaker Museum,Rd,,,,806 Shaker Museum Rd,Auburn,KY,42206,,36.88451722,-86.64621705,(270) 542-4146
us-ky-augusta-st-augustine-4388d23f,St. Augustine,215,E,4th,St,,,,215 E 4th St,Augusta,KY,41002,1117,38.77169464,-84.00419103,(606) 756-3229
us-ky-barbourville-st-gregory-dbed2570,St. Gregory,329,,Sycamore,Dr,,,,329 Sycamore Dr,Barbourville,KY,40906,,36.86865694,-83.89383125,(606) 546-4461
us-ky-bardstown-saint-joseph-proto-cathedral-5abc8b51,Basilica of St. Joseph Proto-Cathedral,310,W,Stephen Foster,Ave,,,,310 W Stephen Foster Ave,Bardstown,KY,40004,,37.81065412,-85.47139536,(502) 348-3126
us-ky-bardstown-saint-thomas-church-6dafd77a,Saint Thomas Church,870,,St Thomas,Ln,,,,870 St Thomas Ln,Bardstown,KY,40004,,37.7668047,-85.4838431,+1-502-348-3717
us-ky-bardstown-st-monica-ddca6fbf,St. Monica,407,S,Third,St,,,,407 S Third St,Bardstown,KY,40004,1034,37.8025974,-85.46811671,(502) 348-5250
us-ky-bardstown-st-thomas-ec917db7,St. Thomas,870,,Saint Thomas,Ln,,,,870 Saint Thomas Ln,Bardstown,KY,40004,9561,37.76848,-85.4846039,(502) 348-3717
us-ky-bardwell-church-of-st-charles-c29e7b0f,St. Charles,6922,,State Rt 408,,,,,6922 State Rt 408,Bardwell,KY,42023,,36.86375,-88.90125,12706422586
us-ky-bardwell-st-charles-b944b756,St. Charles,6922,,KY-408,,,,,6922 KY-408,Bardwell,KY,42023,,36.85429388,-88.86755407,(270) 642-2586
us-ky-beattyville-queen-of-all-saints-9bee7276,Queen of All Saints,90,,Railroad,St,,,,90 Railroad St,Beattyville,KY,41311,,37.57402762,-83.71323577,606-464-8695
us-ky-beaver-dam-holy-redeemer-3909a475,Holy Redeemer,117,,13th,St,,,,117 13th St,Beaver Dam,KY,42320,,37.4173925,-86.88116784,(270) 274-3414
us-ky-bellevue-divine-mercy-parish-sacred-heart-9fd79cf6,Divine Mercy Parish - Sacred Heart,318,,Division,St,,,,318 Division St,Bellevue,KY,41073,,39.10354742,-84.48115008,(859) 261-6172
us-ky-berea-st-clare-9c63c5b6,St. Clare,622,,Chestnut,St,,,,622 Chestnut St,Berea,KY,40403,,37.56874362,-84.30354679,859-986-4633
us-ky-booneville-holy-family-613c5172,Holy Family,1439,,Old KY 11,,S,,,1439 Old KY 11 S,Booneville,KY,41314,,37.4586152,-83.68612251,(606) 593-6948
us-ky-booneville-holy-family-catholic-church-2ed1af5a,Holy Family Catholic Church,1439,,KY-11,,,,,1439 KY-11,Booneville,KY,41314,,37.4588231,-83.6858439,+1-606-593-6948
us-ky-bowling-green-holy-spirit-52b530e6,Holy Spirit,4754,,Smallhouse,Rd,,,,4754 Smallhouse Rd,Bowling Green,KY,42104,,36.92487132,-86.43820493,(270) 842-7777
us-ky-bowling-green-st-thomas-aquinas-catholic-newman-center-wku-fd521d2d,Newman Center of Western KY University (WKU),1403,,College,St,,,,1403 College St,Bowling Green,KY,42101,,36.9885426,-86.45022548,(270) 418-2696
us-ky-bowling-green-st-joseph-b6955a55,St. Joseph,434,,Church,Ave,,,,434 Church Ave,Bowling Green,KY,42101,,37.00183894,-86.44713653,(270) 842-2525 or (270) 746-9696 (After-hour Emergency)
us-ky-brandenburg-st-john-the-apostle-b8b1b009,St. John the Apostle,515,,Broadway,,,,,515 Broadway,Brandenburg,KY,40108,1103,37.99450741,-86.16432102,(270) 422-2196
