Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Mass,Tue,6:30 AM,,Mass,specific_weekday,english,All Saints,,,,,livestream
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Mass,Wed,6:30 AM,,Mass,specific_weekday,english,All Saints,,,,,livestream
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Mass,Thu,6:30 AM,,Mass,specific_weekday,english,All Saints,,,,,livestream
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Mass,Fri,6:30 AM,,Mass,specific_weekday,english,All Saints,,,,,livestream
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Mass,Sat,5:00 PM,,Mass,saturday,english,All Saints,,,,,vigil
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Mass,Sun,10:00 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Mass,Sun,8:00 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Confession,Sat,4:00 PM,4:45 PM,Confessions,saturday,English,All Saints,,,,,
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Confession,Sun,7:00 AM,7:45 AM,Confessions,sunday,English,All Saints,,,,,
All Saints,"1441 Teche St, Algiers, Louisiana 70114",(504) 361-8835,Confession,Sun,TBD,,Confessions,sunday,English,,,,,,by appointment; call the church office to schedule
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Mon,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Wed,5:30 PM,,Mass,specific_weekday,English,,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Thu,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Sat,4:00 PM,,Vigil Mass,saturday,English,,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Sun,10:30 AM,,Mass,sunday,English,,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Sun,8:00 AM,,Mass,sunday,English,,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Confession,Sat,3:00 PM,3:45 PM,Sacrament of Reconciliation,specific_weekday,English,,,,,,
Annunciation,"517 Ave B, Bogalusa, Louisiana 70427-3711",(985) 732-4280,Confession,Sat,3:30 PM,3:50 PM,Confession,saturday,English,,,,,,or by appointment
Annunciation,"517 Ave B, Bogalusa, Louisiana 70427-3711",(985) 732-4280,Confession,Sun,4:30 PM,5:00 PM,Confession,sunday,spanish,,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Confession,Sun,7:15 AM,7:45 AM,Sacrament of Reconciliation,specific_weekday,English,,,,,,
Annunciation,"517 Ave B, Bogalusa, Louisiana 70427-3711",(985) 732-4280,Confession,Sun,8:00 AM,8:20 AM,Confession,sunday,English,,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Confession,Sun,9:45 AM,10:15 AM,Sacrament of Reconciliation,specific_weekday,English,,,,,,
Annunciation,"517 Ave B, Bogalusa, Louisiana 70427-3711",(985) 732-4280,Adoration,Thu,9:00 AM,4:00 PM,Adoration of the Blessed Sacrament,specific_weekday,English,Dobyns Center Chapel,,,,,exposition
