Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,Ascension of Our Lord,"1900 Greenwood Dr, La Place",(985) 652-2615,Mass,8:30 AM,,Mass,english,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament–St. Joan of Arc,"8321 Burthe St, New Orleans",(504) 866-7330,Mass,8:00 AM,,Mass,English,Convent Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral Basilica of St. Louis King of France,"711 Chartres St, New Orleans",(504) 525-9585,Mass,12:05 PM,,Mass,english,St. Louis Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Francis Xavier,"626 4th St, Alexandria",(318) 445-1451,Mass,12:05 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Francis de Sales,"500 Goode St, Houma",(985) 876-6904,Mass,5:30 PM,,Mass,english,St. Francis de Sales Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. John Berchmans,"939 Jordan St, Shreveport",(318) 221-5296,Mass,12:10 PM,,Mass,English,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. John the Evangelist,"914 St John St, Lafayette",(337) 232-1322,Mass,12:05 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. John the Evangelist,"914 St John St, Lafayette",(337) 232-1322,Mass,5:30 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Immaculate Conception,"935 Bilbo St, Lake Charles",+1-337-436-7251,Mass,12:05 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Immaculate Conception,"935 Bilbo St, Lake Charles",+1-337-436-7251,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Our Lady of Victory,"1116 Chartres St, New Orleans",,Mass,12:15 PM,,Mass,english,"St. Mary's Church, New Orleans",
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of St. Ignatius,"6363 St Charles Ave, New Orleans",504-865-3167,Mass,12:30 PM,,Mass,English,Chapel of St. Ignatius and Gayle and Tom Benson Jesuit Center,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"425 McCormick St, Bossier City",(318) 221-0238,Mass,7:00 PM,,Mass,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King Parish & Student Center at LSU,"11 W Fraternity Ln, Baton Rouge",(225) 344-8595,Mass,6:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the Redeemer,"720 Talbot Ave, Thibodaux",(985) 447-2013,Mass,7:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Corpus Christi–Epiphany,"2022 St Bernard Ave, New Orleans",(504) 945-8931,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Divine Mercy Parish,"4337 Sal Lentini Pkwy, Kenner",(504) 466-5016,Mass,7:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,E. Donn Piatt Catholic Student Center (LA Tech University),"600 S Thornton St, Ruston",(318) 251-0793,Mass,8:15 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"2100 Cedar St Unit 3, Morgan City",(985) 384-3551,Mass,5:30 PM,,Mass,english,Holy Cross,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"415 Robley Dr, Lafayette",(337) 984-9636,Mass,9:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"369 N Jefferson Ave, Port Allen",(225) 383-1838,Mass,8:00 AM,,Mass,english,Holy Family Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"155 Holy Family Ln, Luling",(985) 785-8585,Mass,8:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Ghost,"747 N Union St, Opelousas",(337) 942-2732,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Ghost Catholic Church,"601 N Oak St, Hammond",(985) 345-3360,Mass,7:00 AM,,Mass,english,Holy Ghost,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Name of Jesus,"6367 St Charles Ave, New Orleans",(504) 865-7430,Mass,7:00 AM,,Mass,english,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Name of Mary,"500 Eliza St, New Orleans",(504) 362-5511,Mass,7:15 AM,,Mass,english,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Name of Mary,"500 Eliza St, New Orleans",(504) 362-5511,Mass,8:00 AM,,Mass,latin,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Savior,"612 Main St, Lockport",(985) 532-3533,Mass,5:30 PM,,Mass,English,Little Church,201 Church St
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Savior,"612 Main St, Lockport",(985) 532-3533,Mass,5:30 PM,,Mass,English,,note: from sacraments page
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"315 Marshall St, Shreveport",(318) 221-5990,Mass,7:25 AM,,Mass,english,Holy Trinity Catholic Church,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"703 S Lake Arthur Ave, Jennings",(337) 824-1164,Mass,12:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"130 Baronne St, New Orleans",(504) 529-1477,Mass,12:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"1565 Curtis St, Baton Rouge",(225) 775-7067,Mass,12:10 PM,,Daily Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"123 N Jules Ave, Morse",(337) 783-2968,Mass,7:00 AM,,Mass,English,Morse,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"130 Baronne St, New Orleans",(504) 529-1477,Mass,7:30 AM,,Mass,english,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"865 Hatchell Ln, Denham Springs",(225) 665-5359 or 225-664-6373,Mass,8:30 AM,,Mass,english,Immaculate Conception,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception Cathedral,"935 Bilbo St, Lake Charles",(337) 436-7251,Mass,12:05 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception Cathedral,"935 Bilbo St, Lake Charles",(337) 436-7251,Mass,7:00 AM,,Mass,English,,
