slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-la-abbeville-st-anne-2fc62b30,St. Anne,17315,,Lionel,Rd,,,,17315 Lionel Rd,Abbeville,LA,70510,9748,29.89871132,-92.26239593,(337) 643-7714
us-la-abbeville-st-mary-magdalen-e30193ac,St. Mary Magdalen,300,,Pere Megret,St,,,,300 Pere Megret St,Abbeville,LA,70510,,29.97491486,-92.13774069,(337) 893-0244
us-la-abbeville-st-theresa-of-the-child-jesus-afc138eb,St. Theresa of the Child Jesus,101,N,Leonard,St,,,,101 N Leonard St,Abbeville,LA,70511,,29.97231983,-92.12217165,(337) 893-5631
us-la-abita-springs-comunidad-nuestra-señora-de-guadalupe-0f571d3a,Comunidad Nuestra Señora de Guadalupe,,,NEW LOCATION!,,,,,NEW LOCATION!,Abita Springs,LA,70433,,30.41322874,-90.08341979,(985) 502-0087
us-la-abita-springs-st-jane-de-chantal-3dfeb2dd,St. Jane de Chantal,72040,,Maple,St,,,,72040 Maple St,Abita Springs,LA,70420,,30.4791185,-90.0373475,(985) 892-1439
us-la-albany-st-margaret-queen-of-scotland-55e73abb,St. Margaret Queen of Scotland,30300,,Catholic Hall,Rd,,,,30300 Catholic Hall Rd,Albany,LA,70711,,30.47401546,-90.58022285,(225) 567-3573
us-la-alexandria-st-francis-xavier-dc3d0040,Cathedral of St. Francis Xavier,626,,4th,St,,,,626 4th St,Alexandria,LA,71301,,31.31252371,-92.44758515,(318) 445-1451
us-la-alexandria-our-lady-of-prompt-succor-5e80a873,Our Lady of Prompt Succor Church,2120,,Elliott,St,,,,2120 Elliott St,Alexandria,LA,71301,,31.30159231,-92.46177549,(318) 445-3693
us-la-alexandria-st-frances-cabrini-4985faac,St. Frances Cabrini,2211,E,Texas,Ave,,,,2211 E Texas Ave,Alexandria,LA,71301,,31.28268342,-92.45617015,(318) 445-4588
us-la-alexandria-st-james-memorial-ef035a9e,St. James,714,,Winn,St,,,,714 Winn St,Alexandria,LA,71301,,31.30635809,-92.44458309,(318) 487-9512
us-la-alexandria-st-juliana-fdbe67b3,St. Juliana,900,,Daspit,St,,,,900 Daspit St,Alexandria,LA,71302,,31.28636542,-92.41976954,(318) 445-6700
us-la-alexandria-st-rita-ee76b91e,St. Rita,4401,,Bayou Rapides,Rd,,,,4401 Bayou Rapides Rd,Alexandria,LA,71303,,31.29803114,-92.49217326,(318) 445-7120
us-la-algiers-all-saints-459ca708,All Saints,1441,,Teche,St,,,,1441 Teche St,Algiers,LA,70114,,29.9404561,-90.0520791,(504) 361-8835
us-la-algiers-st-joseph-355e0b6f,St. Joseph ,6450,,Kathy,Ct,,,,6450 Kathy Ct,Algiers,LA,70131,,29.908092,-89.98571,(504) 266-2386
us-la-ama-st-mark-catholic-church-e7c7a53c,St Mark Catholic Church,10771,,River,Rd,,,,10771 River Rd,Ama,LA,70031,,29.9495117,-90.2987331,+1-504-431-8505
us-la-ama-st-mark-f2802552,St. Mark,10773,,River,Rd,,,,10773 River Rd,Ama,LA,70031,,29.94957663,-90.29874541,(504) 431-8505
us-la-amelia-st-andrew-c79b4691,St. Andrew,833,,Julia,St,,,,833 Julia St,Amelia,LA,70340,,29.66365201,-91.10598506,(985) 631-2333
us-la-amelia-thanh-giaholy-family-vietnamese-7d164959,Thanh Gia (Vietnamese),1115,,Lake Palourde,Rd,,,,1115 Lake Palourde Rd,Amelia,LA,70340,,29.67342255,-91.10160892,(626) 675-0069
us-la-amite-st-helena-5080967f,St. Helena,122,S,First,St,,,,122 S First St,Amite,LA,70422,0685,30.7255955,-90.51112,(985) 748-9057
us-ms-anguilla-our-mother-of-mercy-82780713,Mission of Our Mother of Mercy,119,,Jefferson,St,,,,119 Jefferson St,Anguilla,MS,38721,,32.97623091,-90.83015503, (662) 686-7352
us-la-arnaudville-st-catherine-of-alexandria-484795f1,St. Catherine of Alexandria,242,,Pine,St,,,,242 Pine St,Arnaudville,LA,70512,0053,30.4000196,-91.93388583,(337) 754-5912
us-la-arnaudville-st-john-francis-regis-df7d0393,St. John Francis Regis,232,,Main,St,,,,232 Main St,Arnaudville,LA,70512,,30.39952073,-91.93213893,(337) 754-5912
us-tx-atlanta-saint-catherine-of-siena-2b850a15,St. Catherine of Siena,309,N,Louise,St,,,,309 N Louise St,Atlanta,TX,75551,,33.11803645,-94.16716236,903-796-4494
us-la-avondale-assumption-of-mary-df51a799,Assumption of Mary,172,,Andre Dung Lac,Dr,,,,172 Andre Dung Lac Dr,Avondale,LA,70094,,29.8930089,-90.213079,+1-504-344-6881
us-la-avondale-st-bonaventure-is-closed-as-of-july-1-2024-c29b501e,St Bonaventure,329,S,Jamie,Blvd,,,,329 S Jamie Blvd,Avondale,LA,70094,,29.90470677,-90.20496463,(504) 436-1279
us-la-baldwin-sacred-heart-of-jesus-77d4c076,Sacred Heart of Jesus,414,,Martin Luther King Jr,St,,,,414 Martin Luther King Jr St,Baldwin,LA,70514,0308,29.83642721,-91.55001698,(337) 923-7781
us-la-ball-immaculate-heart-of-mary-4d742665,Immaculate Heart of Mary,1220,,Tioga,Rd,,,,1220 Tioga Rd,Ball,LA,71405,,31.38331633,-92.42592204,(318) 640-9446
us-la-basile-assumption-863591ad,Mission of the Assumption,1030,,Glasper,St,,,,1030 Glasper St,Basile,LA,70515,,30.48171707,-92.60541187,(337) 432-6817
