Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints (Holy Spirit Parish),"45 School St, Ogunquit, Maine 03907",(207) 646-5605,Confession,,TBD,,Confessions,parish_event,English,,,,,,By appointment
All Saints (Holy Spirit Parish),"45 School St, Ogunquit, Maine 03907",(207) 646-5605,Devotions,,7:30 PM,,Rosary,daily,English,,,,,,zoom
All Saints (Holy Spirit Parish),"45 School St, Ogunquit, Maine 03907",(207) 646-5605,Other,,7:00 PM,,Liturgy of the Hours,daily,English,,,,,,zoom
Basilica of Sts. Peter and Paul (Prince of Peace Parish),"122 Ash St, Lewiston, Maine 04240",(207) 777-1200,Mass,Sat,4:00 PM,,Mass,saturday,english,Basilica,,,,,
Basilica of Sts. Peter and Paul (Prince of Peace Parish),"122 Ash St, Lewiston, Maine 04240",(207) 777-1200,Mass,Sun,10:30 AM,,Mass,sunday,english,Basilica,,,,,
Basilica of Sts. Peter and Paul (Prince of Peace Parish),"122 Ash St, Lewiston, Maine 04240",(207) 777-1200,Mass,Sun,7:00 AM,,Mass,sunday,english,Basilica,,,,,
Basilica of Sts. Peter and Paul (Prince of Peace Parish),"122 Ash St, Lewiston, Maine 04240",(207) 777-1200,Mass,Sun,8:30 AM,,Mass,sunday,english,Basilica,,,,,note: 1962 Missal
Basilica of Sts. Peter and Paul (Prince of Peace Parish),"122 Ash St, Lewiston, Maine 04240",(207) 777-1200,Confession,Sat,3:00 PM,3:45 PM,Confession,saturday,English,Basilica of Sts. Peter and Paul,,,,,
Bell Chapel (Our Lady of the Lakes Parish),"5085 Access Rd (base of Sugarloaf Mountain), Carrabassett Valley, Maine 04947",(207) 864-3795,Mass,Sat,4:30 PM,,Mass,saturday,English,"Bell Chapel, carrabassett valley",,,,,December through March
Bell Chapel (Our Lady of the Lakes Parish),"5085 Access Rd (base of Sugarloaf Mountain), Carrabassett Valley, Maine 04947",(207) 864-3795,Confession,Wed,5:15 PM,6:00 PM,Confessions,specific_weekday,English,"St. John Church, Stratton",,,,,
Bell Chapel (Our Lady of the Lakes Parish),"5085 Access Rd (base of Sugarloaf Mountain), Carrabassett Valley, Maine 04947",(207) 864-3795,Confession,Sat,3:45 PM,4:30 PM,Confessions,saturday,English,"Bell Interfaith Chapel, carrabassett valley",,,,,December through March
Bell Chapel (Our Lady of the Lakes Parish),"5085 Access Rd (base of Sugarloaf Mountain), Carrabassett Valley, Maine 04947",(207) 864-3795,Confession,,TBD,,Confessions,other,English,,,,,,by appointment
Blue Hill Chapel (Catholic Churches of Hancock County),"17 Bay School Dr, Blue Hill, Maine 04614",(207) 667-2342,Mass,Sun,11:30 AM,,Mass,sunday,English,,,,,,ASL; livestream
Blue Hill Chapel (Catholic Churches of Hancock County),"17 Bay School Dr, Blue Hill, Maine 04614",(207) 667-2342,Devotions,,TBD,,Rosary,other,English,,,,before,Mass,Before each Mass; tags
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Mon,12:15 PM,,Mass,weekday,english,Cathedral Chapel,,,,,
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Tue,12:15 PM,,Mass,weekday,english,Cathedral Chapel,,,,,
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Wed,12:15 PM,,Mass,weekday,english,Cathedral Chapel,,,,,
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Thu,12:15 PM,,Mass,weekday,english,Cathedral Chapel,,,,,
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Fri,12:15 PM,,Mass,weekday,english,Cathedral Chapel,,,,,
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Sat,4:00 PM,,Mass,saturday,english,Cathedral Parish,,,,,vigil
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Sun,10:00 AM,,Mass,sunday,english,Cathedral Church,,,,,
Cathedral of the Immaculate Conception (Portland Peninsula & Island Parishes),"307 Congress St, Portland, Maine 04101",(207) 773-7746,Mass,Sun,7:00 AM,,Mass,sunday,english,Cathedral Chapel,,,,,
