slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-nh-alton-st-katharine-drexel-70327ee9,St Katharine Drexel Parish,40,,Hidden Springs,Rd,,,,40 Hidden Springs Rd,Alton,NH,03809,,43.50674797,-71.2191484,(603) 875-2548
us-ma-amesbury-st-andre-bessette-parish-st-joseph-86023d25,St. Andre Bessette Parish - St. Joseph,2,,School,St,,,,2 School St,Amesbury,MA,01913,,42.85476828,-70.93390008,(978) 388-0330
us-me-ashland-st-mark-church-precious-blood-parish-badaf195,St. Mark (Precious Blood Parish),13,,Allen Farm,Rd,,,,13 Allen Farm Rd,Ashland,ME,04732,,46.63356148,-68.40222997,(207) 498-2536
us-me-auburn-sacred-heart-church-immaculate-heart-of-mary-parish-652d409a,Sacred Heart Church -Immaculate Heart Mary Parish,8,,Sacred Heart,Pl,,,,8 Sacred Heart Pl,Auburn,ME,04210,,44.08932331,-70.23439092,(207) 782-8096
us-me-auburn-st-philip-church-immaculate-heart-of-mary-parish-c03d26a6,St. Philip,2365,,Turner,Rd,,,,2365 Turner Rd,Auburn,ME,04210,,44.15514066,-70.2317751,(207) 782-8096
us-me-augusta-st-augustine-church-st-michael-parish-0621e1f3,St. Augustine Church (St. Michael Parish),75,,Northern,Ave,,,,75 Northern Ave,Augusta,ME,04330,,44.32409218,-69.77373234,(207) 623-8823
us-me-augusta-st-mary-of-the-assumption-church-st-michael-parish-a34f7996,St. Mary of the Assumption,41,,Western,Ave,,,,41 Western Ave,Augusta,ME,04330,,44.31159118,-69.78387462,(207) 623-8823
us-me-baileyville-st-james-the-greater-church-st-kateri-tekakwitha-parish-65bb1eea,St. James the Greater Church (St. Kateri Tekakwitha Parish),60,,Summit,St,,,,60 Summit St,Baileyville,ME,04694,,45.15459775,-67.40636473,(207) 454-0680
us-me-bangor-st-john-church-st-paul-the-apostle-parish-8b9a086f,St. John the Baptist (St. Paul the Apostle Parish),217,,York,St,,,,217 York St,Bangor,ME,04401,,44.80402889,-68.76113708,(207) 217-6740
us-me-bangor-st-joseph-hospital-chapel-6aba28bc,St. Joseph Hospital Chapel,360,,Broadway,,,,,360 Broadway,Bangor,ME,04401,,44.81399511,-68.77280939,(207) 907.1798
us-me-bangor-st-mary-church-st-paul-the-apostle-parish-1d67fd6e,St. Mary,768,,Ohio,St,,,,768 Ohio St,Bangor,ME,04401,,44.81744646,-68.80175396,(207) 217-6740
us-me-bar-harbor-holy-redeemer-church-catholic-churches-of-hancock-county-456f0b18,Holy Redeemer (Catholic Churches of Hancock County),56,,Mount Desert,St,,,,56 Mount Desert St,Bar Harbor,ME,04609,,44.38647739,-68.20821232,(207) 288-3535
us-nh-barrington-chapel-of-the-nativity-1e8815e3,Chapel of the Nativity,9,,,,,,,9,Barrington,NH,03825,,43.21875,-71.03625,
