slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ma-abington-st-bridget-b90e78c9,St. Bridget,455,,Plymouth,St,,,,455 Plymouth St,Abington,MA,02351,,42.11611739,-70.93717065,(781) 878-0900
us-ma-acton-st-elizabeth-of-hungary-79738aaa,St. Elizabeth of Hungary,89,,Arlington,St,,,,89 Arlington St,Acton,MA,01720,,42.4873041,-71.46319433,(978) 263-4305
us-ma-acushnet-st-francis-xavier-09158909,St. Francis Xavier,125,,Main,St,,,,125 Main St,Acushnet,MA,02743,,41.68325676,-70.90921138,(508) 995-7600
us-ma-adams-st-john-paul-ii-51b6a893,St. John Paul the Great,21,,Maple,St,,,,21 Maple St,Adams,MA,01220,,42.62454861,-73.12011656,(413) 743-2110
us-ma-adams-st-stanislaus-kostka-b96af4bf,St. Stanislaus Kostka Church,25,,Hoosac,St,,,,25 Hoosac St,Adams,MA,01220,1791,42.62495203,-73.11339032,(413) 743-0577
us-ma-agawam-st-john-the-evangelist-26dada72,St. John the Evangelist,833,,Main,St,,,,833 Main St,Agawam,MA,01001,,42.06501097,-72.61606126,413-786-8105
us-ma-allston-st-anthony-of-padua-573e6b65,St. Anthony of Padua,43,,Holton,St,,,,43 Holton St,Allston,MA,02134,,42.36010485,-71.13501457,(617) 782-0775 
us-ma-amesbury-st-andre-bessette-parish-st-joseph-86023d25,St. Andre Bessette Parish - St. Joseph,2,,School,St,,,,2 School St,Amesbury,MA,01913,,42.85476828,-70.93390008,(978) 388-0330
us-ma-amherst-newman-catholic-center-1e6e9f54,Newman Catholic Center,111,,Thatcher,Rd,,,,111 Thatcher Rd,Amherst,MA,01003,,42.38734836,-72.5220324,(413) 549-0300
us-ma-amherst-st-brigid-11186b44,St. Brigid,122,N,Pleasant,St,,,,122 N Pleasant St,Amherst,MA,01004,,42.37775492,-72.52049438,(413) 256-6181
us-ma-andover-st-augustine-c0ca797d,St. Augustine,43,,Essex,St,,,,43 Essex St,Andover,MA,01810,,42.65695382,-71.14381816,(978) 475-0050
us-ma-andover-st-robert-bellarmine-608ace37,St. Robert Bellarmine Church,198,,Haggetts Pond,Rd,,,,198 Haggetts Pond Rd,Andover,MA,01810,,42.65780735,-71.22471316,(978) 683-8922
us-ma-arlington-saint-agnes-parish-arlington-ma-3de608f4,"Saint Agnes Parish Arlington, MA",32,,Medford,St,,,,32 Medford St,Arlington,MA,02474,,42.4159532,-71.1499716,+1-781-648-0220
us-ma-arlington-st-agnes-a69966a0,St. Agnes,32,,Medford,St,,,,32 Medford St,Arlington,MA,02474,,42.41594013,-71.14996246,(781) 648-0220
us-ma-arlington-st-camillus-1cdfe6b0,St. Camillus,1185,,Concord Turnpike,,,,,1185 Concord Turnpike,Arlington,MA,02476,,42.41581642,-71.19298334,(781) 648-0220
us-ma-arlington-church-of-st-camillus-96e6ca80,St. Camillus,1185,,Concord Turnpike,,,,,1185 Concord Turnpike,Arlington,MA,02476,,42.4119375,-71.1878125,17816433132
