Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Academy of the Sacred Heart,"1250 Kensington Rd, Bloomfield Hills, MI 48304",+1-248-646-8900,Other,,TBD,,A Night for Heart,special_event,English,The Townsend Hotel,,2026-02-28,,,A Night for Heart TIME_TBD; Evening of fine dining and auction
Academy of the Sacred Heart,"1250 Kensington Rd, Bloomfield Hills, MI 48304",+1-248-646-8900,Other,,TBD,,A Night for Heart,parish_event,English,The Townsend Hotel,,2026-02-28,,,TIME_TBD
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Tue,7:00 PM,,Holy Mass,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Wed,9:00 AM,,Holy Mass,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Thu,9:00 AM,,Holy Mass,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Fri,7:00 PM,,Holy Mass,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Sat,6:00 PM,,Holy Mass,saturday,english,,,,,,vigil
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Sun,10:00 AM,,Holy Mass,sunday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Sun,12:30 PM,,Holy Mass,sunday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Mass,Sun,6:30 PM,,Holy Mass,sunday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Tue,3:00 PM,8:00 PM,Reconciliation,specific_weekday,English,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Tue,7:00 PM,,Reconciliation,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Wed,3:00 PM,8:00 PM,Reconciliation,specific_weekday,English,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Wed,9:00 AM,,Reconciliation,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Thu,3:00 PM,8:00 PM,Reconciliation,specific_weekday,English,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Thu,9:00 AM,,Reconciliation,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Fri,10:00 AM,7:00 PM,Reconciliation,specific_weekday,English,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Fri,7:00 PM,,Reconciliation,specific_weekday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Sat,3:00 PM,8:00 PM,Reconciliation,saturday,English,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Sat,6:00 PM,,Reconciliation,saturday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Sun,10:00 AM,,Reconciliation,sunday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Sun,12:30 PM,,Reconciliation,sunday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Sun,6:30 PM,,Reconciliation,sunday,english,,,,,,
Albanian Parish of St. Paul,"525 W Auburn Rd, Rochester Hills, Michigan 48307",248-844-2150,Confession,Sun,9:00 AM,7:00 PM,Reconciliation,sunday,English,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Mon,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"715 Wisconsin Ave, Gladstone, Michigan 49837",(906) 428-3199,Mass,Mon,8:30 AM,,Mass,specific_weekday,English,"All Saints Catholic Church, Gladstone",,,,,
All Saints,"500 Iroquois, Fremont, Michigan 49412",(231) 924-7705,Mass,Mon,9:00 AM,,Mass,weekday,English,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Tue,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"715 Wisconsin Ave, Gladstone, Michigan 49837",(906) 428-3199,Mass,Tue,8:30 AM,,Mass,specific_weekday,English,"All Saints Catholic Church, Gladstone",,,,,
All Saints,"500 Iroquois, Fremont, Michigan 49412",(231) 924-7705,Mass,Tue,9:00 AM,,Mass,weekday,English,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Wed,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"715 Wisconsin Ave, Gladstone, Michigan 49837",(906) 428-3199,Mass,Wed,8:30 AM,,Mass,specific_weekday,English,"All Saints Catholic Church, Gladstone",,,,,
All Saints,"500 Iroquois, Fremont, Michigan 49412",(231) 924-7705,Mass,Wed,9:00 AM,,Mass,weekday,English,,,,,,
