Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints,"715 Wisconsin Ave, Gladstone",(906) 428-3199,Mass,8:30 AM,,Mass,English,"All Saints Catholic Church, Gladstone",
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints,"500 Iroquois, Fremont",(231) 924-7705,Mass,9:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints,"500 Iroquois, Fremont",(231) 924-7705,Mass,9:00 AM,10:00 AM,Mass,English,All Saints Facilities,Mass
"Mon, Feb 23, 2026",2026-02-23,Monday,American Martyrs,"908 W Sagola Ave, Kingsford",(906) 774-0630,Mass,TBD,,Mass,English,,check bulletin; note: Daily: See Bulletin Below
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption of the Blessed Virgin Mary,"6390 Belmont Ave NE, Belmont",(616) 361-5126,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption of the Blessed Virgin Mary,"13770 Gratiot Ave, Detroit",13133720762,Mass,7:30 AM,,Mass,latin,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption of the Blessed Virgin Mary,"13770 Gratiot Ave, Detroit",(313) 372-0762,Mass,7:30 AM,,Mass,latin,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ave Maria University Chapel,"24 Frank Lloyd Wright Dr, Ann Arbor",734-930-3745,Mass,10:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ave Maria University Chapel,"24 Frank Lloyd Wright Dr, Ann Arbor",734-930-3745,Mass,12:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ave Maria University Chapel,"24 Frank Lloyd Wright Dr, Ann Arbor",734-930-3745,Mass,5:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ave Maria University Chapel,"24 Frank Lloyd Wright Dr, Ann Arbor",734-930-3745,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of Ste. Anne de Detroit,"1000 St Anne St, Detroit",(313) 496-1701,Mass,5:30 PM,,Mass,english,Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of Our Lady of Mount Carmel,"606 N Ohio Ave, Gaylord",(989) 732-5448,Mass,7:00 AM,,Mass,English,Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Andrew,"215 Sheldon Blvd SE, Grand Rapids",616-456-1454,Mass,12:05 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Andrew,"215 Sheldon Blvd SE, Grand Rapids",616-456-1454,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Most Blessed Sacrament,"9844 Woodward Ave, Detroit",(313) 865-6300,Mass,8:00 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Our Lady Seat of Wisdom (Aquinas College),"1700 Fulton St E, Grand Rapids",(616) 632-2488,Mass,12:15 PM,,Mass,English,,During the Academic Year; During the Summer
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of St. John,"5 Mile Rd , 48170, Plymouth",,Mass,12:15 PM,,Mass,english,Saints Mary and Joseph Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of St. John,"5 Mile Rd , 48170, Plymouth",,Mass,5:30 PM,,Mass,english,Saints Mary and Joseph Chapel,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of St. Patrick,"9851 Main St, Clifford",810-688-3797,Mass,8:30 AM,,Mass,English,SS.,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of the Dominican Motherhouse,"775 W Drahner Rd, Oxford",,Mass,7:30 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the Good Shepherd,"1540 Riverbank, Lincoln Park",(313) 928-1324,Mass,8:15 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the Good Shepherd Catholic,"1540 Riverbank St, Lincoln Park",+1-313-928-1324,Mass,8:15 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"9596 Reed Rd, Howard City",(231) 937-5757,Mass,12:00 PM,,Mass,English,Howard City,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"3801 Shore Rd, Acme", (231) 938-9214,Mass,5:30 PM,,Mass,English,,Times are subject to changes/cancellations. Please see the bulletin or the events calendar for up to date changes
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"4000 Ave Maria Dr, Ann Arbor",(734) 665-5040,Mass,6:45 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King Catholic Church,"4000 Ave Maria Dr, Ann Arbor",+1-734-665-5040,Mass,6:45 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Divine Child,"1055 N Silvery Ln, Dearborn",(313) 277-3110,Mass,6:30 AM,,Mass,english,Church of the Divine Child,
"Mon, Feb 23, 2026",2026-02-23,Monday,Divine Child,"1055 N Silvery Ln, Dearborn",(313) 277-3110,Mass,8:30 AM,,Mass,english,Church of the Divine Child,
"Mon, Feb 23, 2026",2026-02-23,Monday,Gesu,"17180 Oak Dr, Detroit",(313) 862-4400,Mass,5:30 PM,,Mass,English,Parish Center Chapel,note: enter side door on north side
"Mon, Feb 23, 2026",2026-02-23,Monday,Guardian Angels,"581 E Fourteen Mile Rd, Clawson",(248) 588-1222,Mass,9:00 AM,,Mass,English,Guardian Angels,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Angels,"402 S NOTTAWA St, Sturgis",269-651-5200,Mass,8:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross (Chaldean),"32500 Middlebelt Rd, Farmington Hills",(248) 626-5055,Mass,12:00 PM,,Mass,English,,Surath
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"641 Chrysler Freeway, Detroit",(313) 963-2046,Mass,12:00 PM,,Latin (novus ordo) Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"24505 Meadowbrook Rd, Novi",(248) 349-8847,Mass,12:00 PM,,Mass,English,Church,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"516 W Lincoln, East Tawas",19893623162,Mass,5:00 PM,,Mass,English,Holy Family Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"11804 S Saginaw St, Grand Blanc",810-694-4891,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"4011 County 416- 20th Rd, Gladstone",906-786-1209,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"79780 Main St, Memphis",810-392-2056,Mass,8:15 AM,,Mass,english,Holy Family Parish,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family Catholic Church,"516 W Lincoln, East Tawas",(989) 362-3162,Mass,4:00 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family Catholic Church,"516 W Lincoln, East Tawas",(989) 362-3162,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family Parish (St. Mary Campus),"305 N Division St, Adrian",517-263-4681,Mass,8:15 AM,,Mass,english,St. Mary Campus,
