Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Mon,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Tue,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Wed,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Thu,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,,11:00 AM,,Mass,special_event,English,,,2025-12-21,,,note only 11am Mass on Sunday Dec 21 with no daily or Sunday masses Dec 22-Jan 3
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,,5:00 PM,,Christmas Eve Mass,special_event,English,,,2025-12-24,,,Christmas Eve Mass; vigil
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Mon,12:15 PM,,Mass,weekday,English,All Saints,,,,,Mon; Tue; Wed; Thu
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Mon,7:30 AM,,Mass,weekday,English,,,,,,note: Monday-Friday
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Tue,12:15 PM,,Mass,weekday,English,All Saints,,,,,Mon; Tue; Wed; Thu
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Tue,6:30 PM,,Mass,specific_weekday,English,,,,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Wed,12:15 PM,,Mass,weekday,English,All Saints,,,,,Mon; Tue; Wed; Thu
All Saints,"16898 Carlson Lake Rd, Brainerd, Minnesota 56401",(218) 822-4040,Mass,Wed,7:30 AM,,Mass,specific_weekday,English,All Saints,,,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Thu,12:15 PM,,Mass,weekday,English,All Saints,,,,,Mon; Tue; Wed; Thu
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Fri,7:00 PM,,Mass,weekday,English,All Saints,,,,,Fri
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Fri,7:30 AM,,Mass,weekday,English,,,,,,note: Monday-Friday
All Saints,"16898 Carlson Lake Rd, Brainerd, Minnesota 56401",(218) 822-4040,Mass,Sat,4:00 PM,,Mass,saturday,English,All Saints,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sat,5:00 PM,,Mass,saturday,English,,,,,,vigil
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sat,8:00 AM,,Mass,saturday,English,,,,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Sat,9:00 AM,,Mass,saturday,English,All Saints,,,,,
All Saints,"601 4th St, Madison Lake, Minnesota 56063",(507) 243-3319,Mass,Sun,10:00 AM,,Mass,sunday,English,"All Saints, Madison Lake",,,,,livestream
All Saints,"16898 Carlson Lake Rd, Brainerd, Minnesota 56401",(218) 822-4040,Mass,Sun,10:30 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,11:00 AM,,Mass,sunday,English,,,,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Sun,11:00 AM,,Mass,sunday,English,All Saints,,,,,High
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,5:30 PM,,Mass,sunday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,7:30 AM,,Mass,sunday,English,,,,,,
All Saints,"250 Cedar St, Holdingford, Minnesota 56340",13207462449,Mass,Sun,8:00 AM,,Mass,sunday,English,"All Saints-St. Mary’s, Holdingford",,,,,
All Saints,"250 Cedar St, Holdingford, Minnesota 56340",(320) 228-0105,Mass,Sun,8:00 AM,,Mass,sunday,English,"All Saints-St. Mary’s, Holdingford",,,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Sun,8:00 AM,,Mass,sunday,English,All Saints,,,,,Low
All Saints,"307 SW 1st St, New Richland, Minnesota 56072",(507)835-1222,Mass,Sun,8:00 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,9:00 AM,,Mass,sunday,English,,,,,,livestream
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Mass,Sun,9:30 AM,,Mass,sunday,English,All Saints,,,,,Low
All Saints,"307 SW 1st St, New Richland, Minnesota 56072",(507)835-1222,Mass,,10:00 AM,,Mass,monthly,English,All Saints,friday,,,,"1st, 3rd, 4th"
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,12:15 PM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass; livestream
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,5:00 PM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Saints,"601 4th St, Madison Lake, Minnesota 56063",(507) 243-3319,Mass,,5:30 PM,,Ash Wednesday Mass,special_event,English,All Saints Madison Lake,,2026-02-18,,,Ash Wednesday Mass
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,6:00 PM,,Mass,monthly,English,,third_tuesday,,,,Third
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,6:30 AM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,7:00 PM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Saints,"16898 Carlson Lake Rd, Brainerd, Minnesota 56401",(218) 822-4040,Mass,,7:30 AM,,Mass,monthly,English,All Saints,first_friday_(recurring),,,,
All Saints,"250 Cedar St, Holdingford, Minnesota 56340",13207462449,Mass,,TBD,,Mass,specific_weekday,English,,,,,,check bulletin; note: View our bulletin for daily Mass times
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Mon,11:45 AM,12:15 PM,Confession,specific_weekday,English,,,,,,before Mass
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Tue,11:45 AM,12:15 PM,Confession,specific_weekday,English,,,,,,before Mass
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Wed,11:45 AM,12:15 PM,Confession,specific_weekday,English,,,,,,before Mass
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Thu,11:45 AM,12:15 PM,Confession,specific_weekday,English,,,,,,before Mass
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Fri,5:45 PM,6:15 PM,Confession,specific_weekday,English,,,,,,during Lent
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Fri,6:15 PM,6:45 PM,Confession,specific_weekday,English,,,,,,outside of Lent
All Saints,"16898 Carlson Lake Rd, Brainerd, Minnesota 56401",(218) 822-4040,Confession,Sat,3:00 PM,,Confessions,saturday,English,All Saints,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Confession,Sat,3:30 PM,4:30 PM,Reconciliation,saturday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Confession,Sat,8:30 AM,9:30 AM,Reconciliation,saturday,English,,,,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Sat,8:30 AM,9:00 AM,Confession,saturday,English,,,,,,before Mass
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Sun,10:30 AM,11:00 AM,Confession,sunday,English,,,,,,before Mass
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Confession,Sun,4:30 PM,5:00 PM,Reconciliation,sunday,English,,,,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Sun,7:30 AM,8:00 AM,Confession,sunday,English,,,,,,before Mass
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,Sun,9:00 AM,9:30 AM,Confession,sunday,English,,,,,,before Mass
All Saints,"16898 Carlson Lake Rd, Brainerd, Minnesota 56401",(218) 822-4040,Confession,Sun,TBD,,Confessions,other,English,,,,before,Mass,Sunday before Mass; before Mass; ≥20 min; note: Confession also available by appointment; call parish office
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,,5:45 PM,6:45 PM,Confession,monthly,English,,first_friday_(recurring),,,,
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Confession,,8:30 AM,9:00 AM,Confession,monthly,English,,first_saturday_(recurring),,,,before Mass
All Saints,"250 Cedar St, Holdingford, Minnesota 56340",13207462449,Adoration,Mon,9:00 AM,8:00 PM,Adoration,specific_weekday,English,All Saints-St. Mary’s,,,,,exposition
All Saints,"250 Cedar St, Holdingford, Minnesota 56340",(320) 228-0105,Adoration,Mon,9:00 AM,8:00 PM,Adoration,specific_weekday,English,All Saints-St. Mary’s,,,,,exposition
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Adoration,Fri,5:20 PM,6:15 PM,Exposition and Benediction,specific_weekday,English,,,,,,during Lent
All Saints,"435 4th St NE, Minneapolis, Minnesota 55413",(612) 379-4996,Adoration,Fri,5:30 PM,6:45 PM,Exposition and Benediction,specific_weekday,English,,,,,,except during Lent
