Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"16898 Carlson Lake Rd, Brainerd",(218) 822-4040,Mass,4:00 PM,,Mass,English,All Saints,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"19795 Holyoke Ave, Lakeville",952-469-4481,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"19795 Holyoke Ave, Lakeville",952-469-4481,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"435 4th St NE, Minneapolis",(612) 379-4996,Mass,9:00 AM,,Mass,English,All Saints,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"9965 Mayhew Lake Rd NE, Sauk Rapids",(320) 393-1729,Mass,4:30 PM,,Mass,English,Annunciation Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"4996 Hazelwood Ave, Northfield",952-652-2625,Mass,7:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"9965 Mayhew Lake Rd NE, Sauk Rapids",(320) 393-1729,Mass,8:30 AM,,Mass,English,Annunciation Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation of the Blessed Virgin Mary,"400 Congress Ave, Viroqua",(608) 637-7711,Mass,6:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"1723 Bryant Ave N, Minneapolis",(612) 529-9684,Mass,3:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"207 N May, Canton",(507) 867-3922,Mass,4:00 PM,,Mass,English,Assumption—Canton,note: Regular Ordinary Time; After Labor Day until Memorial Day
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"206 Dakota St, Callaway",(218) 375-3571,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"51 7th St W, Saint Paul",651-224-7536,Mass,5:00 PM,,Mass,english,Church of the Assumption,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"207 N May, Canton",(507) 867-3922,Mass,5:30 PM,,Mass,English,Assumption—Canton,note: Summer Seasonal Time; Memorial Day Thru Labor Day inclusive
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"207 E 3rd St, Morris",(320) 589-3003,Mass,5:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"307 Front St N, Barnesville",(218) 354-7320,Mass,6:00 PM,,Mass,English,Church,vigil; livestream; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"51 7th St W, Saint Paul",651-224-7536,Mass,7:00 AM,,Mass,english,Church of the Assumption,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"207 E 3rd St, Morris",(320) 589-3003,Mass,7:30 PM,,Misa,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"143 Hayden St, Pembina",(701) 825-6266,Mass,8:30 AM,,Mass,english,Assumption,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"206 Dakota St, Callaway",(218) 375-3571,Mass,9:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Bemidji State University,"1701 Birch Ln, Bemidji",12184444762,Mass,5:30 PM,,Mass,English,St. Philip's,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2310 E 7th Ave, Hibbing",(218) 262-5541,Mass,4:15 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"130 Losey Blvd S, La Crosse",(608) 782-2953,Mass,4:30 PM,,Mass,English,Blessed Sacrament Parish,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"342 4th St S, Greenbush",(218) 782-2467,Mass,5:00 PM,,Mass,English,Blessed Sacrament,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"210 5th Ave W, West Fargo",(701) 282-3321,Mass,5:15 PM,,Mass,English,Blessed Sacrament Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament Offices,"300-348 4th St S, Greenbush",+1-218-782-2467,Mass,5:00 PM,,Mass,english,Blessed Sacrament-Greenbush,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of Christ the King,"1410 Baxter Ave, Superior",(715) 392-8511,Mass,4:00 PM,,Mass,English,Cathedral of Christ the King,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Joseph the Workman,"530 Main St, La Crosse",(608) 782-0322,Mass,4:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Joseph the Workman,"530 Main St, La Crosse",(608) 782-0322,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Mary,"604 Broadway N, Fargo",(701) 235-4289,Mass,5:00 PM,,Mass,english,,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Mary,"604 Broadway N, Fargo",(701) 235-4289,Mass,8:00 AM,,Mass,english,Adoration Chapel,chapel
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Paul,"239 Selby Ave, Saint Paul",651-228-1766,Mass,5:15 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Paul,"239 Selby Ave, Saint Paul",651-228-1766,Mass,8:00 AM,,Mass,English,,followed by Morning Prayer
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Holy Trinity,"605 N State St, New Ulm",(507) 354-4158,Mass,5:00 PM,,Mass,english,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Holy Trinity,"605 N State St, New Ulm",(507) 354-4158,Mass,8:00 AM,,Mass,english,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"702 Summit Ave, Crookston",(218) 281-1735,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Sacred Heart,"360 Main St, Winona",(507) 452-4770,Mass,5:00 PM,,Mass,English,Cathedral,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Sacred Heart,"360 Main St, Winona",(507) 452-4770,Mass,8:00 AM,,Mass,English,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of Stella Maris,"Collegeville Minnesota 56374, Collegeville",,Mass,4:30 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chaplaincy of Sagrado Corazon de Jesus,"3817 Pleasant Ave S, Minneapolis",612-822-2101,Mass,5:00 PM,,Mass,spanish,,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our Light,"11700 293rd Ave NW, Princeton",(763) 389-2115,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our Light Catholic Parish,"11700 293rd Ave NW, Princeton",+1-763-389-2115,Mass,5:00 PM,,Mass,English,Christ Our Light,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"305 Fern St N, Cambridge",(763) 689-1221,Mass,4:00 PM,,Mass,English,Christ the King ~ Cambridge,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"5029 Zenith Ave S, Minneapolis",(612) 920-5030,Mass,4:30 PM,,Mass,English,Christ the King,Jan; Mar; May; Jul; Sep; Nov; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"205 2nd Ave NW, Medford",507-451-4845,Mass,5:30 PM,,Mass,english,Christ the King,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Church of Saint Andrew,"566 4th St NW, Elk River",+1-763-441-1483,Mass,5:00 PM,,Mass,English,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Church of Saint Bonaventure,"901 E 90th St, Bloomington",+1-952-854-4733,Mass,4:30 PM,,Mass,English,,livestream; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Church of Saint Bonaventure,"901 E 90th St, Bloomington",+1-952-854-4733,Mass,8:45 AM,,Mass,English,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Church of St. Peter,"1250 S Shore Dr, Forest Lake",+1-651-982-2200,Mass,5:00 PM,,Mass,English,Church,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Church of St. Peter,"1250 S Shore Dr, Forest Lake",+1-651-982-2200,Mass,8:30 AM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Co-Cathedral of St. John the Evangelist,"11 4th Ave SW, Rochester",(507) 288-7372,Mass,4:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"2131 Fairview Ave N, Roseville",651-846-9212,Mass,5:00 PM,,Mass,english,Church of Corpus Christi,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Crucifixion,"423 S 2nd St, La Crescent",(507) 895-4720,Mass,5:00 PM,,Mass,English,Crucifixion Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divine Mercy,"139 Mercy Dr, Faribault",507-334-7706,Mass,4:00 PM,,Mass,english,Divine Mercy Catholic Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divine Mercy,"139 Mercy Dr, Faribault",507-334-7706,Mass,8:30 AM,,Mass,english,Divine Mercy Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"145 Jersey Ave S, Golden Valley",(763) 544-0416,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels,"215 W 2nd St, Chaska",952-227-4000,Mass,4:30 PM,,Mass,English,Guardian Angels,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels,"8260 4th St N, Oakdale",651-738-2223,Mass,4:30 PM,,Mass,English,Guardian Angels,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels Catholic Church,"215 W 2nd St, Chaska",+1-952-227-4000,Mass,4:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels Catholic Church,"8260 4th St N, Oakdale",+1-651-738-2223,Mass,4:30 PM,,Mass,English,Guardian Angels Catholic Church,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"60 Hartman Dr, Moose Lake",(218) 485-8214,Mass,4:00 PM,,Mass,english,Holy Angels,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Childhood,"1435 Midway Pkwy, Saint Paul",651-489-8825,Mass,5:00 PM,,Mass,English,Holy Childhood,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Childhood,"1435 Midway Pkwy, Saint Paul",651-489-8825,Mass,7:45 AM,,Mass,English,Holy Childhood,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"10651 Co Hwy 8, Kimball",(320) 252-1799,Mass,4:00 PM,,Mass,English,Holy Cross,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"2711 7th St E, West Fargo",(701) 282-7217,Mass,4:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"54216 Co Hwy 148, Butler",(218) 385-2201,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"180 Washington St, Dakota",(507) 895-4720,Mass,5:00 PM,,Mass,English,Crucifixion Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"10696 Shady Grove Ln, Orr",(218) 666-5334,Mass,5:00 PM,,Mass,english,Holy Cross,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"1420 16th St E, West Fargo",17012827217,Mass,5:00 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"29482 243rd St, Harding",(320) 360-9720,Mass,6:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"1182 County Rd 8, Hillman",12189276581,Mass,4:00 PM,,Mass,English,Our Lady of Fatima,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"223 Maple St, Arcadia",(608) 323-7116,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"1018 18th Ave S, Grand Forks",(701) 746-1454,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"5900 W Lake St, Saint Louis Park",(952) 929-0113,Mass,5:00 PM,,Mass,english,Holy Family,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"5900 W Lake St, Saint Louis Park",(952) 929-0113,Mass,8:00 AM,,Mass,english,Holy Family,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"223 Maple St, Arcadia",(608) 323-7116,Mass,8:00 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family (Maronite),"1960 Lexington Ave S, Mendota Heights",(651) 291-1116,Mass,4:00 PM,,Mass,English,Holy Family,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Name,"3637 11th Ave S, Minneapolis",(612) 724-5465,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Name of Jesus,"155 County Rd 24, Medina",763-473-7901,Mass,5:00 PM,,Mass,English,Holy Name of Jesus,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Name of Jesus,"155 County Rd 24, Medina",763-473-7901,Mass,8:00 AM,,Mass,English,Holy Name of Jesus,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"1043 Lake Ave, Detroit Lakes",(218) 847-1393,Mass,5:00 PM,,Mass,English,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"525 Grant Ave, North Mankato",(507) 387-6501,Mass,5:00 PM,,Mass,English,"Holy Rosary Catholic Church, North Mankato",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"2424 18th S Ave, Minneapolis",(612) 767-2430,Mass,6:00 PM,,Mass,spanish,Holy Rosary,Vespers
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"N6235 County Rd V, Durand",(715) 672-5640,Mass,6:30 PM,,Mass,English,"Holy Rosary, Lima",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"1420 7th St N, Fargo",(701) 232-5900,Mass,4:00 PM,,Mass,english,Holy Spirit Catholic Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"2405 Walden Way, Saint Cloud",(320) 251-3764,Mass,4:00 PM,,Mass,English,Holy Spirit,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"309 3rd St S, Virginia",(218) 741-6344,Mass,4:00 PM,,Mass,English,Holy Spirit,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"5455 50th Ave NW, Rochester",(507) 280-0638,Mass,4:30 PM,,Mass,english,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"227 3rd St, Two Harbors",(218) 834-4659,Mass,4:30 PM,,Mass,English,Holy Spirit Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"1420 7th St N, Fargo",(701) 232-5900,Mass,8:30 AM,,Mass,english,Holy Spirit Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit Catholic Church,"515 S Albert St, Saint Paul",651-698-3353,Mass,4:30 PM,,Mass,English,Holy Spirit Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Trinity,"87 Main St, Rollingstone",(507) 689-2351,Mass,4:30 PM,,Mass,English,Holy Trinity,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Trinity,"1333 13th St S, La Crosse",(608) 782-2028,Mass,4:45 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Trinity,"110 Winsted Ave W, Winsted",(320) 485-5631,Mass,5:00 PM,,Mass,english,Holy Trinity,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Trinity,"749 6th Ave S, South Saint Paul",651-455-1302,Mass,5:15 PM,,Mass,english,Holy Trinity,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Trinity,"211 4th St N, Goodhue",651-923-4472,Mass,5:30 PM,,Mass,English,Holy Trinity,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"650 Main St, New Munich",(320)236-2143,Mass,4:00 PM,,Mass,English,"Immaculate Conception, New Munich",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"306 W Oak St, Osakis",(320) 859-2390,Mass,4:00 PM,,Mass,English,Immaculate Conception Catholic Church of Osakis,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"101 Church St, Saint Clair",(507) 243-3319,Mass,4:00 PM,,Mass,English,"Immaculate Conception, St. Clair, Minnesota",livestream
