slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-mn-ada-st-joseph-9ef93d23,St. Joseph,405,E,Thorpe,Ave,,,,405 E Thorpe Ave,Ada,MN,56510,1699,47.29653203,-96.5072042,(218) 784-4131
us-mn-adams-sacred-heart-c8bb45ff,Sacred Heart,412,,Main,St,,,,412 Main St,Adams,MN,55909,,43.56549633,-92.72029374,507-582-3120 
us-mn-adrian-st-adrian-02ebd169,St. Adrian,512,,Maine,Ave,,,,512 Maine Ave,Adrian,MN,56110,,43.63135553,-95.93285772,(507) 483-2317
us-mn-aitkin-st-james-69410b0e,St. James,299,,Red Oak,Dr,,,,299 Red Oak Dr,Aitkin,MN,56431,,46.51573045,-93.71472996,(218) 927-6581
us-mn-albany-seven-dolors-d8b6f9f8,Seven Dolors,151,,- 2nd,St,S,,,151 - 2nd St S,Albany,MN,56307,0277,45.62849088,-94.5655402,(320) 845-2705
us-mn-albany-st-anthony-18947967,St. Anthony,24326,,Trobec,St,,,,24326 Trobec St,Albany,MN,56307,,45.68633731,-94.61108426,(320) 845-2416
us-mn-albert-lea-st-theodore-607d51fb,St. Theodore,315,E,Clark,St,,,,315 E Clark St,Albert Lea,MN,56007,,43.65019964,-93.365505,(507) 373-0603
us-mn-albertville-church-of-st-albert-5b28b88d,St. Albert,,,"57th St NE , 55301-0127",,,,,"57th St NE , 55301-0127",Albertville,MN,11400,,45.2351875,-93.6635625,17634972474
us-mn-albertville-st-albert-d7b3a583,St. Albert,11400,,57th,St,NE,,,11400 57th St NE,Albertville,MN,55301,,45.23489414,-93.65644591,763-497-2474
us-mn-alexandria-st-mary-2139edbc,St. Mary,420,,Irving,St,,,,420 Irving St,Alexandria,MN,56308,,45.8879996,-95.37516061,(320) 763-5781
us-mn-angus-holy-trinity-e160a20c,Holy Trinity,37639,,140th,St,NW,,,37639 140th St NW,Angus,MN,56762,,48.07866218,-96.86040556,(218) 745-5853
us-mn-annandale-st-ignatius-d5a2de11,St. Ignatius,35,,Birch,St,E,,,35 Birch St E,Annandale,MN,55302,,45.26462984,-94.12354974,320-274-8828
us-mn-anoka-st-stephens-catholic-church-ca1d3ffb,St. Stephen's Catholic Church,525,,Jackson,St,,,,525 Jackson St,Anoka,MN,55303,,45.19917543,-93.38298387,763-421-2471
us-mn-appleton-st-john-06212d14,St. John,350,,Edquist,St,S,,,350 Edquist St S,Appleton,MN,56208,,45.19597954,-96.01216329,320-842-4271
us-mn-argyle-st-rose-of-lima-02924867,St. Rose of Lima,501,W,3rd,St,,,,501 W 3rd St,Argyle,MN,56713,0277,48.33290694,-96.82593486,(218) 437-6341
us-mn-arlington-st-mary-4fe1237c,St. Mary,504,,7th,Ave,NW,,,504 7th Ave NW,Arlington,MN,55307,,44.6118483,-94.08516385,(507) 964-5413
us-mn-aurora-our-lady-of-hope-83a9b728,Holy Rosary,16,W,5th,Ave,N,,,16 W 5th Ave N,Aurora,MN,55705,,47.531896,-92.23875428,(218) 229-3210
us-mn-austin-queen-of-angels-1b473784,Queen of Angels,1001,E,Oakland,Ave,,,,1001 E Oakland Ave,Austin,MN,55912,,43.66682186,-92.96312337,(507) 433-1888
us-mn-austin-st-augustine-church-feb963c5,St Augustine Church,405,,4th,St,NW,,,405 4th St NW,Austin,MN,55912,,43.6697189,-92.9800949,+1-814-435-2303
us-mn-austin-st-augustine-ddbe43a6,St. Augustine,405,,4th,St,NW,,,405 4th St NW,Austin,MN,55912,,43.66980211,-92.98008835,(507) 437-4537
us-mn-austin-st-edward-7b78a495,St. Edward,2000,,Oakland,Ave,W,,,2000 Oakland Ave W,Austin,MN,55912,1599,43.6671528,-93.0011549,(507) 437-4537
us-mn-avon-immaculate-conception-dd43cee3,Immaculate Conception,37186,,County Rd 9,,,,,37186 County Rd 9,Avon,MN,56310,,45.66174337,-94.47488216,(320) 228-0105
us-mn-avon-st-benedict-ff3ccdd5,St. Benedict,212,,First,St,SW,,,212 First St SW,Avon,MN,56310,0098,45.60845659,-94.45356168,(320) 250-5618
us-mn-babbitt-st-pius-x-aa19f47c,St. Pius X,15,,Ash,Blvd,,,,15 Ash Blvd,Babbitt,MN,55706,,47.7092298,-91.95035303,(218) 827-2291 or (218) 365-4017
us-mn-badger-st-mary-3e815692,St. Mary,504,N,Main,St,,,,504 N Main St,Badger,MN,56714,,48.78496382,-96.01055163,(218) 463-2441
us-mn-bagley-st-joseph-2b6dd17d,St. Joseph,215,,Central,St,W,,,215 Central St W,Bagley,MN,56621,,47.52223743,-95.40276522,(218) 694-6416
us-mn-ball-club-st-joseph-5461965e,St. Joseph,51061,,Wolf,Dr,,,,51061 Wolf Dr,Ball Club,MN,56636,,47.32044237,-93.92419128,(218) 246-8582
us-mn-barnesville-assumption-71278784,Assumption,307,,Front,St,N,,,307 Front St N,Barnesville,MN,56514,,46.65611411,-96.42061238,(218) 354-7320
us-mn-battle-lake-our-lady-of-the-lake-934d1738,Our Lady of the Lake,407,,Lake,Ave,N,,,407 Lake Ave N,Battle Lake,MN,56515,0671,46.28615446,-95.7154048,(218) 864-5619
us-mn-baudette-sacred-heart-b84ca18e,Sacred Heart,104,,1st,St,W,,,104 1st St W,Baudette,MN,56623,,48.71165872,-94.60067332,(218) 634-2689
us-mn-bayport-st-charles-fa088904,St. Charles,409,,Third,St,N,,,409 Third St N,Bayport,MN,55003,1061,45.019973,-92.779883,651-439-4511
us-mn-beardsley-church-of-st-mary-62e440b3,St. Mary,510,S,Forest,St,,,,510 S Forest St,Beardsley,MN,56211,,45.5543125,-96.7110625,13202656916
us-mn-beaulieu-st-joseph-aa54e160,St. Joseph,2312,,222nd,Ave,,,,2312 222nd Ave,Beaulieu,MN,56557,,47.30821672,-95.79784639,(218) 935-2503
us-mn-becker-mary-of-the-visitation-becker-site-4d2c010e,Mary of the Visitation (Becker site),12100,,Sherburne,Ave,,,,12100 Sherburne Ave,Becker,MN,55309,0426,45.39521145,-93.87117102,(763) 447-3339
us-mn-belgrade-st-francis-de-sales-6eeefbe0,St. Francis de Sales,541,,Martin,Ave,,,,541 Martin Ave,Belgrade,MN,56312,0069,45.45155532,-95.00326614,(320) 254-8218
us-mn-belle-plaine-our-lady-of-the-prairie-30bdb840,Our Lady of the Prairie,200,E,Church,St,,,,200 E Church St,Belle Plaine,MN,56011,,44.62424565,-93.7664392,952-873-6564
us-mn-belle-plaine-st-john-assumption-0be445df,St. John–Assumption,26523,,200th,St,,,,26523 200th St (Faxon Twsp.),Belle Plaine,MN,56011,,44.66715866,-93.79918257,507-248-3550
us-mn-bellechester-st-mary-353dd415,St. Mary,221,,Chester,Ave,,,,221 Chester Ave,Bellechester,MN,55027,,44.3686086,-92.5147437,651-923-4472
us-mn-bellingham-st-josephs-catholic-church-29ffef53,St. Joseph's Catholic Church,1271,,340th,St,,,,1271 340th St,Bellingham,MN,56212,,45.1542218,-96.4012339,+1-320-839-2772
us-mn-bemidji-bemidji-state-university-3b261dc8,Bemidji State University,1701,,Birch,Ln,,,,1701 Birch Ln,Bemidji,MN,56601,,47.4855625,-94.8753125,12184444762
us-mn-bemidji-st-philip-a7444dc5,St. Philip,702,,Beltrami,Ave,NW,,,702 Beltrami Ave NW,Bemidji,MN,56601,,47.47481562,-94.88028106,(218) 444-4262
us-mn-benson-st-francis-72d1cb6a,St. Francis,508,,13th,St,N,,,508 13th St N,Benson,MN,56215,1228,45.31834512,-95.59791255,(320) 842-4271
us-mn-beroun-st-joseph-mission-6aeeceec,St. Joseph Mission,19390,,Praha,Ave,,,,19390 Praha Ave,Beroun,MN,55063,,45.90910007,-92.95532467,(320) 629-2935
us-mn-bertha-st-joseph-36dddafe,St. Joseph,201,,Cherry,St,,,,201 Cherry St,Bertha,MN,56437,0158,46.27145557,-95.06400727,(218) 631-1593
us-mn-big-elbow-lake-st-frances-cabrini-5fef84f6,St. Frances Cabrini,,,Mn 113 and Becker Co 35,,,,,Mn 113 and Becker Co 35,Big Elbow Lake,MN,56589,,47.14707531,-95.56007854,218-473-2101
us-mn-big-lake-mary-of-the-visitation-5bc663f7,Mary of the Visitation,440,,Lake,St,N,,,440 Lake St N,Big Lake,MN,55309,0100,45.33624072,-93.74499796,(763) 447-3339
us-mn-bigfork-our-lady-of-the-snows-26d03b95,Our Lady of the Snows,320,,Golf Course,Ln,,,,320 Golf Course Ln,Bigfork,MN,56628,,47.74433364,-93.64579988,(218) 743-3255
us-mn-bird-island-st-mary-0a8a1033,St. Mary,220,S,10th,St,,,,220 S 10th St,Bird Island,MN,55310,0500,44.76623637,-94.89958576,(320) 365-3593
us-mn-biwabik-church-of-st-john-94b14c19,St. John,,,6th Ave S,,,,,6th Ave S,Biwabik,MN,55708,,47.5325625,-92.3403125,12188656774
