Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"200 Bowles St, Belzoni, Mississippi 39038-3602",(662) 247-1408,Mass,Wed,6:00 PM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"200 Bowles St, Belzoni, Mississippi 39038-3602",(662) 247-1408,Mass,Sat,5:30 PM,,Mass,saturday,english,All Saints,,,,,vigil
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Mon,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Tue,5:30 PM,,Mass,specific_weekday,English,,,,,,no location specified
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Wed,5:30 PM,,Mass,specific_weekday,English,,,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Wed,8:00 AM,,Mass,specific_weekday,English,,,,,,no location specified
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Thu,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Thu,8:30 AM,,Mass,specific_weekday,English,Annunciation Catholic School,,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,,,,,,no location specified
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Sat,4:00 PM,,Vigil Mass,saturday,English,,,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Sun,10:30 AM,,Mass,sunday,English,,,,,,no location specified
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Sun,10:30 AM,,Mass,sunday,English,,,,,,
Annunciation,"808 College St, Columbus, Mississippi 39701",(662) 328-2927,Mass,Sun,8:00 AM,,Mass,sunday,English,,,,,,no location specified
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Mass,Sun,8:00 AM,,Mass,sunday,English,,,,,,
Annunciation,"5370 Kiln-Delisle Rd, Kiln, Mississippi 39556",(228) 255-1800,Confession,Sat,3:00 PM,3:45 PM,Sacrament of Reconciliation,specific_weekday,English,,,,,,
Annunciation,"517 Ave B, Bogalusa, Louisiana 70427-3711",(985) 732-4280,Confession,Sat,3:30 PM,3:50 PM,Confession,saturday,English,,,,,,or by appointment
Annunciation,"517 Ave B, Bogalusa, Louisiana 70427-3711",(985) 732-4280,Confession,Sun,4:30 PM,5:00 PM,Confession,sunday,spanish,,,,,,
