slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ms-aberdeen-st-francis-of-assisi-33ed8a79,St. Francis of Assisi,102,S,James,St,,,,102 S James St,Aberdeen,MS,39730,,33.82533011,-88.54617644,(662) 369-2897
us-ms-amory-st-helen-6305d5af,St. Helen,401,,8th,Ave,S,,,401 8th Ave S,Amory,MS,38821,,33.97912189,-88.48011615,(662) 256-8392
us-ms-anguilla-our-mother-of-mercy-82780713,Mission of Our Mother of Mercy,119,,Jefferson,St,,,,119 Jefferson St,Anguilla,MS,38721,,32.97623091,-90.83015503, (662) 686-7352
us-ms-bassfield-st-peter-cc92ecf0,St. Peter,4135,,,Hwy,,,,4135 Hwy 42,Bassfield,MS,39421,,31.49491328,-89.74450637,601-943-6688
us-ms-batesville-st-mary-8f194a0f,St. Mary,120,,,Hwy,,,,120 Hwy 35 N,Batesville,MS,38606,,34.32916236,-89.93897042,(662) 563-2273
us-ms-bay-saint-louis-our-lady-of-the-gulf-catholic-church-43b72589,Our Lady of the Gulf Catholic Church,228,S,Beach,Blvd,,,,228 S Beach Blvd,Bay Saint Louis,MS,39520,,30.30797544,-89.32793277,(228) 467-6509
us-ms-bay-saint-louis-st-ann-a3360586,St. Ann,5858,,Lower Bay,Rd,,,,5858 Lower Bay Rd,Bay Saint Louis,MS,39520,,30.27550191,-89.4235841,(228) 467-5128
us-ms-bay-saint-louis-st-rose-de-lima-4f7c1b38,St. Rose de Lima,301,S,Necaise,Ave,,,,301 S Necaise Ave,Bay Saint Louis,MS,39520,,30.31102182,-89.33604554,(228) 467-7347
us-ms-belzoni-all-saints-f8428bfe,All Saints,200,,Bowles,St,,,,200 Bowles St,Belzoni,MS,39038,3602,33.17899664,-90.48689669,(662) 247-1408
us-ms-biloxi-blessed-francis-xavier-seelos-54c9d0ac,Blessed Francis Xavier Seelos,360,,Lameuse,St,,,,360 Lameuse St,Biloxi,MS,39530,,30.40638656,-88.88689504,(228) 435-4281
us-ms-biloxi-nativity-of-the-blessed-virgin-mary-cathedral-7cbb5f8c,Cathedral of the Nativity of the Blessed Virgin Mary,870,,Howard,Ave,,,,870 Howard Ave,Biloxi,MS,39530,,30.39717018,-88.8912034,(228) 374-1717
us-ms-biloxi-catholic-diocese-of-biloxi-0b962ce9,Catholic Diocese of Biloxi,1790,,Popp's Ferry,Rd,,,,1790 Popp's Ferry Rd,Biloxi,MS,39532,,30.4435989,-88.9421655,+1-228-702-2100
us-ms-biloxi-our-lady-of-fatima-ee77ab8e,Our Lady of Fatima,2090,,,Pass,,,,2090 Pass Rd,Biloxi,MS,39531,3130,30.40319495,-88.96091651,(228) 388-3887
us-ms-biloxi-our-mother-of-sorrows-80a432a7,Our Mother of Sorrows,803,,Division,St,,,,803 Division St,Biloxi,MS,39530,,30.40304919,-88.88922168,(228) 435-0007
us-ms-biloxi-st-mary-dd24babe,St. Mary,8343,,Woolmarket,Rd,,,,8343 Woolmarket Rd,Biloxi,MS,39532,8149,30.46985529,-88.97789502,(228) 392-1999
us-ms-biloxi-st-michael-c89d00de,St. Michael,177,,First,St,,,,177 First St,Biloxi,MS,39530,,30.39307508,-88.86221504,(228) 435-5578
us-ms-biloxi-st-michael-catholic-church-99c646a6,St. Michael Catholic Church,177,,1st,St,,,,177 1st St,Biloxi,MS,39530,,30.393119,-88.8621935,+1-228-435-5578
us-ms-biloxi-vietnamese-martyrs-522eae55,Vietnamese Martyrs,171,,Oak,St,,,,171 Oak St,Biloxi,MS,39530,,30.39680258,-88.86841648,(228)374-1116
us-ms-booneville-st-francis-of-assisi-99d7b59c,St. Francis of Assisi,721,N,College,St,,,,721 N College St,Booneville,MS,38829,,34.66464547,-88.56019919,(662) 728-7509
us-ms-brookhaven-st-francis-of-assisi-38b966f8,St. Francis of Assisi,227,E,Cherokee,St,,,,227 E Cherokee St,Brookhaven,MS,39601,,31.57789366,-90.44017325,(601) 833-1799
us-ms-bruce-church-of-st-luke-the-evangelist-15764447,St. Luke the Evangelist,209,W,Calhoun,St,,,,209 W Calhoun St,Bruce,MS,38915,0230,33.9908125,-89.3508125,16629834600
us-ms-camden-sacred-heart-115842e6,Sacred Heart,1493,,,Hwy,,,,1493 Hwy 17,Camden,MS,39045,,32.74095098,-89.82186958,(662) 468-2354
us-ms-canton-holy-child-jesus-463f1a2f,Holy Child Jesus,315,,Garrett,St,,,,315 Garrett St,Canton,MS,39046,0366,32.60789,-90.0368958,(601) 859-2957
us-ms-canton-holy-child-jesus-church-211b76f6,Holy Child Jesus Church,315,,Garrett,St,,,,315 Garrett St,Canton,MS,39046,,32.6085609,-90.0381285,+1-601-859-2957
us-ms-canton-sacred-heart-ea856b0a,Sacred Heart,238,E,Center,St,,,,238 E Center St,Canton,MS,39046,,32.61352149,-90.03111551,(601) 859-3749
us-ms-canton-sacred-heart-catholic-church-7964bfef,Sacred Heart Catholic Church,238,E,Center,St,,,,238 E Center St,Canton,MS,39046,,32.6136089,-90.0311042,+1-662-846-7136
us-ms-carthage-st-anne-8b6678fd,St. Anne,207,,Red Dog,Rd,,,,207 Red Dog Rd,Carthage,MS,39051,,32.74816677,-89.53683188,(601) 267-7190
us-ms-charleston-st-john-9ce66425,St. John,304,W,Cypress,St,,,,304 W Cypress St,Charleston,MS,38921,,34.00509429,-90.06097671,(662) 647-3170
us-ms-choctaw-st-therese-c4308717,St. Therese,10110,,BIA,Rd,,,,10110 BIA Rd 2213,Choctaw,MS,39350,,32.78010605,-89.22335699,(601) 656-2880 
us-ms-clarksdale-immaculate-conception-14f203fe,Immaculate Conception,510,,Ritchie,Ave,,,,510 Ritchie Ave,Clarksdale,MS,38614,,34.20144846,-90.55349924,(662) 624-4029
us-ms-clarksdale-st-elizabeth-9c0e0b33,St. Elizabeth,130,,Florence,Ave,,,,130 Florence Ave,Clarksdale,MS,38614,,34.20946586,-90.57128236,(662) 624-4301
us-ms-cleveland-our-lady-of-victories-beda9a64,Our Lady of Victories,215,,Bishop,Rd,,,,215 Bishop Rd,Cleveland,MS,38732,,33.74504917,-90.7445054,(662) 846-6273
us-ms-clinton-holy-savior-a6c96025,Holy Savior,714,,Lindale,St,,,,714 Lindale St,Clinton,MS,39056,,32.34520004,-90.30362583,(601) 924-6344
us-ms-columbia-holy-trinity-f789a605,Holy Trinity,1429,N,Park,Ave,,,,1429 N Park Ave,Columbia,MS,39429,9803,31.26786131,-89.82403366,(601) 736-3136
us-ms-columbus-annunciation-60deeef6,Annunciation,808,,College,St,,,,808 College St,Columbus,MS,39701,,33.49407773,-88.42377661,(662) 328-2927
us-ms-conehatta-st-catherine-a52037d1,Mission of St. Catherine,9857,,,Hwy,,,,9857 Hwy 489,Conehatta,MS,39057,,32.4576717,-89.262079,(601) 656-2880
us-ms-corinth-st-james-the-less-3095da69,St. James the Less,3189,N,Harper,Rd,,,,3189 N Harper Rd,Corinth,MS,38834,,34.95144009,-88.49705596,(662) 331-5184
us-ms-cranfield-st-john-the-baptist-a0a17c0f,St. John the Baptist,260,,Cranfield,Rd,,,,260 Cranfield Rd,Cranfield,MS,39661,,31.51575956,-91.22196278,(601) 445-5700
us-ms-crystal-springs-st-john-83a3461a,St. John,221,E,Georgetown,St,,,,221 E Georgetown St,Crystal Springs,MS,39059,,31.98676707,-90.35456325,(601) 892-1717
us-ms-diberville-sacred-heart-9bcd684d,Sacred Heart,10446,,LeMoyne,Blvd,,,,10446 LeMoyne Blvd,D'Iberville,MS,39540,,30.43652922,-88.88641688,(228) 392-4526
us-ms-fayette-st-anne-ffe83a71,St. Anne,89,,Harriston,Rd,,,,89 Harriston Rd,Fayette,MS,39069,,31.71503949,-91.0580866,(601) 431-8059
