Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
481 Immaculate Conception Dr,"481 Pine St, Saint Mary, Missouri 63673",(573) 517-3133,Mass,,9:00 AM,,Mass,monthly,English,"St. Mary, Missouri",sunday,,,,"first, third; unless otherwise notified"
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,Sun,10:50 AM,,Terce/Mass/Sext,sunday,English,,,,,,
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,10:50 AM,11:00 AM,Terce/Mass/Sext,other,English,,,,,,Daily; for Lent
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,11:00 AM,,Mass,daily,English,,,,,,Occasionally Mass is at a different time; on that rare occasion we will post a note here
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,2:00 PM,,Mass of the Presanctified/Vespers,special_event,English,,,2026-03-27,,,Mass of the Presanctified/Vespers
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,2:30 PM,,Mass,special_event,English,,,2026-03-26,,,Mass
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,7:00 PM,,Vigil Mass and Compline,special_event,English,,,2026-03-28,,,Vigil Mass and Compline; vigil
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,7:30 AM,,Mass,special_event,English,,,2026-01-12,,,Mass
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Mass,,8:00 AM,,Mass,special_event,English,,,2026-03-29,,,Mass
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,7:15 PM,Rosary/Adoration,other,English,,,,,,and First Class Feasts; adoration
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,7:15 PM,Exposition/Vespers,other,English,,,,,,and First Class Feasts; exposition
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,,Exposition/Vespers,sunday,English,,,,,,exposition
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Adoration,Sun,6:15 PM,7:15 PM,Rosary/Adoration,sunday,English,,,,,,adoration
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Tue,2:15 PM,,Rosary,specific_weekday,English,,,,,,Private Rosary
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Thu,2:15 PM,,Rosary,specific_weekday,English,,,,,,Private Rosary
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Thu,5:45 PM,,Vespers,specific_weekday,English,,,,,,
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Sat,2:15 PM,,Rosary,specific_weekday,English,,,,,,Private Rosary
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Sun,7:15 PM,8:00 PM,Benediction,other,English,,,,,,and First Class Feasts
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,Sun,7:15 PM,,Benediction,sunday,English,,,,,,
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,,2:15 PM,2:30 PM,Rosary,other,English,,,,,,Daily
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,,6:15 AM,,Matins/Lauds/Prime,special_event,English,,,2026-03-29,,,Matins/Lauds/Prime
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,,6:30 PM,7:00 PM,Vespers,other,English,,,,,,Daily
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,,7:00 PM,,Compline,special_event,English,,,2026-03-26,,,Compline
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Devotions,,7:00 PM,,Compline,special_event,English,,,2026-03-27,,,Compline
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,Thu,2:00 PM,,None,specific_weekday,English,,,,,,Holy Hour with None
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,Sun,3:00 PM,4:15 PM,None & Chaplet,other,English,,,,,,and First Class Feasts
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,Sun,3:00 PM,,None & Chaplet,sunday,English,,,,,,
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,10:00 AM,,Palm Sunday Liturgy,special_event,English,,,2026-03-22,,,Palm Sunday Liturgy; N.B. Please know this liturgy lasts almost 3 hours.
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,10:45 AM,,Terce,special_event,English,,,2026-03-26,,,Terce
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,10:45 AM,,Terce,special_event,English,,,2026-03-27,,,Terce
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,10:45 AM,,Terce,special_event,English,,,2026-03-28,,,Terce
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,12:00 PM,,Sext,special_event,English,,,2026-03-26,,,Sext
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,12:00 PM,,Sext,special_event,English,,,2026-03-27,,,Sext
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,12:00 PM,,Sext,special_event,English,,,2026-03-28,,,Sext
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,1:30 PM,,None,special_event,English,,,2026-03-26,,,None
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,1:50 PM,,None,special_event,English,,,2026-03-27,,,None
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,2:00 PM,,None,special_event,English,,,2026-03-28,,,None
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,2:30 PM,2:45 PM,None,other,English,,,,,,Daily
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,7:40 AM,,Procession/Terce,special_event,English,,,2026-03-29,,,Procession/Terce
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,8:00 PM,,Tenebrae,special_event,English,,,2026-03-25,,,Tenebrae; Matins and Lauds
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,8:00 PM,,Tenebrae,special_event,English,,,2026-03-26,,,Tenebrae; Matins and Lauds
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,8:00 PM,,Tenebrae,special_event,English,,,2026-03-27,,,Tenebrae; Matins and Lauds
"Abbatial Church of Our Lady, Queen of Apostles","Gower Missouri 64454, Gower, Missouri 64454",,Other,,9:50 AM,,Terce,special_event,English,,,2026-03-22,,,Terce
Abbey of St. Louis and St. Mary,"500 S Mason Rd, Creve Coeur, Missouri 63141",13144343690,Mass,Mon,5:30 PM,,Holy Mass,specific_weekday,English,,,,,,Monastery Schedule
Abbey of St. Louis and St. Mary,"500 S Mason Rd, Creve Coeur, Missouri 63141",13144343690,Mass,Tue,5:30 PM,,Holy Mass,specific_weekday,English,,,,,,Monastery Schedule
Abbey of St. Louis and St. Mary,"500 S Mason Rd, Creve Coeur, Missouri 63141",13144343690,Mass,Wed,5:30 PM,,Holy Mass,specific_weekday,English,,,,,,Monastery Schedule
Abbey of St. Louis and St. Mary,"500 S Mason Rd, Creve Coeur, Missouri 63141",13144343690,Mass,Thu,5:30 PM,,Holy Mass,specific_weekday,English,,,,,,Monastery Schedule
Abbey of St. Louis and St. Mary,"500 S Mason Rd, Creve Coeur, Missouri 63141",13144343690,Mass,Fri,8:50 AM,,Holy Mass,specific_weekday,English,,,,,,Monastery Schedule
