Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,Abbey of St. Louis and St. Mary,"500 S Mason Rd, Creve Coeur",13144343690,Mass,8:45 AM,,Holy Mass,English,,Monastery Schedule
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"310 S 9th St, Keokuk",(319) 524-8334,Mass,4:30 PM,,Mass,English,Church of All Saints,livestream; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"7 McMenamy Rd, Saint Peters",(636) 397-1440,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls,"9550 Tennyson Ave, Overland",(314) 427-0442,Mass,4:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Souls,"9550 Tennyson Ave, Overland",(314) 427-0442,Mass,7:30 AM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"310 S Mill St, California",(573) 796-4842,Mass,4:00 PM,,Mass,english,Annunciation,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"701 N Jefferson, Kearney",816-628-5030,Mass,5:00 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"12 W Glendale, Webster Groves",(314) 962-5955,Mass,5:00 PM,,Mass,English,Annunciation Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunziata,"9305 Clayton Rd, Saint Louis",(314) 993-4422,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunziata,"9305 Clayton Rd, Saint Louis",(314) 993-4422,Mass,7:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"9510 W 127th St, Overland Park",(913) 681-3348,Mass,4:30 PM,,Mass,English,Church,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"9510 W 127th St, Overland Park",(913) 681-3348,Mass,8:30 AM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension Catholic Church Chesterfield,"230 Santa Maria Dr, Chesterfield",(636) 532-3304,Mass,5:00 PM,,Mass,English,Main Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension Catholic Church Chesterfield,"230 Santa Maria Dr, Chesterfield",(636) 532-3304,Mass,8:00 AM,,Mass,English,Main Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"603 Miller St, New Haven",(573) 237-3372,Mass,5:00 PM,,Mass,English,Assumption Parish,The Rosary begins ~20 mins before mass.
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"403 N Main St, O Fallon",636-240-3721,Mass,5:00 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"4725 Mattis Rd, Saint Louis",(314) 487-7970,Mass,5:00 PM,,Mass,english,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"155 Morrison Ave, Morrison",(573) 763-5345,Mass,6:00 PM,,Mass,English,Morrison,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"403 N Main St, O Fallon",636-240-3721,Mass,8:00 AM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"4725 Mattis Rd, Saint Louis",(314) 487-7970,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary Catholic Church,"403 N Main St, O'Fallon",+1-636-240-3721,Mass,5:00 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary Catholic Church,"403 N Main St, O'Fallon",+1-636-240-3721,Mass,8:00 AM,,Mass,English,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,"Basilica of St. Louis, King of France (Old Cathedral)","209 Walnut St, Saint Louis",(314) 231-3250,Mass,5:30 PM,,Mass,english,"The Basilica of Saint Louis, King of France",
"Sat, Feb 21, 2026",2026-02-21,Saturday,"Basilica of St. Louis, King of France (Old Cathedral)","209 Walnut St, Saint Louis",(314) 231-3250,Mass,7:00 AM,,Mass,english,"The Basilica of Saint Louis, King of France",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"8707 W Main St, Belleville",(618) 397-2287,Mass,4:30 PM,,Mass,English,Blessed Sacrament Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"1208 S 25th, Bethany",(660) 425-8160,Mass,4:30 PM,,Mass,English,Blessed Sacrament Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"1119 S 7th St, Quincy",(217) 222-2759,Mass,4:30 PM,,Mass,English,Blessed Sacrament Catholic Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2203 Parallel Ave, Kansas City",(913) 321-1958,Mass,6:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament Catholic church,"8707 W. Main Street, Belleville",+1-618-397-2287,Mass,4:30 PM,,Mass,English,Blessed Sacrament Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Stanley Rother Mission,"758 Hill Ave, Decatur",(479) 361-2612 ,Mass,6:00 PM,,Mass,spanish,"Blessed Stanley Rother Church, Decatur",vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St Joseph,"2305 W Main St, Jefferson City",+1-573-635-7991,Mass,4:00 PM,,Mass,English,Cathedral of St Joseph,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Agnes,"533 S Jefferson, Springfield",(417) 831-3565,Mass,5:00 PM,,Mass,English,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Joseph,"2215 W Main St, Jefferson City",(573) 635-7991,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Mary of the Annunciation,"615 William St, Cape Girardeau",(573) 335-9347,Mass,4:30 PM,,Mass,English,Cathedral of St. Mary of the Annunciation,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. Peter,"416 N 14th St, Kansas City",(913) 371-0840,Mass,4:00 PM,,Mass,english,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Jude,"119, Montauk",,Mass,3:30 PM,,Mass,English,"St. Jude Chapel, Montauk",note: from Memorial Day weekend to Labor Day weekend
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Jude,"119, Montauk",,Mass,5:30 PM,,Mass,English,Sacred Heart,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Mary of Victories,"744 S 3rd St, Saint Louis",(314) 231-8101,Mass,TBD,,Mass,latin,Saint Mary of Victories,1 per month; check bulletin
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8510 Wornall Rd, Kansas City",816-363-4888,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"3024 N 53rd St, Kansas City",(913) 287-8823,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"7316 Balson Ave, University City",(314) 721-8737,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8510 Wornall Rd, Kansas City",816-363-4888,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,"Christ, Prince of Peace","415 Weidman Rd, Manchester",(636) 391-1307,Mass,5:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Co-Cathedral of St. Joseph,"519 N 10th St, Saint Joseph",816-232-7763,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Congregation of the Mother of the Redeemer,"1900 Grand Ave, Carthage",+1-417-358-7787,Mass,6:00 PM,,Mass,English,"1900 Grand Avenue Carthage, MO 64836, USA",vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Coronation of Our Lady Parish,"13000 Bennington Ave, Grandview",816-761-8811,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Coronation of Our Lady Parish,"13000 Bennington Ave, Grandview",816-761-8811,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Corpus Christi,"205 Rasp St, Shiloh",(618) 632-7614 or (618) 632-5631 (Rectory),Mass,4:30 PM,,Mass,English,Corpus Christi,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cure of Ars,"9401 Mission Rd, Leawood",(913) 649-1337,Mass,4:00 PM,,Mass,english,Church,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cure of Ars,"9401 Mission Rd, Leawood",(913) 649-1337,Mass,8:00 AM,,Mass,english,Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Divine Mercy,"555 W Main, Gardner",(913) 856-7781,Mass,4:30 PM,,Mass,english,Divine Mercy Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Epiphany of Our Lord Church,"6596 Smiley Ave, Saint Louis",(314) 781-1199,Mass,4:00 PM,,Mass,english,Epiphany of Our Lord,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"703 Third St, Hillsboro",(636) 789-3356,Mass,4:00 PM,,Mass,English,Good Shepherd,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"12800 W 75th St, Shawnee",(913) 563-5300,Mass,5:00 PM,,Mass,english,Good Shepherd,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Guardian Angels,"1310 Westport Rd, Kansas City",(816) 931-4351,Mass,4:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"15408 Leavenworth Rd, Basehor",(913) 724-1665,Mass,4:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"345 E Acton Ave, Wood River",(618) 254-0679,Mass,4:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"535 Tucker St, Dyersburg",(731) 287-8000,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"8311 W 93rd St, Overland Park",(913) 381-2755,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"415 School Ave, Cuba",(573) 885-3520,Mass,6:00 PM,,Mass,English,"Holy Cross, Cuba, MO",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"5106 St John Ave, Kansas City",816-231-4845 ,Mass,6:00 PM,,Mass,spanish,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"2606 Washington Ave, Granite City",(618) 877-7158,Mass,4:00 PM,,Mass,English,Holy Family Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"218 S Maple St, Hannibal",(573) 221-1078,Mass,4:00 PM,,Mass,English,"218 S Maple Ave, Hannibal MO 63401",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"274 Orchard St, Kansas City",(913) 371-1561,Mass,4:00 PM,,Vigil Mass,english,,Odd Months: Holy Family Church; Even Months: St. John the Baptist Church; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"919 NE 96th St, Kansas City",816-436-9200,Mass,4:30 PM,,Mass,English,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"116 Church St, Cahokia",(618) 337-4548 or (618) 286-4373,Mass,5:00 PM,,Vigil Mass,English,116 Church St.,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"104 Oliver St, Freeburg",(573) 744-5254,Mass,5:00 PM,,Mass,English,"Holy Family, Freeburg",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"104 Oliver St, Freeburg",(573) 744-5254,Mass,5:30 PM,,Mass,English,"Holy Family, Freeburg",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"24036 Farm Rd 1255, Shell Knob",14178583678,Mass,6:30 PM,,Holy Mass,English,,Shell Knob; Missouri; from Memorial day weekend until Labor day weekend
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"24036 Farm Rd 1255, Shell Knob",(417) 858-2518,Mass,6:30 PM,,Mass,English,Holy Family Catholic Church,from Memorial day weekend until Labor day weekend
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family Parish (Immaculate Conception Campus),"2300 Church Rd, Arnold",(636) 321-0002,Mass,4:00 PM,,Mass,English,Parish Center,livestream
