slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-mo-advance-st-joseph-8c5d22d4,St. Joseph,33921,,State Hwy 91,,,,,33921 State Hwy 91,Advance,MO,63730,,37.11073917,-89.9094062,(573) 722-3504
us-mo-affton-seven-holy-founders-7ddffacd,Seven Holy Founders,6741,,Rock Hill,Rd,,,,6741 Rock Hill Rd,Affton,MO,63123,,38.55222724,-90.33397821,(314) 638-3938
us-mo-argyle-st-aloysius-374cdaea,St. Aloysius,260,,Pine,St,,,,260 Pine St,Argyle,MO,65001,,38.29509996,-92.02233249,(573) 728-6922
us-mo-armagh-st-patrick-0a07d47b,Mission of St. Patrick,150,,Rock Church,Rd,,,,150 Rock Church Rd,Armagh,MO,63015,,38.4026848,-90.74473069,(636) 271-6036
us-mo-arnold-holy-family-parish-immaculate-conception-campus-ad976581,Holy Family Parish (Immaculate Conception Campus),2300,,Church,Rd,,,,2300 Church Rd,Arnold,MO,63010,,38.4336939,-90.37915964,(636) 321-0002
us-mo-arnold-holy-family-parish-st-david-campus-f8cc722f,Immaculate Conception (St. David Campus),2334,,Tenbrook,,,,,2334 Tenbrook ,Arnold,MO,63010,2366,38.43344325,-90.37926358,(636) 321-0002
us-mo-arnold-church-of-st-david-7322cf16,St. David,2334,,Tenbrook,Rd,,,,2334 Tenbrook Rd,Arnold,MO,63010,2366,38.4424375,-90.3628125,16362965485
us-mo-augusta-immaculate-conception-9f22b156,Immaculate Conception Church,5912,,,Hwy,,,,5912 Hwy 94 S,Augusta,MO,63332,,38.58271516,-90.90051831,(636) 482-4455
us-mo-aurora-holy-trinity-3a624845,Holy Trinity,,,FR 1180 and Hwy 60,,,,,FR 1180 and Hwy 60,Aurora,MO,65605,,36.94913528,-93.73783624,(417) 678-2403
us-mo-ava-assumption-abbey-a9449a8a,Assumption Abbey,5,,,,,,,5,Ava,MO,65608,9142,36.8403125,-92.4670625,
us-mo-ava-mission-of-st-leo-the-great-4eb47d09,Mission of St. Leo the Great,,,Ava Missouri 65608,,,,,Ava Missouri 65608,Ava,MO,65608,,36.95625,-92.66125,14176835249
us-mo-ava-monastery-of-mary-queen-of-the-apostles-54eb0b98,Monastery of Mary Queen of the Apostles,,,Ava Missouri 65608,,,,,Ava Missouri 65608,Ava,MO,65608,,36.8609375,-92.5636875,
us-mo-ava-st-leo-the-great-8966149a,St. Leo the Great ,,,County Rd 201,,,,,County Rd 201,Ava,MO,65608,,36.96973543,-92.65748814,(417) 683-5249
us-mo-bahner-st-john-the-evangelist-4081a5d1,Mission of St. John the Evangelist,30602,,,Hwy,,,,30602 Hwy V,Bahner,MO,65350,,38.5693381,-93.12844246,(660) 827-2311
us-mo-ballwin-holy-infant-e18abada,Holy Infant,627,,Dennison,Dr,,,,627 Dennison Dr,Ballwin,MO,63021,0802,38.58396922,-90.55696352,(636) 227-7440
us-mo-baring-church-of-st-aloysius-68fa87a5,St. Aloysius,,,2nd St & Fulton,St,,,,2nd St & Fulton St,Baring,MO,63537,,40.2448125,-92.2053125,16603972183
us-mo-belle-church-of-st-alexander-9bf6e602,St. Alexander,400,W,3rd,St,,,,400 W 3rd St,Belle,MO,65013,,38.2871875,-91.7255625,15734372494
us-mo-belton-st-sabina-22a744bd,St. Sabina,700,,Trevis,Ave,,,,700 Trevis Ave ,Belton,MO,64012,,38.81704044,-94.55166578,(816) 331-4713
us-mo-benton-st-denis-f04181c1,St. Denis,135,N,Winchester,,,,,135 N Winchester,Benton,MO,63736,,37.0988538,-89.56307356,(573) 545-3864
us-mo-berger-church-of-st-paul-d034e9fa,St. Paul,,,3rd,St,,,,3rd St,Berger,MO,63014,,38.6725625,-91.3398125,15732373372
us-mo-bethany-blessed-sacrament-97c1e679,Blessed Sacrament,1208,S,25th,,,,,1208 S 25th,Bethany,MO,64424,,40.25761254,-94.02791705,(660) 425-8160
us-mo-bevier-sacred-heart-8184cfb6,Mission of the Sacred Heart,301,N,Macon,St,,,,301 N Macon St,Bevier,MO,63532,,39.749979,-92.5645462,(660) 385-3792
us-mo-billings-st-joseph-daa03f0f,St. Joseph,320,,Washington,Ave,,,,320 Washington Ave,Billings,MO,65610,,37.06789963,-93.55601763,(417) 744-2490
us-mo-bismarck-st-john-the-apostle-2141a1a4,Mission of St. John the Apostle,821,,Maple and Walnut Sts,,,,,821 Maple and Walnut Sts,Bismarck,MO,63624,,37.76629903,-90.62780311,(573) 431-2427
us-mo-bloomsdale-st-agnes-186bb86c,St. Agnes,40,,St Agnes,Dr,,,,40 St Agnes Dr,Bloomsdale,MO,63627,,38.00656933,-90.22165523,(573) 483-2555
us-mo-blue-springs-st-john-lalande-b87d61ae,St. John LaLande,805,NW,R.D Mize,Rd,,,,805 NW R.D Mize Rd,Blue Springs,MO,64015,,39.02464114,-94.27406685,816-229-3378
us-mo-blue-springs-st-robert-bellarmine-863ea09b,St. Robert Bellarmine,4313,SW,State Rt 7,,,,,4313 SW State Rt 7,Blue Springs,MO,64015,,38.97831906,-94.2755161,816-229-5168
us-mo-bolivar-st-catherine-of-siena-cb72c3ba,Mission of St. Catherine of Siena,1405,W,Fair Play,St,,,,1405 W Fair Play St,Bolivar,MO,65613,,37.79572755,-93.57551842,(417) 326-5596
us-mo-bolivar-sacred-heart-10526a28,Sacred Heart,1405,W,Fair Play,St,,,,1405 W Fair Play St,Bolivar,MO,65613,,37.61287568,-93.42643304,(417) 326-5596
us-mo-bonne-terre-st-joseph-b70f573a,St. Joseph,15,,Saint Joseph,St,,,,15 Saint Joseph St,Bonne Terre,MO,63628,,37.92443999,-90.55403899,(573) 358-2112
us-mo-bonnots-mill-st-louis-of-france-99fe80fb,St Louis of France,211,,Church Hill,St,,,,211 Church Hill St,Bonnots Mill,MO,65016,,38.57786133,-91.96461687,(573) 897-2922
us-mo-boonville-saints-peter-and-paul-aff03d56,Sts. Peter and Paul,322,,Seventh,St,,,,322 Seventh St,Boonville,MO,65233,,38.97682882,-92.74045886,(660) 882-6468
