Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Mass,Tue,4:00 PM,,Mass,specific_weekday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Mass,Wed,9:30 PM,,Mass,specific_weekday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Mass,Thu,12:30 PM,,Mass,specific_weekday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Mass,Fri,12:00 PM,,Mass,specific_weekday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Mass,Sun,7:00 PM,,Mass,sunday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Confession,Tue,3:00 PM,3:45 PM,Reconciliation,specific_weekday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Confession,Wed,8:00 PM,9:15 PM,Reconciliation,specific_weekday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Adoration,Thu,10:00 PM,12:00 PM,Adoration,specific_weekday,English,All Saints Chapel,,,,,
All Saints Chapel-Carroll College,"1601 N Benton Ave, Helena, Montana 59625",(406) 447-4869,Adoration,Fri,10:00 PM,12:00 PM,Adoration,specific_weekday,English,All Saints Chapel,,,,,
Blessed Sacrament,"19 S Cheyenne Ave, Lame Deer, Montana 59043",(406) 477-6384,Other,,4:30 PM,,Retreat,special_event,English,,,2026-01-23,,,Retreat; ends Jan 24 at 16:00
Chapel of All Saints,"1601 N Benton Ave, Helena, Montana 59625",14064474869,Mass,Tue,12:00 PM,,Mass,weekday,English,All Saints Chapel,,,,,Tuesday; Wednesday; Thursday
Chapel of All Saints,"1601 N Benton Ave, Helena, Montana 59625",14064474869,Mass,Tue,12:30 PM,,Mass,weekday,English,All Saints Chapel,,,,,Tuesday; Wednesday; Friday
Chapel of All Saints,"1601 N Benton Ave, Helena, Montana 59625",14064474869,Mass,Tue,4:00 PM,,Mass,weekday,English,All Saints Chapel,,,,,Wednesday; Thursday; Friday
