Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"1204 Logan St, Holdrege, Nebraska 68949",(308) 995-4590,Mass,Wed,6:00 PM,,Mass,specific_weekday,English,All Saints,,,,,during school year
All Saints,"1204 Logan St, Holdrege, Nebraska 68949",(308) 995-4590,Mass,Sat,5:30 PM,,Mass,saturday,English,All Saints,,,,,
All Saints,"1204 Logan St, Holdrege, Nebraska 68949",(308) 995-4590,Mass,Sun,10:30 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"1204 Logan St, Holdrege, Nebraska 68949",(308) 995-4590,Confession,Sat,4:45 PM,5:20 PM,Confessions,saturday,English,,,,,,
All Saints,"1204 Logan St, Holdrege, Nebraska 68949",(308) 995-4590,Confession,Sun,10:10 AM,10:25 AM,Confessions,sunday,English,,,,,,if possible
All Saints,"201 S Maderson Ave, Hyannis, Nebraska 69350",(308) 546-2250,Confession,,TBD,,Confessions,other,English,,,,,,prior to the weekend Masses
All Saints,"1204 Logan St, Holdrege, Nebraska 68949",(308) 995-4590,Adoration,Wed,8:00 AM,,Adoration,specific_weekday,English,,,,,,exposition; 24 hours
All Saints,"1204 Logan St, Holdrege, Nebraska 68949",(308) 995-4590,Adoration,Thu,12:00 AM,8:00 AM,Adoration,specific_weekday,English,,,,,,exposition
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Mass,Tue,6:00 PM,,Mass,specific_weekday,English,"All Souls Church, Bridgeport NE 69336",,,,,
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Mass,Sun,10:00 AM,,Mass,sunday,English,"All Souls Church, Bridgeport NE 69336",,,,,
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Mass,,10:00 AM,,Mass,special_event,English,Bridgeport,,2026-01-04,,,Mass; Intention: For People of the Parish
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Mass,,6:00 PM,,Mass,special_event,English,Bridgeport,,2025-12-30,,,Mass
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Mass,,7:00 PM,,Mass,special_event,English,Bridgeport,,2025-12-31,,,Mass; Intention: Craftsmen & Tradesmen
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Confession,Sun,10:00 AM,10:15 AM,Confession,sunday,English,"All Souls Church, Bridgeport NE 69336",,,,,before Mass
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Devotions,,1:30 PM,2:30 PM,Sunday Holy Hour,special_event,English,Bridgeport,,2026-01-04,,,Sunday Holy Hour
All Souls,"617 P St, Bridgeport, Nebraska 69336",(308) 262-0709,Education,,1:30 PM,,OCIA class,special_event,English,Bridgeport,,2026-01-04,,,OCIA class
Assumption,"1821 38th Rd, David City, Nebraska 68632",(402) 367-3579,Mass,Mon,5:00 PM,5:20 PM,Mass,specific_weekday,English,St. Mary's,,,,,
Assumption,"1821 38th Rd, David City, Nebraska 68632",(402) 367-3579,Mass,Mon,6:00 AM,6:15 AM,Mass,specific_weekday,English,St. Mary's,,,,,
