Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption,"1821 38th Rd, David City",(402) 367-3579,Mass,5:00 PM,5:20 PM,Mass,English,St. Mary's,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption,"1821 38th Rd, David City",(402) 367-3579,Mass,6:00 AM,6:15 AM,Mass,English,St. Mary's,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption,"336 W Pine St, Dwight",(402) 566-2765,Mass,7:30 AM,,Mass,English,Assumption in Dwight,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"1720 Lake St, Lincoln",(402) 474-4249,Mass,6:30 AM,,Mass,English,Blessed Sacrament Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"518 W State St, Grand Island",(308) 384-0532,Mass,8:00 AM,,Mass,English,Blessed Sacrament Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"1720 Lake St, Lincoln",(402) 474-4249,Mass,8:15 AM,,Mass,English,Blessed Sacrament Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Cecilia,"701 N 40th St, Omaha",(402) 551-2313,Mass,11:15 AM,,Mass,English,Cathedral,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Risen Lord,"3500 Sheridan Blvd, Lincoln",(402) 488-0948,Mass,5:00 PM,,Mass,English,Cathedral of the Risen Christ,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Risen Lord,"3500 Sheridan Blvd, Lincoln",(402) 488-0948,Mass,6:30 AM,,Mass,English,Cathedral of the Risen Christ,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Risen Lord,"3500 Sheridan Blvd, Lincoln",(402) 488-0948,Mass,8:15 AM,,Mass,English,Cathedral of the Risen Christ,
