slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ne-abie-sts-peter-and-paul-cd01ffd1,Sts. Peter and Paul,222,,Maple,St,,,,222 Maple St,Abie,NE,68001,,41.33629391,-96.94884181,(402) 543-2493
us-ne-ainsworth-st-pius-x-fdd86350,St. Pius X,938,E,3rd,St,,,,938 E 3rd St,Ainsworth,NE,69210,,42.54841898,-99.85054685,(402) 387-1275
us-ia-akron-st-patricks-0c80a886,St. Patrick,650,,Dakota,St,,,,650 Dakota St,Akron,IA,51001,,42.82803387,-96.55364598,712 722-3011 or 712-568-3292
us-ne-albion-st-michael-2e92dab9,St. Michael,524,W,Church,St,,,,524 W Church St,Albion,NE,68620,,41.69197443,-98.00369403,(402) 395-2332
us-ne-alexandria-st-mary-59d36082,St. Mary,511,,Amanda,St,,,,511 Amanda St,Alexandria,NE,68303,,40.24741589,-97.39126462,(402) 729-2058
us-ne-alliance-holy-rosary-0448d4ed,Holy Rosary,904,,Cheyenne,Ave,,,,904 Cheyenne Ave,Alliance,NE,69301,,42.10326333,-102.87405363,(308) 762-2009
us-ne-alma-st-joseph-7957d756,St. Joseph,810,,4th,St,,,,810 4th St,Alma,NE,68920,,40.1015575,-99.36449009,(308) 928-2575
us-ne-aloys-st-aloysius-62120156,St. Aloysius,700,,,Hwy,,,,700 Hwy 32,Aloys,NE,68788,,41.83006625,-96.90302026,(402) 372-2188
us-ne-amelia-st-joseph-ed2157a0,Mission of St. Joseph,85632,,Ivy,Ave,,,,85632 Ivy Ave,Amelia,NE,68711,,42.23657794,-98.91084122,(402) 336-1602
us-ne-amherst-st-john-capistran-997334b7,St. John Capistran,118,N,Ash,St,,,,118 N Ash St,Amherst,NE,68812,,40.83905142,-99.26906729,(308) 856-4375
us-ne-anselmo-st-anselm-9dce5577,St. Anselm,201,W,Rolla,Ave,,,,201 W Rolla Ave,Anselmo,NE,68813,,41.61616173,-99.86617172,(308) 872-5716 or (308) 872-5809
us-ne-arago-church-of-st-mary-82798fd2,St. Mary,6,,,,,,,6,Arago,NE,68431,,40.13125,-95.46375,14022454731
us-ne-arapahoe-st-germanus-589f7ed6,St. Germanus,912,,Chestnut,St,,,,912 Chestnut St,Arapahoe,NE,68922,,40.30653903,-99.90322262,(308) 697-3722
us-ne-arnold-st-agnes-848e3462,St. Agnes,503,N,Carroll,St,,,,503 N Carroll St,Arnold,NE,69120,,41.42644293,-100.19326328,(308) 636-2421
us-ne-ashland-st-mary-ed275962,St. Mary,,,17th & Adams,St,,,,17th & Adams St,Ashland,NE,68003,,41.03997844,-96.37166607,(402) 944-3554
us-ne-ashton-st-francis-bed30834,St. Francis,220,W,Carleton,St,,,,220 W Carleton St,Ashton,NE,68817,,41.24921373,-98.79721338,(308) 745-0315
us-ne-atkinson-st-joseph-8b3fdd45,St. Joseph,104,S,Tuller,St,,,,104 S Tuller St,Atkinson,NE,68713,,42.53125918,-98.98286507,(402) 925-2122
us-ne-auburn-st-joseph-2074bd7b,St. Joseph,2221,,N,St,,,,2221 N Street,Auburn,NE,68305,,40.38146984,-95.84380366,(402) 274-3733
us-ne-aurora-st-mary-6136e3f2,St. Mary,1420,,Ninth,St,,,,1420 Ninth St,Aurora,NE,68818,,40.87120476,-98.00693373,(402) 694-3427
us-ks-axtell-st-michael-1987ae56,St. Michael,504,,Sixth,St,,,,504 Sixth St,Axtell,KS,66403,,39.87490551,-96.25623815,(785) 736-2220
us-ks-baileyville-sacred-heart-6fa91ba6,Sacred Heart,357,N,Third,St,,,,357 N Third St,Baileyville,KS,66404,,39.84464608,-96.18580923,(785) 336-6464
us-ne-bancroft-holy-cross-d58986fa,Holy Cross,501,,Park,St,,,,501 Park St,Bancroft,NE,68004,,42.01160399,-96.57444458,(402) 878-2402
us-ne-barneston-st-joseph-ad9e31a7,St. Joseph,406,,Wyatt,St,,,,406 Wyatt St,Barneston,NE,68309,,40.05043047,-96.57164735,(402) 645-3160
us-ne-bassett-holy-cross-764862af,Holy Cross,602,,Sunrise,Cir,,,,602 Sunrise Cir,Bassett,NE,68714,,42.5787562,-99.5274921,(402) 387-1275
us-ne-battle-creek-st-patrick-6a3c58df,St. Patrick,107,N,3rd,St,,,,107 N 3rd St,Battle Creek,NE,68715,,42.0002577,-97.59971274,(402) 675-6345
