Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Mass,Mon,8:00 AM,,Mass,specific_weekday,english,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Mass,Tue,8:00 AM,,Mass,specific_weekday,english,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Mass,Fri,8:00 AM,,Mass,specific_weekday,english,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Mass,Sat,5:00 PM,,Mass,saturday,english,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,vigil
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Mass,Sat,6:30 PM,,Mass,saturday,spanish,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,vigil
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Mass,Sun,9:00 AM,,Mass,sunday,english,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Confession,Sat,3:30 PM,4:30 PM,Confession,saturday,English,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,
Assumption of the Blessed Virgin Mary,"10930 Alder Dr, Truckee, California 96161",(530) 587-3595,Devotions,Fri,8:30 AM,9:30 AM,HOLY HOUR WITH BENEDICTION,specific_weekday,English,ASSUMPTION OF THE BLESSED VIRGIN MARY,,,,,exposition; benediction
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,Tue,4:30 PM,,Mass,specific_weekday,English,,,,,,followed by Adoration until 19:00
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,Sat,5:00 PM,,Mass,saturday,English,english,,,,,
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,Sun,12:00 PM,,Mass,sunday,English,spanish,,,,,
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,Sun,9:00 AM,,Mass,sunday,English,english,,,,,
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,,10:00 AM,,Mass,monthly,English,,first_wednesday,,,,1st Wednesday of the Month is Anointing Mass
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,,6:00 PM,,Bilingual Mass,special_event,English,bilingual,,2026-02-18,,,Bilingual Mass
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,,9:00 AM,,Mass,special_event,English,english,,2026-02-18,,,Mass; Communion Service with distribution of Ashes
Christ Of The Desert Catholic Mission Church,"1730 E White Sands, Amargosa Valley, Nevada 89020",(775) 372-5501,Mass,,9:00 AM,,Mass,monthly,English,english,first_friday_(recurring),,,,followed by adoration until 12:00
