slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-nv-amargosa-valley-christ-of-the-desert-mission-church-14190ce8,Christ Of The Desert Catholic Mission Church,1730,E,White Sands,,,,,1730 E White Sands,Amargosa Valley,NV,89020,,36.51409827,-116.42659781,(775) 372-5501
us-nv-battle-mountain-st-john-bosco-bfe1238b,St. John Bosco,384,S,Reese,St,,,,384 S Reese St,Battle Mountain,NV,89820,,40.63921865,-116.93645889,(775) 635-2576
us-nv-boulder-city-st-andrew-roman-catholic-church-779f5f94,St Andrew's Catholic Church,1399,,San Felipe,Dr,,,,1399 San Felipe Dr,Boulder City,NV,89005,,35.96785534,-114.82646846,(702) 293-7500
us-nv-caliente-holy-child-cdbd96ac,Holy Child,80,,Tennille,St,,,,80 Tennille St,Caliente,NV,89008,,37.61710681,-114.51164556,(775) 726-3669
us-nv-carlin-sacred-heart-e0bb99fe,Sacred Heart,562,,4th,St,,,,562 4th St,Carlin,NV,89822,,40.71531366,-116.11498268,(775) 754-6425
us-nv-carson-city-corpus-christi-ce75d507,Corpus Christi,3597,N,Sunridge,Dr,,,,3597 N Sunridge Dr,Carson City,NV,89705,,39.09841128,-119.76623773, 775-267-3200
us-nv-carson-city-st-teresa-of-avila-13fbc55f,St. Teresa of Avila,3000,N,Lompa,Ln,,,,3000 N Lompa Ln,Carson City,NV,89706,,39.1862959,-119.74331218,(775) 882-1968
us-nv-dayton-st-ann-70f52f52,St. Ann,3,,Melanie,Dr,,,,3 Melanie Dr,Dayton,NV,89403,,39.28688285,-119.54174089,(775) 246-7578
us-nv-dyer-our-lady-of-guadalupe-6a37e257,Our Lady Of Guadalupe,,,SR 264 Fish Lake Valley Community Ctr,,,,,SR 264 Fish Lake Valley Community Ctr,Dyer,NV,89010,,37.69668128,-118.09037018,(775) 482-6746
us-nv-elko-st-joseph-73546dda,St. Joseph,990,,Highland,Dr,,,,990 Highland Dr,Elko,NV,89801,,40.8311829,-115.77527761,(775) 738-6432
us-nv-ely-sacred-heart-02357958,Sacred Heart,100-1198,E,11th,St,,,,100-1198 E 11th St,Ely,NV,89301,,39.25325044,-114.86489511,(775) 289-2201
us-nv-eureka-st-brendan-263582da,St. Brendan,70,N,O'Neill,Ave,,,,70 N O'Neill Ave,Eureka,NV,89316,,39.51249579,-115.96344065,(775) 318-0065 
us-nv-fallon-st-patrick-9db2be1d,St. Patrick,850,W,Fourth,St,,,,850 W Fourth St,Fallon,NV,89406,3738,39.47089088,-118.78756002,(775) 423-2846
us-nv-fernley-st-robert-bellarmine-66af3e0a,St. Robert Bellarmine,625,,Desert Shadows,Ln,,,,625 Desert Shadows Ln,Fernley,NV,89408,,39.57475868,-119.23839497,(775) 575-4011
us-ca-furnace-creek-death-valley-station-2a8fece2,Death Valley Station,,,Ranch Education Bldg,,,,,Ranch Education Bldg,Furnace Creek,CA,92328,,36.45625,-116.86875,17608764350
us-nv-gardnerville-st-gall-119c42a9,St. Gall,1343,,Centerville,,,,,1343 Centerville,Gardnerville,NV,89410,9746,38.93530066,-119.7502768,(775) 782-2852
us-nv-hawthorne-our-lady-of-perpetual-help-81c139ee,Our Lady of Perpetual Help,804,,A,St,,,,804 A St,Hawthorne,NV,89415,,38.52947518,-118.62818525,(775) 945-2020
us-nv-henderson-st-francis-of-assisi-080043bb,St. Francis of Assisi,2300,,Sunridge Heights,Pkwy,,,,2300 Sunridge Heights Pkwy,Henderson,NV,89052,,35.99934422,-115.08925438,(702) 914-2175
us-nv-henderson-saint-john-paul-ii-3935eb15,St. John Paul II,3700,,Liberty Heights,Ave,,,,3700 Liberty Heights Ave,Henderson,NV,89052,,35.98895575,-115.15292762,725-304-3304
us-nv-henderson-st-mother-teresa-syro-malabar-df8317f7,St. Mother Teresa (Syro-Malabar),240,S,Cholla,St,,,,240 S Cholla St,Henderson,NV,89015,,36.04030897,-114.97598857,(317) 965-9892
us-nv-henderson-st-peter-the-apostle-roman-catholic-church-5f913927,St. Peter the Apostle Roman Catholic Church,204,S,Boulder,Hwy,,,,204 S Boulder Hwy,Henderson,NV,89015,,36.03831593,-114.97917157,(702) 970-2500
us-nv-henderson-st-thomas-more-catholic-community-c6bd8f8d,St. Thomas More Catholic Community,130,N,Pecos,Rd,,,,130 N Pecos Rd Henderson,Henderson,NV,89074,,36.03696263,-115.09957764,702-361-3022
us-nv-incline-village-st-francis-of-assisi-de31b3cf,St. Francis of Assisi,701,,Mount Rose,Hwy,,,,701 Mount Rose Hwy,Incline Village,NV,89451,,39.25429411,-119.96760269,(775) 831-0490 
us-nv-jackpot-our-lady-of-guadalupe-mission-05d96573,OUR LADY OF GUADALUPE MISSION,2555,,Progressive,Dr,,,,2555 Progressive Dr,Jackpot,NV,89825,,41.98110713,-114.66554959,775-738-6432
us-nv-las-vegas-christ-the-king-catholic-church-6ddcd28b,Christ The King Catholic Church,4925,S,Torrey Pines,Dr,,,,4925 S Torrey Pines Dr,Las Vegas,NV,89118,,36.0991959,-115.2348459,+1-702-871-1904
us-nv-las-vegas-christ-the-king-59a57bbf,Christ the King,4925,S,Torrey Pines,Dr,,,,4925 S Torrey Pines Dr,Las Vegas,NV,89118,,36.09940114,-115.23484532,(702) 871-1904
us-nv-las-vegas-guardian-angel-cathedral-6c968b0e,Guardian Angel Cathedral,302,,Cathedral,Way,,,,302 Cathedral Way,Las Vegas,NV,89109,,36.13053092,-115.16351084,(702) 735-5241
us-nv-las-vegas-holy-family-dbf73655,Holy Family,4490,S,Mountain Vista,St,,,,4490 S Mountain Vista St,Las Vegas,NV,89121,,36.1082004,-115.07288899,(702) 458-2211
us-nv-las-vegas-holy-spirit-7953e788,Holy Spirit,5830,,Mesa Park,Dr,,,,5830 Mesa Park Dr,Las Vegas,NV,89135,,36.08302183,-115.3197508,(702) 459-7778
us-nv-las-vegas-holy-spirit-catholic-church-ad9850b0,Holy Spirit Catholic Church,5830,,Mesa Park,Dr,,,,5830 Mesa Park Dr,Las Vegas,NV,89135,,36.0830843,-115.3194941,+1-702-459-7778
us-nv-las-vegas-saint-sharbel-maronite-fe1c7981,Mission of St. Sharbel (Maronite),10325,,Rancho Destino,Rd,,,,10325 Rancho Destino Rd,Las Vegas,NV,89183,,36.002505,-115.166852,(702) 616-6902
