Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Mon,9:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Tue,9:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Wed,9:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Thu,9:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Fri,9:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Sat,4:00 PM,,Mass,saturday,english,All Saints Parish,,,,,vigil
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Sun,10:00 AM,,Mass,sunday,english,All Saints Parish,,,,,livestream
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Sun,12:00 PM,,Mass,sunday,spanish,All Saints Parish,,,,,livestream
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,Sun,8:00 AM,,Mass,sunday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,,5:30 PM,,Mass,weekday,spanish,All Saints Parish,,,,,note: except Tue per schedule changes
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Mass,,9:00 AM,,Mass,monthly,english,All Saints Parish,first_saturday_(recurring),,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Confession,Sat,3:00 PM,3:50 PM,Confession,saturday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Confession,Sun,9:00 AM,9:50 AM,Confession,sunday,english,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Adoration,Wed,6:00 PM,7:00 PM,Adoration,specific_weekday,English,All Saints Parish,,,,,exposition; note: Rosary during Adoration
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Adoration,,6:00 PM,,Eucharistic Adoration & Rosary,special_event,English,All Saints Parish,,2026-02-18,,,Eucharistic Adoration & Rosary
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Adoration,,6:00 PM,7:00 PM,Eucharistic Adoration & Rosary,parish_event,English,All Saints Parish,,,,,
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Adoration,,8:00 AM,8:00 PM,Adoration,daily,English,Chapel,,,,,exposition; note: whenever the church is open
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Education,,7:00 PM,,Men's Bible Study,special_event,English,All Saints Parish,,2026-02-18,,,Men's Bible Study
All Saints,"120 Bellevue Ave, Haverhill, Massachusetts 01832",(978) 372-7721,Education,,7:00 PM,,Men's Bible Study,parish_event,English,All Saints Parish,,,,,
