slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-nh-alton-st-katharine-drexel-70327ee9,St Katharine Drexel Parish,40,,Hidden Springs,Rd,,,,40 Hidden Springs Rd,Alton,NH,03809,,43.50674797,-71.2191484,(603) 875-2548
us-nh-andover-immaculate-conception-mission-c55438e1,Immaculate Conception Mission,12,,Church,Ln,,,,12 Church Ln,Andover,NH,03257,,43.43546003,-71.857944,(603) 526-4484
us-nh-auburn-st-peter-e65958b6,St. Peter,567,,Manchester,Rd,,,,567 Manchester Rd,Auburn,NH,03032,,43.00526892,-71.39055975,(603) 623-5429
us-nh-barrington-chapel-of-the-nativity-1e8815e3,Chapel of the Nativity,9,,,,,,,9,Barrington,NH,03825,,43.21875,-71.03625,
us-nh-barrington-mission-chapel-of-the-nativity-parish-of-the-assumption-44486d3f,Mission Chapel of the Nativity (Parish of the Assumption),731,,NH-9,,,,,731 NH-9,Barrington,NH,03825,,43.21602465,-71.00756101,(603) 742-4837
us-nh-bedford-st-elizabeth-seton-21bbbe57,St. Elizabeth Seton,190,,Meetinghouse,Rd,,,,190 Meetinghouse Rd,Bedford,NH,03110,,42.9501817,-71.4824842,(603) 669-7444
us-nh-belmont-st-joseph-48f82c1f,St. Joseph,96,,Main,St,,,,96 Main St,Belmont,NH,03220,,43.44558031,-71.47877713,(603) 267-8174
us-nh-berlin-good-shepherd-parish-st-anne-church-d9f04de2,St. Anne,345,,Pleasant,St,,,,345 Pleasant St,Berlin,NH,03570,,44.47296373,-71.17743435,(603) 752-2880
us-nh-bretton-woods-our-lady-of-the-mountains-shrine-gate-of-heaven-parish-45187fd9,Our Lady of the Mountains Shrine (Gate of Heaven Parish),2470,,Rte 302,,E,,,2470 Rte 302 E (Carroll),Bretton Woods,NH,03575,,44.2594433,-71.45569805,(603) 788-2083 or (603) 788-5553 (Emergencies only)
us-nh-bristol-our-lady-of-grace-chapel-holy-trinity-parish-73e63d7d,Chapel of Our Lady of Grace (Holy Trinity Parish),2,W,Shore,Rd,,,,2 W Shore Rd,Bristol,NH,03222,,43.61714136,-71.73749482,(603) 536-4700
us-nh-canaan-st-mary-mission-church-a5b5a3c4,St. Mary Catholic Church,1157,,US Rte 4,,,,,1157 US Rte 4,Canaan,NH,03741,,43.64661796,-72.01342995,(603) 632-4263
us-nh-center-ossipee-church-of-st-joseph-6dfda798,St. Joseph,23,,Moultonville,Rd,,,,23 Moultonville Rd,Center Ossipee,NH,03814,0248,43.7556875,-71.1651875,16035395036
us-nh-center-ossipee-st-joseph-0268e3bc,St. Joseph,23,,Moultonville,Rd,,,,23 Moultonville Rd,Center Ossipee,NH,03814,,43.75460328,-71.15602267,(603) 522-3304
us-nh-charlestown-church-of-st-catherine-of-siena-281d1b43,St. Catherine of Siena,290,,Main,St,,,,290 Main St,Charlestown,NH,03603,,43.2326875,-72.4224375,16038263359
us-nh-charlestown-st-catherine-of-siena-all-saints-parish-83f08885,St. Catherine of Siena [All Saints Parish],285,,Main,St,,,,285 Main St,Charlestown,NH,03603,,43.2330157,-72.42336769,(603) 826-3359
us-nh-claremont-st-joseph-bd835466,St. Joseph,58,,Elm,St,,,,58 Elm St,Claremont,NH,03743,,43.37826879,-72.34533489,(603) 542-5732 or (603) 504-5430 Pastor
us-nh-claremont-st-mary-53465ada,St. Mary,32,,Pearl,St,,,,32 Pearl St,Claremont,NH,03743,,43.37462852,-72.34183787,(603) 542-9518
us-nh-claremont-st-mary-catholic-church-7104b056,St. Mary Catholic Church,32,,Pearl,St,,,,32 Pearl St,Claremont,NH,03743,,43.3745701,-72.3418385,+1-603-542-9518
us-nh-colebrook-st-brendan-north-american-martyrs-parish-0e1cab4d,St. Brendan [North American Martyrs Parish],55,,Pleasant,St,,,,55 Pleasant St,Colebrook,NH,03576,,44.89381019,-71.49158738,(603) 237-4342
us-nh-concord-carmelite-monastery-3059ddca,Carmelite Monastery,275,,Pleasant,St,,,,275 Pleasant St,Concord,NH,03301,,43.1963125,-71.5653125,16032255791
us-nh-concord-christ-the-king-parish-st-john-the-evangelist-church-15948797,Christ the King Parish -St. John The Evangelist Church,72,S,Main,St,,,,72 S Main St,Concord,NH,03301,,43.1991319,-71.53295704,(603) 224-2328
us-nh-concord-immaculate-heart-of-mary-8d586e47,Immaculate Heart of Mary,180,,Loudon,Rd,,,,180 Loudon Rd,Concord,NH,03301,,43.21871293,-71.50064959,(603) 224-4393
us-nh-derry-church-of-the-holy-cross-a3dcf8f9,Holy Cross,187,,Hampstead,Rd,,,,187 Hampstead Rd,Derry,NH,03038,4835,42.8993125,-71.2553125,16034379544
us-nh-derry-st-thomas-aquinas-67ec194b,St. Thomas Aquinas,26,,Crystal,Ave,,,,26 Crystal Ave,Derry,NH,03038,,42.88547707,-71.32603021,(603) 432-5000
us-nh-dover-saint-george-maronite-97736ac4,St. George (Maronite),15,,Chapel,St,,,,15 Chapel St,Dover,NH,03821,,43.19819225,-70.87202783,(603) 740-4287 or (603) 742-1149
us-nh-dover-st-joseph-parish-of-the-assumption-073e8f12,St. Joseph (Parish of the Assumption),150,,Central,Ave,,,,150 Central Ave,Dover,NH,03820,,43.18750392,-70.87438281,(603) 742-4837
us-nh-dover-st-mary-parish-of-the-assumption-2f0b4c20,St. Mary Catholic Church (Parish of the Assumption),25,,Chestnut,St,,,,25 Chestnut St,Dover,NH,03820,,43.19886124,-70.87697994,(603) 742-4837
us-nh-durham-st-thomas-more-75d92b17,St. Thomas More,6,,Madbury,Rd,,,,6 Madbury Rd,Durham,NH,03824,,43.13504234,-70.92470582,(603) 868-2666
us-nh-enfield-st-helena-33235217,St. Helena,36,,Shaker Hill,Rd,,,,36 Shaker Hill Rd,Enfield,NH,03748,,43.64022228,-72.14373702,(603) 632-4263
us-nh-epping-st-joseph-c5e5876d,St. Joseph,200,,Pleasant,St,,,,200 Pleasant St,Epping,NH,03042,,43.03813555,-71.10385824,(603) 679-8805
