Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Mon,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Mon,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Tue,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Tue,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Wed,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Wed,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Thu,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Thu,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Fri,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Fri,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sat,8:45 AM,,Mass,saturday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sun,10:00 AM,,Mass,sunday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sun,5:00 PM,,Mass,sunday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sun,7:30 AM,,Mass,sunday,English,ST. MARY'S CHURCH,,,,,
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Mon,5:30 PM,,Vespers,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Mon,5:50 AM,,Viglis & Lauds,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Mon,7:45 PM,,Compline,weekday,english,,,,,,
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Tue,5:30 PM,,Vespers,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Tue,5:50 AM,,Viglis & Lauds,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Tue,7:45 PM,,Compline,weekday,english,,,,,,
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Wed,5:30 PM,,Vespers,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Wed,5:50 AM,,Viglis & Lauds,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Wed,7:45 PM,,Compline,weekday,english,,,,,,
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Thu,5:30 PM,,Vespers,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Thu,5:50 AM,,Viglis & Lauds,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Thu,7:45 PM,,Compline,weekday,english,,,,,,
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Fri,5:30 PM,,Vespers,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Fri,5:50 AM,,Viglis & Lauds,weekday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Fri,7:45 PM,,Compline,weekday,english,,,,,,
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,Sun,6:20 AM,,Viglis & Lauds,sunday,English,,,,,,korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Devotions,,6:20 AM,,Viglis & Lauds,special_event,English,,,2026-01-01,,,Viglis & Lauds; holydays; korean; Viglis & Lauds; holidays; korean
Abbey of St. Paul,"289 Rt 206, Newton, New Jersey 07860",19733832470,Other,Mon,12:15 PM,,Midday Prayer,weekday,english,,,,,,
