Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark",973-792-5793,Mass,8:45 AM,,Mass,English,ST. MARY'S CHURCH,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"502 High St, Burlington",(609) 386-0152,Mass,4:00 PM,,vigil Mass,English,All Saints Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"502 High St, Burlington",(609) 386-0152,Mass,8:00 AM,,Mass,English,All Saints Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"80 Main St, Bloomsbury",(908) 479-4905,Mass,4:30 PM,,Mass,English,Church of the Annunciation,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"475 Westchester Ave, Crestwood",(914) 779-7345,Mass,5:00 PM,,Mass,English,Annunciation,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"50 W Midland Ave, Paramus",(201) 261-6322,Mass,5:00 PM,,Mass,english,Main Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"88 Convent Ave, New York",(212) 234-1919,Mass,7:30 AM,,Mass,english,Church of the Annunciation,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"88 Convent Ave, New York",(212) 234-1919,Mass,7:30 PM,,Mass,spanish,Church of the Annunciation,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"475 Westchester Ave, Crestwood",(914) 779-7345,Mass,9:00 AM,,Mass,English,Annunciation,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"88 Convent Ave, New York",(212) 234-1919,Mass,9:00 AM,,Mass,spanish,Church of the Annunciation,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation BVM Church,"1511 S 10th St, Philadelphia",(215) 334-0159,Mass,5:00 PM,,Mass,english,1511 S.10th Street,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation of the Blessed Virgin Mary,"401 Brookline Blvd, Havertown",(610) 449-1613,Mass,4:30 PM,,Mass,English,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation of the Blessed Virgin Mary,"45 Urban Club Rd, Wayne",(973) 694-5700,Mass,5:30 PM,,Mass,english,Church of the Annunciation of the Blessed Virgin Mary,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation of the Blessed Virgin Mary,"45 Urban Club Rd, Wayne",(973) 694-5700,Mass,8:30 AM,,Mass,english,Church of the Annunciation of the Blessed Virgin Mary,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation of the Blessed Virgin Mary (Ukrainian),"1206 Valley Rd, Melrose Park",(215) 635-1627,Mass,5:00 PM,,Divine Liturgy,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"256 Azalea Dr, New Milford",(201) 836-8961,Mass,5:30 PM,,Mass,english,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"221 W 107th St, New York",(212) 222-0666,Mass,5:30 PM,,Vigil Mass,bilingual,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"256 Azalea Dr, New Milford",(201) 836-8961,Mass,8:30 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension (St. Teresa of Calcutta Parish),"501 Brinley Ave, Bradley Beach",(732) 774-0456,Mass,5:00 PM,,Mass,English,Ascension Worship Site,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"29 Jefferson Ave, Emerson",(201) 262-1122,Mass,12:05 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"211 Homestead Ave, Maybrook",(845) 457-1738,Mass,4:00 PM,,Mass,english,Holy Name of Mary-Assumption,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"7110 Seaview Ave, Wildwood Crest",(609) 522-2709,Mass,4:30 PM,,Mass,English,Assumption Church,note: effective Jan 24; 2026
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"29 Jefferson Ave, Emerson",(201) 262-1122,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"113 Coolidge Pl, Roselle Park",(908) 245-1107,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"29 Jefferson Ave, Emerson",(201) 262-1122,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"131 Union Ave, Peekskill",(914) 221 - 4925,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"113 Coolidge Pl, Roselle Park",(908) 245-1107,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"7110 Seaview Ave, Wildwood Crest",(609) 522-2709,Mass,8:30 AM,,Mass,English,Assumption Church,note: effective Jan 24; 2026
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption (Parish of Immaculate Conception & Assumption of Our Lady),"125 Wallace St, Tuckahoe",(914) 961-3643,Mass,4:00 PM,,Mass,english,Assumption,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption B.V.M.,"300 State Rd, West Grove",(610) 869-2722,Mass,4:30 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption BVM Church,"1900 Meadowbrook Rd, Feasterville",(215) 357-1221,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption Chapel (St. Isidore the Farmer Parish),"76 Evergreen Rd, New Egypt",(609) 758-2153,Mass,5:30 PM,,Mass,English,Assumption,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption Church  (Parish of St. Isidore the Farmer),"28 Monmouth Rd (Rt 537), Wrightstown",(609) 758-2153,Mass,5:30 PM,,Mass,English,Assumption,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption Church (Our Lady of Perpetual Help Parish),"146 S Pitney Rd, Galloway",(609) 652-0008,Mass,4:00 PM,,Mass,English,Assumption Church in Galloway,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of Blessed Virgin Mary (Ukrainian),"684 Alta Vista Pl, Perth Amboy",(732) 826-0767,Mass,5:00 PM,,Divine Liturgy,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of Blessed Virgin Mary (Ukrainian),"684 Alta Vista Pl, Perth Amboy",(732) 826-0767,Mass,8:00 AM,,Divine Liturgy,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of Our Blessed Lady,"143 First St, Wood-Ridge",(201) 438-5555,Mass,12:10 PM,,Mass,English,,Lent Only
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of Our Blessed Lady,"143 First St, Wood-Ridge",(201) 438-5555,Mass,5:30 PM,,Mass,English,,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of Our Blessed Lady,"143 First St, Wood-Ridge",(201) 438-5555,Mass,7:30 AM,,Mass,English,church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of Virgin Mary Byzantine Church,"Grand and Malone St, Trenton",(609) 394-5025,Mass,4:00 PM,,Divine Liturgy,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"302 High St, Hackettstown",(908) 852-3320,Mass,4:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"4101 Old Bethlehem Pike, Bethlehem",(610) 867-7424,Mass,5:00 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"55 Cranberry St, Brooklyn",(718) 875-2096,Mass,5:00 PM,,Mass,English,Assumption,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"649 W Washington St, Slatington",(610) 767-2214,Mass,5:00 PM,,Mass,English,,Weekend Mass Schedule
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"91 Maple Ave, Morristown",(973) 539-2141,Mass,5:30 PM,,Mass,english,Assumption Parish,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"2181 Washington Ave, Northampton",(610) 262-2559,Mass,5:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"302 High St, Hackettstown",(908) 852-3320,Mass,7:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"302 High St, Hackettstown",(908) 852-3320,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"91 Maple Ave, Morristown",(973) 539-2141,Mass,8:00 AM,,Mass,english,Assumption Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilian Monastery (Ukrainian),"710 Fox Chase Rd, Fox Chase Manor",12156639153,Mass,8:00 AM,,Divine Liturgy,English,,Divine Liturgy Schedule during the Great Fast
