slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-pa-abington-our-lady-help-of-christians-08eca420,Our Lady Help of Christians,1500,,Marian,Rd,,,,1500 Marian Rd,Abington,PA,19001,,40.12602334,-75.11449353,(215) 886-3456
us-nj-absecon-korean-mission-of-st-andrew-kim-f2ae46ce,Korean Mission of St. Andrew Kim,702,S,New,Rd,,,,702 S New Rd,Absecon,NJ,08201,,39.4166875,-74.5105625,16096417208
us-nj-absecon-st-elizabeth-ann-seton-9417e907,St. Elizabeth Ann Seton,591,,New Jersey,Ave,,,,591 New Jersey Ave,Absecon,NJ,08201,,39.43163001,-74.50801831,(609) 641-1480
us-nj-allendale-guardian-angel-58c34c3b,Guardian Angel,320,,Franklin Turnpike,,,,,320 Franklin Turnpike,Allendale,NJ,07401,,41.03011224,-74.12498927,(201) 327-4359
us-pa-allentown-cathedral-of-st-catharine-of-siena-7b79fc1d,Cathedral of St. Catherine of Siena,200,,Block of N 18th,St,,,,200 Block of N 18th St,Allentown,PA,18104,5617,40.59888744,-75.49596593,610-433-6461
us-pa-allentown-immaculate-conception-bvm-d4cceacf,Immaculate Conception BVM,501,,Ridge,Ave,,,,501 Ridge Ave,Allentown,PA,18102,,40.61319062,-75.46117248,(610) 433-4404
us-pa-allentown-newman-center-at-muhlenberg-college-12bc3edd,Newman Center at Muhlenberg College,2339,,Liberty,St,,,,2339 Liberty St,Allentown,PA,18104,,40.59972968,-75.50973021,610-866-0581
us-pa-allentown-our-lady-help-of-christians-3051069e,Our Lady Help of Christians,444,N,Jasper,St,,,,444 N Jasper St,Allentown,PA,18109,,40.61727157,-75.43978602,610-432-9384
us-pa-allentown-sacred-heart-729e74af,Sacred Heart of Jesus,336,N,4th,St,,,,336 N 4th St,Allentown,PA,18102,,40.60854444,-75.46779344,(610) 434-5171
us-pa-allentown-shrine-of-our-lady-of-guadalupe-bb1310d6,Shrine of Our Lady of Guadalupe,501,,Ridge,Ave,,,,501 Ridge Ave,Allentown,PA,18102,,40.6133048,-75.46127224,(610) 433-4404
us-pa-allentown-st-francis-of-assisi-89f30c85,St. Francis of Assisi,1046,W,Cedar,St,,,,1046 W Cedar St,Allentown,PA,18102,,40.61201674,-75.48525166,(610) 433-6102
us-pa-allentown-saints-joachim-and-anne-church-maronite-09b92b7f,St. Joachim and Anne Maronite Mission,1065,,Fullerton,Ave,,,,1065 Fullerton Ave Allentown,Allentown,PA,18102,,40.62120758,-75.46348982,845-689-4468
us-nj-allentown-st-john-the-baptist-00e08759,St. John the Baptist,1282,,Yardville-Allentown,Rd,,,,1282 Yardville-Allentown Rd,Allentown,NJ,08501,,40.17463109,-74.59907852,(609) 259-3391
us-pa-allentown-saint-john-the-baptist-7655edd5,St. John the Baptist ,924,N,Front,St,,,,924 N Front St,Allentown,PA,18102,,40.61865251,-75.46173834,(610) 432-0034
us-pa-allentown-st-michael-byzantine-church-9a1af0dc,St. Michael Byzantine Church,156,,Green,St,,,,156 Green St,Allentown,PA,18102,,40.61613087,-75.46288073,(610) 432-6773
us-pa-allentown-st-paul-6af3acb7,St. Paul,920,S,Second,St,,,,920 S Second St,Allentown,PA,18103,,40.59068887,-75.45610976,(610) 797-9733
us-pa-allentown-st-stephen-of-hungary-oratory-d4fe44fa,St. Stephen of Hungary Oratory,510,W,Union,St,,,,510 W Union St,Allentown,PA,18101,,40.60028415,-75.46664711,(610) 439-0111
us-pa-allentown-st-thomas-more-1f6f6362,St. Thomas More,1040,,Flexer,Ave,,,,1040 Flexer Ave,Allentown,PA,18103,,40.57640775,-75.51517391,(610) 433-7414
us-nj-alpha-st-mary-f62bf1e8,St. Mary,830,,Fifth,Ave,,,,830 Fifth Ave,Alpha,NJ,08865,,40.66628486,-75.15474608,(908) 454-0444
us-pa-ambler-st-anthony-of-padua-63d725b1,St. Anthony of Padua,259,,Forest,Ave,,,,259 Forest Ave,Ambler,PA,19002,5903,40.15920019,-75.21987729,(215) 646-4742
us-pa-ambler-st-joseph-0789eff5,St. Joseph,16,S,Spring Garden,St,,,,16 S Spring Garden St,Ambler,PA,19002,,40.15306519,-75.22271245,(215) 646-0494
us-nj-andover-good-shepherd-9ba561d2,Good Shepherd,48,,Tranquility,Rd,,,,48 Tranquility Rd (Rt 517),Andover,NJ,07821,,40.9762157,-74.74858775,(973) 786-6631
us-nj-annandale-immaculate-conception-89faf68d,Immaculate Conception,316,,Old Allerton,Rd,,,,316 Old Allerton Rd,Annandale,NJ,08801,,40.63560563,-74.87963011,(908) 735-7319
us-pa-ardmore-st-colman-80fb1d02,St. Colman,11,,Simpson,Rd,,,,11 Simpson Rd,Ardmore,PA,19003,2812,40.00614735,-75.28801834,(610) 642-0545
us-ny-ardsley-our-lady-of-perpetual-help-964c45a0,Our Lady of Perpetual Help,535,,Ashford,Ave,,,,535 Ashford Ave,Ardsley,NY,10502,,41.01063701,-73.8442821,(914) 478-2822
us-pa-ardsley-queen-of-peace-efea61e5,Queen of Peace,820,N,Hills,Ave,,,,820 N Hills Ave,Ardsley,PA,19038,,40.12764962,-75.16052842,(215) 887-1838
us-nj-asbury-world-apostolate-of-fatima-blue-army-shrine-117d1b52,World Apostolate of Fatima Blue Army Shrine,674,,Mountain View,Rd,E,,,674 Mountain View Rd E,Asbury,NJ,08802,,40.73063128,-75.00689057,(908) 689-1700
us-nj-asbury-park-church-of-the-holy-spirit-058f5c6c,Holy Spirit,705,,2nd,Ave,,,,705 2nd Ave,Asbury Park,NJ,07712,5769,40.2224375,-74.0099375,17327750030
us-nj-asbury-park-our-lady-of-mt-carmel-mother-of-mercy-parish-af9fc2da,Our Lady of Mount Carmel (Mother of Mercy Parish),1201,,Asbury,Ave,,,,1201 Asbury Ave,Asbury Park,NJ,07712,5793,40.22208067,-74.01884873,(732) 775-1056
us-pa-aston-neumann-university-sacred-heart-chapel-d2d49e29,Neumann University-Sacred Heart Chapel,1,,Neumann,Dr,,,,1 Neumann Dr,Aston,PA,19014,,39.8751271,-75.44281423,(610) 358-4202
us-pa-aston-st-joseph-fb4a6aec,St. Joseph,3255,,Concord,Rd,,,,3255 Concord Rd,Aston,PA,19014,,39.86567234,-75.41958529,(610) 497-3340
us-ny-astoria-holy-cross-ukrainian-catholic-church-852167f2,Holy Cross Ukrainian Catholic Church,31-12,,30th,St,,,,31-12 30th St,Astoria,NY,11106,,40.764472,-73.924747,(718) 932-4060
