Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,Mon,5:30 PM,,Mass,specific_weekday,English,Our Lady of Guadalupe Abbey,,,,,
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,Tue,7:30 AM,,Mass,specific_weekday,English,Our Lady of Guadalupe Abbey,,,,,
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,Wed,7:30 AM,,Mass,specific_weekday,English,Our Lady of Guadalupe Abbey,,,,,
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,Thu,7:30 AM,,Mass,specific_weekday,English,Our Lady of Guadalupe Abbey,,,,,
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,Fri,7:30 AM,,Mass,specific_weekday,English,Our Lady of Guadalupe Abbey,,,,,
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,Sat,7:30 AM,,Mass,saturday,English,Our Lady of Guadalupe Abbey,,,,,
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,Sun,9:30 AM,,Mass,sunday,English,Our Lady of Guadalupe Abbey,,,,,
Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos, New Mexico 87552",15057576415,Mass,,7:30 AM,,ASH WEDNESDAY MASS,special_event,English,Our Lady of Guadalupe Abbey,,2025-03-05,,,ASH WEDNESDAY MASS; with the imposition of ashes
All Saints,"1415 N Dakota St, El Paso, Texas 79930",(915) 566-9711,Mass,Sat,5:00 PM,,Mass,saturday,english,,,,,,vigil
All Saints,"1415 N Dakota St, El Paso, Texas 79930",(915) 566-9711,Mass,Sun,10:30 AM,,Mass,sunday,english,,,,,,
All Saints,"1415 N Dakota St, El Paso, Texas 79930",(915) 566-9711,Mass,Sun,8:00 AM,,Mass,sunday,spanish,,,,,,
All Saints,"1415 N Dakota St, El Paso, Texas 79930",(915) 566-9711,Confession,Sat,4:30 PM,,Confessions/Confesiones,saturday,English,,,,,,
All Saints,"1415 N Dakota St, El Paso, Texas 79930",(915) 566-9711,Devotions,Tue,8:00 AM,,Recitation of the Holy Rosary / Rezo del Santo Rosario,specific_weekday,bilingual,,,,,,
Ascension,"2150 Raymac Rd SW, Albuquerque, New Mexico 87105",(505) 877-8550,Mass,Tue,8:00 AM,,Mass,specific_weekday,English,,,,,,
Ascension,"2150 Raymac Rd SW, Albuquerque, New Mexico 87105",(505) 877-8550,Mass,Wed,8:00 AM,,Mass,specific_weekday,English,,,,,,
Ascension,"2150 Raymac Rd SW, Albuquerque, New Mexico 87105",(505) 877-8550,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,,,,,,
Ascension,"2150 Raymac Rd SW, Albuquerque, New Mexico 87105",(505) 877-8550,Mass,Sat,5:00 PM,,Vigil Mass,saturday,English,,,,,,vigil; Sunday obligation
Ascension,"2150 Raymac Rd SW, Albuquerque, New Mexico 87105",(505) 877-8550,Mass,Sun,10:00 AM,,Mass,sunday,English,,,,,,
Ascension,"2150 Raymac Rd SW, Albuquerque, New Mexico 87105",(505) 877-8550,Mass,Sun,8:00 AM,,Mass,sunday,English,,,,,,
Ascension,"2150 Raymac Rd SW, Albuquerque, New Mexico 87105",(505) 877-8550,Confession,,3:00 PM,,Confessions,monthly,English,,saturday,,,,1st and 3rd of the month –TIME_TBD
