Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,Abbey of Our Lady of Guadalupe,"16 Guadalupe Ln, Pecos",15057576415,Mass,5:30 PM,,Mass,English,Our Lady of Guadalupe Abbey,
"Mon, Feb 23, 2026",2026-02-23,Monday,Basilica of San Albino,"2270 Calle de Santiago, Mesilla",(575) 526-9349,Mass,9:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral Basilica of St. Francis of Assisi,"131 Cathedral Pl, Santa Fe",(505) 982-5619,Mass,12:00 PM,,Mass,English,Cathedral Basilica,note: only if Santa Fe Public Schools have 2-hour delay
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Nuestra Señora de San Juan de los Lagos (Historic Church),"NM-518 & Torres Rd, Talpa",(575) 758-2754,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cristo Rey,"814 NM-116 (Old US-85), Bosque",(505) 864-8043,Mass,5:00 PM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cristo Rey,"814 NM-116 (Old US-85), Bosque",(505) 864-8043,Mass,7:00 AM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cristo Rey Catholic Church,"1107 Cristo Rey St, Santa Fe",(505) 983-8528,Mass,12:10 PM,,Mass,English,Cristo Rey,note: Lenten Daily Mass
"Mon, Feb 23, 2026",2026-02-23,Monday,Cristo Rey Mission Church,"23 Duarte Rd, Malaga",(575) 745-3341 or (575) 885-6000 (Emergencies) ,Mass,10:00 AM,,Mass,English,Church,Mon
"Mon, Feb 23, 2026",2026-02-23,Monday,Cristo Rey Mission Church,"23 Duarte Rd, Malaga",(575) 745-3341 or (575) 885-6000 (Emergencies) ,Mass,10:00 AM,,Morning Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Angels,"34 W Ridge Rd, Angel Fire",(575) 376-2553 or (714) 383-0381 (Emergencies only),Mass,8:00 AM,,Mass,English,Holy Angels Catholic Mission Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Child,"19 Camino del Santo Niño, Tijeras",(505) 281-2297,Mass,8:00 AM,,Mass,english,Tijeras,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Child (Santo Niño),"16926 Frontage Rd, Carnuel",(505) 281-2297,Mass,8:00 AM,,Mass,english,Tijeras,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"1327 N Miranda St, Las Cruces",(575) 523-0167,Mass,12:10 PM,,Mass,english,Holy Cross,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"562 Atrisco Rd SW, Albuquerque",(505) 842-5426,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Iglesia Sangre de Cristo,"8901 Candelaria Rd NE, Albuquerque",(505) 292-6477,Mass,9:15 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"619 Copper Ave NW, Albuquerque",(505) 247-4271,Mass,12:10 PM,,Mass,English,619 Copper Ave NW,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"811 6th St, Las Vegas",(505) 425-7791,Mass,5:15 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"400 6th St, Dexter",(575) 734-5478,Mass,6:00 PM,,Mass,English,Dexter,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"811 6th St, Las Vegas",(505) 425-7791,Mass,6:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"705 Delaware Ave, Alamogordo",(575) 437-3291,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"205 Concepcion St, Berino",(575) 882-2239,Mass,8:00 AM,,Mass,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"3700 Canyon Rd, Los Alamos",(505) 662-6193 or (505) 662-6921 (Emergencies) ,Mass,6:30 AM,,Mass,English,Immaculate Heart of Mary,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"3700 Canyon Rd, Los Alamos",(505) 662-6193 or (505) 662-6921 (Emergencies) ,Mass,9:00 AM,,Mass,English,Immaculate Heart of Mary,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary Cathedral,"1240 S Espina St, Las Cruces",(575) 524-8563,Mass,8:15 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Incarnation,"2309 Monterrey Rd NE, Rio Rancho",(505) 771-8331,Mass,5:30 PM,,Mass,English,Church of the Incarnation,
"Mon, Feb 23, 2026",2026-02-23,Monday,Infant Jesus Shrine,"204 Cortez Ave, Hurley",(575) 537-3691,Mass,8:00 AM,,Mass,English,Infant Jesus Shrine,
"Mon, Feb 23, 2026",2026-02-23,Monday,La Sangre de Cristo,"Cuarteles New Mexico 87567, Cuarteles",,Mass,6:00 PM,,Mass,English,,Santa Cruz
"Mon, Feb 23, 2026",2026-02-23,Monday,La Sangre de Cristo,"Cuarteles New Mexico 87567, Cuarteles",,Mass,7:00 AM,,Mass,English,,Santa Cruz
"Mon, Feb 23, 2026",2026-02-23,Monday,La Santísima Trinidad (Historic Church),"498 NM-150, Arroyo Seco",(575) 776-2273,Mass,7:00 AM,,Mass,english,Arroyo Seco - Holy Trinity Parish,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of Our Lady of Refuge,"1320 Mercantil Ave, La Union",(575) 882-2239,Mass,8:00 AM,,Mass,spanish,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Monastery of Christ in the Desert,"Abiquiu New Mexico 87510, Abiquiu",15756134231,Mass,5:00 AM,,Vigils,English,church,choral office
"Mon, Feb 23, 2026",2026-02-23,Monday,Monastery of Christ in the Desert,"Abiquiu New Mexico 87510, Abiquiu",15756134231,Mass,6:50 AM,,Mass,English,church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Monastery of Our Lady of the Desert,"10258 US Hwy 64 Mile Marker #104, Blanco",15054192938,Mass,4:30 AM,,Vigils,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Monastery of Our Lady of the Desert,"10258 US Hwy 64 Mile Marker #104, Blanco",15054192938,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Nativity of the Blessed Virgin Mary,"9502 4th St NW, Albuquerque",(505) 898-5253,Mass,9:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Nuestra Señora del Carmen,"29 Co Rd 382, Llano Quemado",(575) 758-2754,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Nuestro Señor de Mapimi (San Antonio) (Historic Church),"12493 NM-14 (Sandia Park), San Antonito",(505) 281-2297,Mass,8:00 AM,,Mass,english,Tijeras,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Belen,"101 A N 10th St, Belen",(505) 864-8043,Mass,5:00 PM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Belen,"101 A N 10th St, Belen",(505) 864-8043,Mass,7:00 AM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Fatima,"4020 Lomas Blvd NE, Albuquerque",(505) 265-5868,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Grace,"302 S 4th St, Loving",(575) 745-3341 or (575) 885-6000 (Emergencies) ,Mass,10:00 AM,,Mass,english,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Grace,"302 S 4th St, Loving",(575) 745-3341 or (575) 885-6000 (Emergencies) ,Mass,10:00 AM,,Mass,english,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Grace,"1111 N Roselawn Ave, Artesia",(575) 748-1356 or (520)236-1792,Mass,7:30 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Our Lady of Grace,"302 S 4th St, Loving",(575) 745-3341 or (575) 885-6000 (Emergencies) ,Mass,8:00 AM,,Mass,english,Church,
