slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-nm-abeytas-san-antonio-mission-86d90246,San Antonio,11,,Calle De San Antonio,,,,,11 Calle De San Antonio,Abeytas,NM,87006,,34.4680481,-106.81270253,(505) 864-4461 or (505) 864-4170 (Emergencies)
us-nm-abiquiu-monastery-of-christ-in-the-desert-86fe8296,Monastery of Christ in the Desert,,,Abiquiu New Mexico 87510,,,,,Abiquiu New Mexico 87510,Abiquiu,NM,87510,,36.3781875,-106.6805625,15756134231
us-nm-abiquiu-st-thomas-the-apostle-4ab9b993,St. Thomas the Apostle,1,,Church Plaza,,,,,1 Church Plaza,Abiquiu,NM,87510,,36.20749204,-106.31900074,(505) 685-4462
us-nm-abo-san-lorenzo-mission-27a44429,San Lorenzo,56,,San Lorenzo,Rd,,,,56 San Lorenzo Rd,Abo,NM,87036,,34.45647565,-106.32809402,(505) 847-2291 or (505) 226-2786 (Emergencies)
us-nm-acoma-village-san-esteban-del-rey-ce100265,San Esteban del Ray,266,,Pueblo,Rd,,,,266 Pueblo Rd,Acoma Village,NM,87034,,34.895297,-107.582504,(505) 552-6403
us-nm-acomita-st-anne-d8f9ec27,Mission of St. Anne,,,Indian Service Rt 30,,,,,Indian Service Rt 30,Acomita,NM,87034,,35.05448535,-107.5727903,(505) 552-6403 
us-nm-alamogordo-immaculate-conception-b8c19e4d,Immaculate Conception,705,,Delaware,Ave,,,,705 Delaware Ave,Alamogordo,NM,88310,,32.89691381,-105.95832815,(575) 437-3291
us-nm-alamogordo-st-jude-6801b4e3,St. Jude,1404,,College,Ave,,,,1404 College Ave,Alamogordo,NM,88310,,32.90549961,-105.93688035,(575) 437-0238
us-nm-albuquerque-church-of-the-ascension-43f9c240,Ascension,2150,,Raymac,Rd,SW,,,2150 Raymac Rd SW,Albuquerque,NM,87105,,34.97834067,-106.701374,(505) 877-8550
us-nm-albuquerque-chapel-of-the-holy-innocents-f4e7b706,Chapel of the Holy Innocents,625,,San Mateo,Blvd,NE,,,625 San Mateo Blvd NE,Albuquerque,NM,87108,,35.0835625,-106.5864375,
us-nm-albuquerque-holy-family-6a1a6706,Holy Family,562,,Atrisco,Rd,SW,,,562 Atrisco Rd SW,Albuquerque,NM,87105,,35.07453661,-106.68665293,(505) 842-5426
us-nm-albuquerque-holy-ghost-c188c743,Holy Ghost,927,,Arizona,St,SE,,,927 Arizona St SE,Albuquerque,NM,87108,,35.06265757,-106.57726349,(505) 265-5957
us-nm-albuquerque-sangre-de-cristo-3574e771,Iglesia Sangre de Cristo,8901,,Candelaria,Rd,NE,,,8901 Candelaria Rd NE,Albuquerque,NM,87112,,35.116714,-106.544151,(505) 292-6477
us-nm-albuquerque-immaculate-conception-9b968486,Immaculate Conception,619,,Copper,Ave,NW,,,619 Copper Ave NW,Albuquerque,NM,87102,,35.08619752,-106.65415146,(505) 247-4271
us-nm-albuquerque-kirtland-air-force-base-our-lady-of-the-sandias-9e4f9f63,Kirtland Air Force Base (Our Lady of the Sandias),1950,,2nd,St,SE,,,1950 2nd St SE Kirtland Air Force Base,Albuquerque,NM,87117,,35.05845093,-106.55266041,505-853-5000
us-nm-albuquerque-nativity-of-the-blessed-virgin-mary-c5a724d7,Nativity of the Blessed Virgin Mary,9502,,4th,St,NW,,,9502 4th St NW,Albuquerque,NM,87114,,35.18849061,-106.61685302,(505) 898-5253
us-nm-albuquerque-our-lady-of-fatima-e43b0acc,Our Lady of Fatima,4020,,Lomas,Blvd,NE,,,4020 Lomas Blvd NE,Albuquerque,NM,87110,,35.08704422,-106.59947895,(505) 265-5868
us-nm-albuquerque-our-lady-of-guadalupe-91300ceb,Our Lady of Guadalupe,1860,,Griegos,Rd,NW,,,1860 Griegos Rd NW,Albuquerque,NM,87107,,35.13309762,-106.6662368,(505) 345-4596
us-nm-albuquerque-our-lady-of-lavang-7a7c662f,Our Lady of Lavang,1015,,Chelwood Park,Blvd,NE,,,1015 Chelwood Park Blvd NE,Albuquerque,NM,87112,,35.08816486,-106.50657373,505-508-2841
us-nm-albuquerque-our-lady-of-mount-carmel-mission-historic-church-efcb83a7,Our Lady of Mount Carmel (Historic Church),7805,,Edith,Blvd,NE,,,7805 Edith Blvd NE,Albuquerque,NM,87113,,35.16883023,-106.61810604,(505) 898-5253
us-nm-albuquerque-our-lady-of-perpetual-help-ruthenian-18374714,Our Lady of Perpetual Help (Ruthenian),1837,,Alvarado,Dr,NE,,,1837 Alvarado Dr NE,Albuquerque,NM,87110,,35.096406,-106.58222,(505) 256-1539
us-nm-albuquerque-our-lady-of-the-annunciation-2bbb32d6,Our Lady of the Annunciation,2621,,Vermont,St,NE,,,2621 Vermont St NE,Albuquerque,NM,87110,,35.11254197,-106.55502999,(505) 298-7553
