Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Mon,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Mon,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Tue,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Tue,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Wed,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Wed,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Thu,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Thu,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Fri,12:15 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Fri,5:00 PM,,Mass,weekday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sat,8:45 AM,,Mass,saturday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sun,10:00 AM,,Mass,sunday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sun,5:00 PM,,Mass,sunday,English,ST. MARY'S CHURCH,,,,,
Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark, New Jersey 07102",973-792-5793,Mass,Sun,7:30 AM,,Mass,sunday,English,ST. MARY'S CHURCH,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Mon,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Tue,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Wed,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Thu,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Fri,8:00 AM,,Terce and Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Sat,8:00 AM,,Mass,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Mass,Sun,8:00 AM,,Terce and Mass,sunday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Mon,4:30 PM,,Vespers and Benediction,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Mon,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Mon,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Tue,5:00 PM,,Vespers,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Tue,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Tue,7:30 PM,,Compline,specific_weekday,English,Monastery Chapel,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Wed,5:00 PM,,Vespers,specific_weekday,English,Jesu Fili Mariæ,,,,,
Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem, Connecticut 06751",,Devotions,Wed,6:15 AM,,Lauds and Prime,specific_weekday,English,Monastery Chapel,,,,,
