Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sun, Feb 22, 2026",2026-02-22,Sunday,Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark",973-792-5793,Mass,10:00 AM,,Mass,English,ST. MARY'S CHURCH,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark",973-792-5793,Mass,5:00 PM,,Mass,English,ST. MARY'S CHURCH,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Abbey Church of St. Mary’s of the Immaculate Conception (Benedictine Monks of Newark Abbey),"528 Martin Luther King Blvd, Newark",973-792-5793,Mass,7:30 AM,,Mass,English,ST. MARY'S CHURCH,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Abbey of Regina Laudis,"15 Robert Leather Rd, Bethlehem",,Mass,8:00 AM,,Terce and Mass,English,Jesu Fili Mariæ,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Abbey of the Genesee,"3258 River Rd, Piffard",+1-585-243-0660,Mass,7:00 AM,,Mass,English,,8:00 on Sundays
"Sun, Feb 22, 2026",2026-02-22,Sunday,Abbey of the Genesee,"3258 River Rd, Piffard",(585) 243-0660,Mass,8:00 AM,,Mass,English,The Abbey of the Genesee,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Abbey of the Genesee,"3258 River Rd, Piffard",+1-585-243-0660,Mass,8:00 AM,,Mass,English,,8:00 on Sundays
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"16 Homestead St, Albany",518-482-4497,Mass,10:30 AM,,Mass,english,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"347 Ridge Rd, Lansing",(607) 533-0145,Mass,10:30 AM,,Mass,english,All Saints Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"1340 Lancaster Ave, Syracuse",(315) 472-9934,Mass,11:30 AM,,Mass,English,All Saints Church,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"16 Homestead St, Albany",518-482-4497,Mass,8:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"27396 Madison St, Chaumont",(315) 654-2662,Mass,9:00 AM,,Mass,English,"All Saints Church, Chaumont",
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"76 Church St, Lockport",(716) 433-8118,Mass,9:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"1340 Lancaster Ave, Syracuse",(315) 472-9934,Mass,9:00 AM,,Mass,English,All Saints Church,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"11264 Perry Hwy N (PA-97), Waterford",(814) 796-3023,Mass,9:00 AM,,Mass,English,All Saints Parish,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints (All Saints-Our Lady of the Rosary of Pompeii Parish),"115 Throop Ave, Brooklyn",(718) 388-1951 ,Mass,11:30 AM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints (All Saints-Our Lady of the Rosary of Pompeii Parish),"115 Throop Ave, Brooklyn",(718) 388-1951 ,Mass,9:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Parish,"155 State St, Corning",(607) 936-4689,Mass,10:30 AM,,Mass,English,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Parish,"155 State St, Corning",(607) 936-4689,Mass,11:00 AM,12:00 PM,Recorded Mass Broadcast,English,,Every; WETM-2
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Parish,"155 State St, Corning",(607) 936-4689,Mass,8:00 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,"Alumni Chapel, Niagara University","5795 Lewiston Rd, Lewiston",716-286-8400,Mass,11:00 AM,,Mass,English,Alumni Chapel,
"Sun, Feb 22, 2026",2026-02-22,Sunday,American Martyrs,"79-43 Bell Blvd Oakland Gardens, Queens",(718) 464-4582,Mass,11:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,American Martyrs,"79-43 Bell Blvd Oakland Gardens, Queens",(718) 464-4582,Mass,9:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"475 Westchester Ave, Crestwood",(914) 779-7345,Mass,10:00 AM,,Mass,English,Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"88 Convent Ave, New York",(212) 234-1919,Mass,10:30 AM,,Mass,english,Church of the Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"50 W St, Ilion",(315) 894-3766,Mass,10:55 AM,,Mass,English,Church of the Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"50 W Midland Ave, Paramus",(201) 261-6322,Mass,11:00 AM,,Mass,english,Main Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"50 W St, Ilion",(315) 894-3766,Mass,11:30 AM,,Mass,english,Church of the Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"475 Westchester Ave, Crestwood",(914) 779-7345,Mass,12:00 PM,,Mass,English,Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"88 Convent Ave, New York",(212) 234-1919,Mass,12:00 PM,,Mass,spanish,Church of the Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"50 W Midland Ave, Paramus",(201) 261-6322,Mass,5:30 PM,,Mass,english,Main Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"475 Westchester Ave, Crestwood",(914) 779-7345,Mass,7:30 AM,,Mass,English,Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"88 Convent Ave, New York",(212) 234-1919,Mass,8:00 AM,,Mass,english,Church of the Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"50 W Midland Ave, Paramus",(201) 261-6322,Mass,8:00 AM,,Mass,english,Main Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"88 Convent Ave, New York",(212) 234-1919,Mass,9:00 AM,,Mass,spanish,Church of the Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"7616 E S St, Clinton",(315) 853-6138,Mass,9:30 AM,,Mass,English,Church of the Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation of the Blessed Virgin Mary,"45 Urban Club Rd, Wayne",(973) 694-5700,Mass,10:00 AM,,Mass,english,Church of the Annunciation of the Blessed Virgin Mary,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation of the Blessed Virgin Mary,"7580 Clinton St, Elma",(716) 683-5254,Mass,11:00 AM,,Mass,English,Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation of the Blessed Virgin Mary,"45 Urban Club Rd, Wayne",(973) 694-5700,Mass,11:45 AM,,Mass,english,Church of the Annunciation of the Blessed Virgin Mary,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation of the Blessed Virgin Mary,"7580 Clinton St, Elma",(716) 683-5254,Mass,5:00 PM,,Mass,English,Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation of the Blessed Virgin Mary,"45 Urban Club Rd, Wayne",(973) 694-5700,Mass,8:00 AM,,Mass,english,Church of the Annunciation of the Blessed Virgin Mary,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation of the Blessed Virgin Mary,"7580 Clinton St, Elma",(716) 683-5254,Mass,9:00 AM,,Mass,English,Annunciation,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"221 W 107th St, New York",(212) 222-0666,Mass,11:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"86-13 55th Ave, Elmhurst",(718) 335-2626,Mass,11:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"256 Azalea Dr, New Milford",(201) 836-8961,Mass,11:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"221 W 107th St, New York",(212) 222-0666,Mass,12:30 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"86-13 55th Ave, Elmhurst",(718) 335-2626,Mass,1:00 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"221 W 107th St, New York",(212) 222-0666,Mass,6:00 PM,,Jazz Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"256 Azalea Dr, New Milford",(201) 836-8961,Mass,7:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"3157 Ethan Allen Hwy, Georgia",(802) 849-6205,Mass,8:30 AM,,Mass,english,Ascension,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"221 W 107th St, New York",(212) 222-0666,Mass,9:15 AM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"86-13 55th Ave, Elmhurst",(718) 335-2626,Mass,9:30 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"256 Azalea Dr, New Milford",(201) 836-8961,Mass,9:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"435 Amherst St, Buffalo",(716) 875-7626,Mass,10:00 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"29 Jefferson Ave, Emerson",(201) 262-1122,Mass,10:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"131 Union Ave, Peekskill",(914) 221 - 4925,Mass,10:00 AM,,Mass,spanish,Fr. Wilson Hall,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"131 Union Ave, Peekskill",(914) 221 - 4925,Mass,10:00 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"113 Coolidge Pl, Roselle Park",(908) 245-1107,Mass,10:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"98 Riverside Ave, Westport",(203) 227-5161,Mass,11:00 AM,,Mass,English,Church of the Assumption,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"20 E Ave, Fairport",(585) 388-0040,Mass,11:30 AM,,Mass,english,Assumption,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"211 Homestead Ave, Maybrook",(845) 457-1738,Mass,11:30 AM,,Mass,english,Holy Name of Mary-Assumption,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"131 Union Ave, Peekskill",(914) 221 - 4925,Mass,12:00 PM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"113 Coolidge Pl, Roselle Park",(908) 245-1107,Mass,12:00 PM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"15 Webster Ave, Staten Island",17187274594,Mass,12:00 PM,,Mass,english,St. Peters Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"29 Jefferson Ave, Emerson",(201) 262-1122,Mass,12:15 PM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Assumption,"98 Riverside Ave, Westport",(203) 227-5161,Mass,5:00 PM,,Mass,English,Church of the Assumption,
