Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"530 Hwy 274, Lake Wylie",(803) 831-9095,Mass,11:30 AM,,Mass,English,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"530 Hwy 274, Lake Wylie",(803) 831-9095,Mass,8:00 AM,,Mass,English,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"530 Hwy 274, Lake Wylie",(803) 831-9095,Mass,9:45 AM,,Mass,English,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,"All Saints Catholic Church, Surf City","420 N Topsail Dr, Surf City",+1-910-270-1477,Mass,11:00 AM,,Mass,English,Surf City,note: Easter Sunday and Memorial Day weekend through Labor Day weekend only
"Sun, Feb 22, 2026",2026-02-22,Sunday,"All Saints Catholic Church, Surf City","420 N Topsail Dr, Surf City",+1-910-270-1477,Mass,9:00 AM,,Mass,English,Surf City,note: Easter Sunday and Memorial Day weekend through Labor Day weekend only
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"246 E Main St, Havelock",(252) 447-2112,Mass,11:30 AM,,Mass,English,Annunciation Catholic Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"246 E Main St, Havelock",(252) 447-2112,Mass,8:30 AM,,Mass,English,Annunciation Catholic Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Basilica of St. Lawrence,"97 Haywood St, Asheville",(828) 252-6042,Mass,12:00 PM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Basilica of St. Lawrence,"97 Haywood St, Asheville",(828) 252-6042,Mass,4:00 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Basilica of St. Lawrence,"97 Haywood St, Asheville",(828) 252-6042,Mass,9:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Basilica of St. Mary,"412 Ann St, Wilmington",(910) 762-5491,Mass,11:00 AM,,Mass,english,,note: with incense
"Sun, Feb 22, 2026",2026-02-22,Sunday,Basilica of St. Mary,"412 Ann St, Wilmington",(910) 762-5491,Mass,1:00 PM,,Mass,spanish,,note: with incense
"Sun, Feb 22, 2026",2026-02-22,Sunday,Basilica of St. Mary,"412 Ann St, Wilmington",(910) 762-5491,Mass,7:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Basilica of St. Mary,"412 Ann St, Wilmington",(910) 762-5491,Mass,8:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Blessed Trinity,"901 River Rd, Greer",(864) 879-4225,Mass,12:00 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Blessed Trinity,"901 River Rd, Greer",(864) 879-4225,Mass,9:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Camp Lejeune (St. Francis Xavier),"Bldg 17 McHugh Blvd, Marines",(910) 451-3210,Mass,11:00 AM,,Mass,English,Saint Francis Xavier Chapel,Bldg. 17
"Sun, Feb 22, 2026",2026-02-22,Sunday,Camp Lejeune (St. Francis Xavier),"Bldg 17 McHugh Blvd, Marines",(910) 451-3210,Mass,8:00 AM,,Mass,English,Saint Francis Xavier Chapel,Bldg. 17
"Sun, Feb 22, 2026",2026-02-22,Sunday,Catholic Church of the Risen Lord,"59 Mountain View Loop, Stuart",+1-276-236-7814,Mass,8:30 AM,,Mass,English,"59 Mountain View Loop, Stuart, VA 24133",
"Sun, Feb 22, 2026",2026-02-22,Sunday,Catholic Student Newman Center at ECU,"953 E 10th St, Greenville",(910) 391-8609,Mass,7:00 PM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Catholic Student Newman Center at ECU,"953 E 10th St, Greenville",(910) 391-8609,Mass,9:00 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Chapel of the Little Flower,"757 Oakridge Farm Hwy, Mooresville",+1-704-765-0652,Mass,10:00 AM,,Mass,English,Chapel of the Little Flower,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Chapel of the Little Flower,"757 Oakridge Farm Hwy, Mooresville",+1-704-765-0652,Mass,12:00 PM,,Mass,English,Chapel of the Little Flower,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Charlotte Douglas International Airport,"5501 RC Josh Birmingham Pkwy, Charlotte",704-351-3208,Mass,10:30 AM,,Catholic Mass,English,Airport Auditorium,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Charlotte Douglas International Airport,"5501 RC Josh Birmingham Pkwy, Charlotte",704-351-3208,Mass,8:30 AM,,Catholic Mass,English,Airport Auditorium,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"1505 E MLK Jr Dr, High Point",(336) 883-0244,Mass,11:00 AM,,Mass,English,Christ The King,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"100 Burns Rd, Riegelwood",(910) 392-0720,Mass,11:30 AM,,Mass,english,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"1505 E MLK Jr Dr, High Point",(336) 883-0244,Mass,12:00 PM,,Mass,spanish,Christ The King,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"100 Burns Rd, Riegelwood",(910) 392-0720,Mass,1:30 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"100 Burns Rd, Riegelwood",(910) 392-0720,Mass,5:00 PM,,Mass,english,,youth; note: Occurs some Sundays during Faith Formation Year
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"100 Burns Rd, Riegelwood",(910) 392-0720,Mass,6:30 PM,,Mass,vietnamese,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"1505 E MLK Jr Dr, High Point",(336) 883-0244,Mass,7:00 AM,,Mass,english,Christ The King,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"100 Burns Rd, Riegelwood",(910) 392-0720,Mass,7:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"1505 E MLK Jr Dr, High Point",(336) 883-0244,Mass,8:00 AM,,Mass,English,Christ The King,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"1505 E MLK Jr Dr, High Point",(336) 883-0244,Mass,9:30 AM,,Mass,english,Christ The King,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Christ the King,"100 Burns Rd, Riegelwood",(910) 392-0720,Mass,9:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Community of Our Lady of Good Counsel,"1911-A Lejeune Blvd, Jacksonville",,Mass,12:00 PM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Divine Saviour,"232 Herndon Ave, York",(803) 684-3431,Mass,10:00 AM,,Mass,english,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,Divine Saviour,"232 Herndon Ave, York",(803) 684-3431,Mass,12:00 PM,,Mass,spanish,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,Divine Saviour,"232 Herndon Ave, York",(803) 684-3431,Mass,8:00 AM,,Mass,english,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,Elon University,"100 Campus Dr, Elon",(336) 278-7355,Mass,10:00 AM,,Mass,English,Numen Lumen Pavilion,note: held when Elon is in session
"Sun, Feb 22, 2026",2026-02-22,Sunday,Elon University,"100 Campus Dr, Elon",(336) 278-7355,Mass,10:00 AM,,Mass,English,Numen Lumen Pavilion,Mass
"Sun, Feb 22, 2026",2026-02-22,Sunday,Epiphany,"163 Galax Ln, Blowing Rock",(828) 264-8338,Mass,1:00 PM,,Mass,latin,Church of the Epiphany,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Good Shepherd,"105 Good Shepherd Dr, King",(336) 725-9200,Mass,11:00 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Good Shepherd,"105 Good Shepherd Dr, King",(336) 725-9200,Mass,1:00 PM,2:00 PM,Spanish Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Good Shepherd,"105 Good Shepherd Dr, King",(336) 725-9200,Mass,8:30 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Angels,"1208 N Main St, Mount Airy",(336) 786-8315,Mass,10:00 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Angels,"1208 N Main St, Mount Airy",(336) 786-8315,Mass,12:30 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Angels,"1208 N Main St, Mount Airy",(336) 786-8315,Mass,8:30 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Cross,"2438 S Alston Ave, Durham",(919) 957-2900,Mass,10:00 AM,,Mass,English,"Holy Cross Catholic Church, 2438 S Alston Ave Durham, NC 27713",with choir
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Cross,"616 S Cherry St, Kernersville",(336) 996-5109,Mass,11:00 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Cross,"616 S Cherry St, Kernersville",(336) 996-5109,Mass,2:00 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Cross,"616 S Cherry St, Kernersville",(336) 996-5109,Mass,8:00 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"4820 Kinnamon Rd, Clemmons",(336) 778-0600,Mass,11:00 AM,,Mass,english,Holy Family,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"1453 N Road St, Elizabeth City",(252) 338-2521,Mass,11:00 AM,,Mass,english,Holy Family,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"216 Governor Burke Rd, Hillsborough",(919) 732-1030,Mass,11:30 AM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"4820 Kinnamon Rd, Clemmons",(336) 778-0600,Mass,12:30 PM,,Mass,english,Holy Family,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"1453 N Road St, Elizabeth City",(252) 338-2521,Mass,1:00 PM,,Mass,spanish,Holy Family,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"4820 Kinnamon Rd, Clemmons",(336) 778-0600,Mass,7:45 AM,,Mass,english,Holy Family,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"216 Governor Burke Rd, Hillsborough",(919) 732-1030,Mass,8:00 AM,,Mass,bilingual,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"4820 Kinnamon Rd, Clemmons",(336) 778-0600,Mass,9:15 AM,,Mass,english,Holy Family,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Holy Family,"216 Governor Burke Rd, Hillsborough",(919) 732-1030,Mass,9:30 AM,,Mass,english,,
